year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Berkeley Vale 132_11kV,01MAY2017,MW,17.49602,17.18784,17.84951,17.27071,17.08405,16.27316,15.70510,15.07248,15.07248,14.59641,14.53234,14.53234,14.53234,14.53234,14.53234,14.43264,14.76383,14.83527,15.48401,15.95076,16.25308,16.83866,17.74183,18.36776,18.11435,18.50950,19.35226,19.87383,20.65550,21.34160,21.83718,21.89898,21.95323,22.05947,22.19719,22.22187,22.42867,22.42867,22.85869,22.89932,23.04581,23.43989,23.05433,22.44147,22.94877,23.74832,23.89477,24.28967,23.93478,23.22602,23.48802,23.61745,24.33592,24.64677,24.87406,24.97505,24.86327,24.28058,24.28058,24.28058,24.28058,24.28058,24.36855,24.09176,23.50895,23.52209,23.66132,23.50895,23.68087,24.61249,24.51228,24.29843,23.62582,23.48323,23.48323,23.09802,23.38035,22.91845,22.63444,21.96740,22.59768,21.91231,21.72683,21.09118,20.88441,21.45565,21.29695,20.76103,20.65393,20.38542,20.24392,20.13951,19.64184,20.52532,20.52532,20.42842
2018,Berkeley Vale 132_11kV,02MAY2017,MW,20.13571,19.75074,19.93061,19.32193,19.05088,18.57053,17.96220,17.78673,16.99747,16.03533,15.86983,15.86983,15.86983,15.86983,15.80600,15.14964,15.14964,15.14964,15.14964,15.22177,15.95794,16.48713,16.98499,17.85262,18.27192,19.11761,19.85491,20.20966,20.71685,21.44971,21.92562,22.19472,22.22290,22.61969,23.09146,23.09742,23.12213,23.38243,22.82948,23.14886,23.14886,22.70259,22.48011,22.48011,22.48011,23.66503,23.79188,23.79188,23.79188,24.03842,24.32346,24.71784,24.71643,24.80023,24.34898,24.33842,24.18432,24.04909,24.04909,24.04909,23.72518,23.73276,23.81760,23.81760,23.32526,23.14886,23.17234,23.97645,24.04909,24.52756,24.87216,24.87216,24.19658,23.68900,23.68900,23.68900,23.68900,23.24545,23.32700,22.96289,22.94309,22.55353,22.14210,22.02295,21.81137,22.28923,22.39985,21.55416,21.88580,21.43167,21.16835,20.62864,20.29084,21.09118,21.09118,20.52942
2018,Berkeley Vale 132_11kV,03MAY2017,MW,19.86079,19.98232,20.34528,19.77814,19.35397,19.08495,18.48941,17.89366,17.58257,17.18999,17.02727,16.98644,16.48713,16.34943,16.43821,16.24473,16.43569,16.43569,16.43569,16.43569,16.96544,17.10443,17.57620,17.75618,18.37861,19.13639,20.10261,21.44330,21.81137,22.39938,22.98724,23.44839,23.41023,23.89019,23.94621,23.94621,24.01390,24.39623,24.97697,24.91704,24.89788,24.89788,23.81279,23.93060,24.55680,25.38381,24.77524,24.15198,24.38177,24.32770,24.23391,24.60924,24.89788,24.89788,24.63979,24.31987,24.61459,24.02337,23.82781,23.64676,23.12882,22.76304,22.76304,22.76304,22.76869,22.91737,22.91737,23.37150,23.66328,23.66328,24.04805,23.92682,23.61184,23.61184,24.14022,24.05870,24.22914,23.85994,24.09351,23.53467,23.53467,23.08728,22.51911,21.78346,21.38892,21.85709,21.76273,21.53090,22.09430,21.66992,21.55416,20.75255,19.23573,20.02177,19.93374,19.20007
2018,Berkeley Vale 132_11kV,04MAY2017,MW,18.70172,18.91264,19.47707,18.66892,17.85034,17.37445,16.62625,16.53857,16.43392,16.34830,16.28608,15.94699,15.94699,15.94699,15.94699,15.94699,15.94699,15.94699,16.07852,16.47329,17.18748,17.77318,18.09848,18.64783,18.85050,19.67653,19.83764,20.17057,20.63235,21.62193,21.68276,21.78352,21.73421,22.26358,22.30007,23.06469,23.07170,22.75364,22.71802,22.96881,22.96881,23.42948,23.66328,24.08011,24.46489,24.38346,24.38346,24.38346,24.03558,23.84332,24.41655,24.79852,24.61495,24.49833,23.94621,23.56338,23.38035,23.48841,23.69342,23.09742,23.09742,23.09742,23.46925,24.32703,23.92975,23.94596,24.46063,24.46063,24.46063,24.89001,25.63174,25.35008,25.46496,25.62097,25.25798,25.14460,25.23226,24.65660,24.64067,24.10252,24.30630,23.70590,23.60410,23.05310,22.19718,22.36099,22.35151,21.43315,21.65704,21.08704,21.01402,20.88901,19.86942,20.67965,20.31881,19.67708
2018,Berkeley Vale 132_11kV,05MAY2017,MW,19.52220,19.44286,19.96238,19.52220,18.99808,18.67341,17.99713,17.67894,17.23080,16.82685,16.49687,15.40447,15.12392,15.12392,15.12392,15.12392,15.12392,15.12392,15.17821,15.66406,16.02412,16.50354,17.06011,17.38737,18.05132,18.64769,18.64769,19.29962,19.72429,19.98518,20.46988,20.48858,20.49960,20.49960,20.49960,20.88628,21.75993,21.39662,21.17813,20.87013,20.99784,21.24785,20.96411,20.85969,20.85969,20.63114,20.83397,20.83397,20.37154,20.29383,20.29383,20.29383,20.29383,20.29383,20.29383,20.29383,19.62433,19.44504,19.44504,19.14453,18.77630,18.77630,18.77630,18.77630,18.77630,18.77630,18.63410,18.00467,18.00467,18.44561,18.71918,18.54481,18.20670,17.67030,17.67030,17.53249,18.32650,18.00448,18.07705,17.54724,17.97410,17.48459,16.95011,16.95011,16.95011,17.09902,17.57640,16.82786,17.30559,17.00603,16.59002,16.08331,15.51768,16.17848,15.95791,15.00159
2018,Berkeley Vale 132_11kV,06MAY2017,MW,14.32657,14.10522,14.75860,13.85329,13.33027,12.83476,12.30649,11.67464,11.32851,10.98285,10.98285,10.98285,10.64074,10.36554,10.36554,10.36554,10.36554,10.36554,10.36554,10.36554,10.36554,10.82671,11.06001,11.06001,11.32460,11.85736,11.93151,12.83042,13.88932,13.88932,13.88932,14.03266,14.58378,14.89329,15.22681,15.76283,15.84277,16.05663,15.40685,15.80851,15.60166,15.53546,15.53546,15.12607,15.36105,15.27825,15.00234,14.35823,14.68667,14.68667,14.68667,14.68667,14.68667,15.10299,15.58690,15.58690,15.13513,14.81527,14.85175,14.68667,14.89098,15.35541,15.35541,15.35541,15.35541,15.35541,15.35541,15.35541,15.35541,15.35541,15.77859,16.33281,16.33281,16.33281,15.96861,15.74122,16.13892,15.66269,15.84330,15.20108,15.68641,15.16111,15.14964,14.67641,14.37801,15.28679,15.68978,15.35741,15.66406,15.66406,15.66406,15.62592,14.66973,15.56118,15.56118,15.25145
2018,Berkeley Vale 132_11kV,07MAY2017,MW,14.73876,14.68088,14.76322,13.58174,13.04705,12.23799,11.70303,11.20342,11.11145,10.64458,10.54559,10.54559,10.54559,10.54559,9.97359,9.95401,9.95401,9.95401,9.95401,10.04300,11.05153,11.31722,11.31722,11.97112,12.16601,12.18725,12.75759,12.75759,12.75759,12.75759,13.03627,13.42634,13.42634,13.42634,13.77279,13.58563,13.40256,13.71071,13.99220,14.50691,14.63522,14.46873,14.29163,14.60950,14.60950,14.79685,15.52510,15.22526,15.17536,15.17536,15.17536,15.17536,15.17536,15.54194,15.32969,15.64361,15.94699,15.52767,15.86983,15.86983,15.86983,15.86983,16.59960,16.66718,16.66718,17.21433,17.03713,16.73298,17.38737,17.50308,18.65726,18.99688,18.67341,18.67341,18.52900,19.03351,19.21788,18.82275,18.98206,18.60331,19.43003,19.02087,18.82774,18.51200,18.15899,18.94307,19.29072,18.81395,19.07458,18.41079,18.15899,17.90917,17.51151,18.32707,18.76329,18.26188
2018,Berkeley Vale 132_11kV,08MAY2017,MW,18.26188,18.01005,18.44142,17.55769,17.20907,16.83573,16.10004,15.71550,15.71550,15.45203,15.66406,15.09813,14.99532,14.99532,15.22323,14.96960,14.96960,15.24383,15.56118,15.58296,16.42196,16.89867,17.42940,17.93197,19.19320,20.06330,20.77986,21.29932,21.85512,22.98835,23.62637,24.07481,24.07481,24.39866,24.34407,24.22826,24.72005,24.25032,24.17770,24.17770,24.07124,23.99765,23.72394,23.32891,22.89082,22.53798,22.49348,23.23215,22.72271,22.61702,22.57401,23.15668,23.84332,23.95751,24.14777,24.14217,23.97193,23.97193,23.70191,23.97193,23.46705,23.32891,23.32891,23.32891,23.32891,23.66495,23.97193,24.40807,25.11038,25.41321,25.82079,25.70780,25.18223,24.82072,24.82072,24.82072,24.31538,23.35026,23.38209,23.06726,23.27164,22.72107,22.19648,21.68276,21.34377,21.87028,22.70147,21.78176,21.96331,21.71565,21.60015,20.84379,20.35219,21.24551,20.80576,20.40573
2018,Berkeley Vale 132_11kV,09MAY2017,MW,19.96425,19.89593,20.37100,19.80239,19.05923,19.03486,18.10605,17.82462,17.45663,17.18160,17.18160,16.41933,16.38425,16.38425,16.38425,16.38425,16.38425,16.63815,17.00155,17.07198,17.83146,18.85282,19.16211,19.84282,20.47361,21.46885,21.75775,21.75012,22.37905,23.09742,23.76628,24.28058,24.28058,24.28058,24.11973,23.74044,23.74044,23.74044,23.74044,23.74044,23.74044,23.74044,23.31882,23.09742,23.09742,23.09742,22.97788,23.13217,23.63756,23.90176,23.67110,23.45301,23.16887,22.97944,23.40285,24.01982,23.87116,23.27118,23.07170,23.07170,23.07170,22.66984,22.63444,22.86890,22.83490,23.26339,23.16512,23.75575,23.86905,24.85961,25.28370,25.05641,24.74356,24.74356,24.74356,24.47077,23.93901,23.35463,23.35463,23.35463,23.35463,23.35463,23.35463,22.65859,23.11862,22.06160,21.70564,20.52535,20.34528,20.80679,21.08598,20.49960,20.42104,19.90802,20.60229,20.52066
2018,Berkeley Vale 132_11kV,10MAY2017,MW,19.93374,21.04980,20.43072,19.88230,19.34503,19.49507,20.10775,19.55396,18.89369,18.31332,17.77081,17.61028,17.10443,17.09237,16.51285,16.51285,16.51285,16.51285,16.51285,16.77132,17.24273,17.07871,17.87661,18.40329,19.67876,20.62768,21.39663,22.08158,22.12950,22.60872,23.28104,23.43179,23.43179,23.96312,23.97193,23.79872,23.40607,23.40607,23.40607,23.07812,23.21738,23.71472,23.71472,23.71472,23.71472,23.71472,23.56024,23.43982,23.02025,23.02025,23.41559,23.77818,24.20997,23.61184,23.61184,23.61184,23.55613,23.63756,23.63756,23.61576,22.96881,22.96881,22.96881,23.11452,23.56039,23.70981,24.10053,24.59862,24.47997,25.18316,25.36086,25.36086,25.06502,24.58923,24.58923,24.08847,23.93531,23.14886,23.14886,22.74730,22.60872,22.60872,22.59070,21.76713,22.12741,21.63132,21.62832,20.62554,20.10427,20.54095,20.74660,20.00362,19.83403,19.64161,20.40973,19.88326
