year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Stockton 33_11kV,01MAY2017,MW,2.24223,2.07062,2.19840,2.28530,2.04289,1.91821,1.86147,1.87740,1.80235,1.74095,1.71420,1.75286,1.75054,1.73042,1.73969,1.74398,1.78963,1.75460,1.75640,1.81966,1.91076,2.03924,2.09845,2.24246,2.57258,2.76987,2.91766,3.04014,3.09187,3.13600,3.16037,3.09227,3.05894,3.14428,3.01327,2.94189,2.86602,2.78733,2.76315,2.76779,2.73760,2.47207,2.37296,2.43093,2.38279,2.24184,2.24491,2.39829,2.28558,2.24529,2.27296,2.17611,2.18908,2.27675,2.22864,2.14324,2.12250,2.20951,1.99784,2.03099,2.11113,2.16803,2.27984,2.41216,2.53851,2.62815,2.78017,2.96644,3.19398,3.57706,3.90726,3.97359,4.05059,3.97721,3.90586,3.76884,3.65492,3.50933,3.40586,3.34620,3.24177,3.10213,2.99243,2.88178,2.78745,2.72179,2.74278,2.63944,2.98640,2.89635,2.71255,2.55259,2.82636,2.64196,2.67264,2.67971
2018,Stockton 33_11kV,02MAY2017,MW,2.63074,2.46655,2.49316,2.56649,2.46898,2.29822,2.17656,2.13872,2.01498,1.94141,1.79411,1.73678,1.72364,1.73631,1.74308,1.69611,1.72307,1.75161,1.76961,1.87758,1.92102,2.00748,2.08503,2.18403,2.48006,2.67801,2.80291,2.90490,3.04984,3.00866,2.93626,2.86964,2.69648,2.74446,2.89388,2.77547,2.70683,2.75945,2.42918,2.29229,2.29168,2.25047,2.22553,2.23558,2.13816,2.09389,2.11432,2.04383,2.02564,2.02620,2.06610,2.06574,2.10217,2.01121,2.02121,2.02741,2.02261,2.09048,2.14399,2.10309,2.17248,2.22561,2.35138,2.42897,2.56204,2.63653,2.74919,2.86327,3.16185,3.46044,3.77566,3.83447,3.92069,3.96370,3.88378,3.79063,3.74286,3.64926,3.48182,3.33532,3.21979,3.10787,2.99393,2.90348,2.76082,2.70080,2.64882,2.67288,2.93866,2.85125,2.68456,2.55155,2.79835,2.66579,2.65505,2.63991
2018,Stockton 33_11kV,03MAY2017,MW,2.63678,2.48574,2.48589,2.50467,2.41631,2.20019,2.11864,2.12694,1.98858,1.93821,1.87393,1.80026,1.80246,1.80326,1.73147,1.70956,1.70200,1.73427,1.80018,1.76026,1.79321,1.88807,2.12757,2.25784,2.39041,2.59654,2.82339,2.89011,2.93162,2.98893,3.00977,2.97763,2.89825,2.76529,2.73909,2.57869,2.53276,2.57900,2.51928,2.66891,2.65101,2.46417,2.37829,2.43978,2.36726,2.14392,2.17775,2.36171,2.29777,2.19090,2.40309,2.28794,2.38009,2.29086,2.32497,2.20882,2.22973,2.28995,2.26818,2.23610,2.24194,2.38166,2.39059,2.54610,2.80150,2.87873,2.97324,3.06996,3.45355,3.82158,3.81740,3.82893,3.99806,3.97063,3.87444,3.82720,3.75110,3.66052,3.53563,3.44537,3.28429,3.18907,3.15585,3.00666,2.90212,2.81919,2.81031,2.78698,3.15629,3.01443,2.80837,2.61223,2.89350,2.74610,2.71392,2.70827
2018,Stockton 33_11kV,04MAY2017,MW,2.69581,2.51433,2.53683,2.59107,2.46978,2.27591,2.16037,2.12799,2.01423,1.89888,1.80326,1.78737,1.75361,1.72857,1.73071,1.72018,1.76719,1.77422,1.75217,1.78831,1.85790,1.91864,2.04884,2.21212,2.44436,2.69263,2.78786,2.84756,2.87427,3.03991,2.97524,3.04546,2.94692,2.92891,2.70051,2.57974,2.68140,2.62231,2.59030,2.52147,2.53975,2.41150,2.37051,2.41678,2.31864,2.41613,2.39132,2.34504,2.29621,2.23135,2.14816,2.21567,2.22102,2.25820,2.28533,2.10070,2.16237,2.28337,2.35489,2.34905,2.39111,2.30898,2.33251,2.46410,2.63130,2.75447,2.76617,2.91583,3.16326,3.40766,3.59378,3.83649,3.89255,3.82186,3.72722,3.67154,3.59727,3.62045,3.44967,3.36390,3.31086,3.20784,3.03498,2.92687,2.83724,2.72998,2.72326,2.72334,3.08007,2.90297,2.69794,2.55891,2.83141,2.66382,2.62755,2.64663
2018,Stockton 33_11kV,05MAY2017,MW,2.64452,2.48293,2.50186,2.55967,2.43565,2.19406,2.08479,2.08187,1.94770,1.86739,1.78231,1.74196,1.71300,1.74769,1.72828,1.70489,1.70612,1.73553,1.73808,1.76525,1.85160,1.93651,2.05776,2.19989,2.42814,2.62977,2.81585,2.89033,2.91184,2.94630,2.90898,2.81365,2.80327,2.69068,2.40494,2.37085,2.38938,2.35281,2.34338,2.27056,2.26112,2.11306,2.06775,2.01827,1.99731,2.01515,2.00710,2.05041,2.04432,2.01344,1.97730,2.01866,1.98780,1.96611,1.93356,1.95618,1.94263,1.95909,1.98466,2.04385,2.05668,2.14826,2.19174,2.27269,2.45739,2.56714,2.72517,2.86466,3.07382,3.34588,3.55758,3.63050,3.69320,3.67034,3.66237,3.61996,3.50664,3.48607,3.38952,3.30254,3.14163,3.09350,3.02043,2.93818,2.88657,2.80409,2.77471,2.71926,3.06786,2.94428,2.76805,2.56617,2.84759,2.71401,2.68477,2.75226
2018,Stockton 33_11kV,06MAY2017,MW,2.71114,2.49923,2.52846,2.64894,2.49375,2.22619,2.06428,1.96468,1.99007,1.93964,1.88513,1.83563,1.80612,1.78689,1.75626,1.73661,1.76346,1.74546,1.76032,1.72501,1.79738,1.82031,1.84501,1.93658,2.07235,2.17594,2.26219,2.48112,2.60940,2.76807,2.95840,2.89554,2.88207,2.78454,2.84069,2.84719,3.07294,3.00043,2.79109,2.53979,2.47579,2.49806,2.36126,2.29257,2.28638,2.20211,2.38274,2.19033,2.16487,2.10545,2.07734,2.02910,2.02244,2.03983,2.11196,2.02439,2.04362,2.05030,2.03854,2.13271,2.17024,2.23541,2.25355,2.42115,2.52413,2.65078,2.71165,2.84183,3.08267,3.36249,3.55473,3.65443,3.69252,3.52605,3.43379,3.44118,3.37284,3.28803,3.19660,3.14255,3.04392,2.97208,2.94565,2.82715,2.77757,2.65407,2.86261,2.75131,2.64417,2.53633,2.58913,2.47140,2.76254,2.59248,2.37352,2.27897
2018,Stockton 33_11kV,07MAY2017,MW,2.27323,2.12913,2.23360,2.33997,2.07755,1.91408,1.82795,1.82902,1.80543,1.78207,1.78283,1.74310,1.75132,1.76973,1.69432,1.67998,1.70225,1.69900,1.71891,1.70864,1.77550,1.77309,1.80901,1.88689,1.97807,1.95158,2.08539,2.24560,2.41525,2.53959,2.68881,2.70250,2.82308,2.79158,2.69464,2.71686,2.76168,2.65062,2.61991,2.52581,2.38867,2.33039,2.34729,2.29900,2.26737,2.23424,2.24105,2.23794,2.18747,2.17933,2.14126,2.12803,2.05284,2.06363,2.09779,2.11485,2.09427,2.06895,2.18881,2.26585,2.32544,2.45522,2.49802,2.60341,2.75453,2.89555,3.01871,3.18026,3.43468,3.71380,3.86981,3.93301,3.99741,4.00996,3.87991,3.75927,3.60427,3.61552,3.47675,3.31709,3.22381,3.23104,3.14371,2.97796,2.89545,2.83239,3.02737,2.89147,2.73042,2.52549,2.51145,2.36127,2.69667,2.51057,2.28952,2.27556
2018,Stockton 33_11kV,08MAY2017,MW,2.23810,2.07308,2.23558,2.26682,2.03120,1.90835,1.83211,1.81272,1.75495,1.81675,1.78000,1.79286,1.76869,1.73569,1.70818,1.73700,1.73141,1.71844,1.78348,1.77994,1.83513,1.95873,2.07389,2.26082,2.47056,2.67487,2.79981,2.91780,2.97149,3.06903,3.06930,2.99179,2.87248,2.88996,2.79759,2.70449,2.67573,2.63242,2.55944,2.51008,2.51893,2.53866,2.42623,2.38315,2.35991,2.37116,2.35225,2.16699,2.08879,2.28270,2.29719,2.14684,2.05988,2.22632,2.27778,2.28260,2.17275,2.20559,2.20564,2.17412,2.32512,2.46852,2.44924,2.49782,2.56907,2.66374,2.87199,3.08613,3.37891,3.70316,3.99926,4.13946,4.14784,4.15245,4.03656,3.94751,3.80871,3.75116,3.63527,3.49777,3.45230,3.33109,3.13979,3.08440,3.06155,2.92248,2.83560,2.75326,3.09285,2.96298,2.74920,2.57173,2.87967,2.80584,2.76192,2.78392
2018,Stockton 33_11kV,09MAY2017,MW,2.78080,2.63731,2.65937,2.68566,2.52612,2.36207,2.17271,2.12710,1.98673,1.96249,1.89448,1.86230,1.83923,1.80698,1.80139,1.82238,1.77594,1.85395,1.83546,1.85479,1.91739,2.01670,2.12454,2.36031,2.53972,2.74985,2.88327,3.05381,3.06855,3.12932,3.04176,2.91932,2.90614,2.72694,2.61191,2.46762,2.46122,2.50793,2.44197,2.32920,2.30214,2.31454,2.26079,2.20466,2.09345,2.09210,2.27178,2.30265,2.25333,2.36429,2.32291,2.34040,2.26795,2.23172,2.28434,2.31391,2.30352,2.31100,2.18998,2.06860,2.31747,2.32954,2.44426,2.46115,2.58790,2.72731,2.87663,3.15444,3.38740,3.73347,4.09571,4.07914,4.19165,4.19505,4.12310,3.95662,3.89847,3.83554,3.63910,3.49620,3.42962,3.32890,3.21642,3.10843,3.03933,2.95148,2.93175,2.88190,3.14024,3.00539,2.81499,2.64069,2.89994,2.78941,2.74858,2.78899
2018,Stockton 33_11kV,10MAY2017,MW,2.72060,2.51979,2.60865,2.65304,2.53459,2.35812,2.23193,2.16640,2.10497,2.00080,1.92789,1.92028,1.81665,1.83361,1.87676,1.83345,1.84451,1.80010,1.87277,1.87743,1.97071,2.02883,2.20416,2.49771,2.68130,2.92262,3.05141,3.21269,3.22390,3.28814,3.20702,3.16538,3.04613,2.95754,2.79116,2.69285,2.57771,2.64074,2.56924,2.46217,2.35820,2.25802,2.19382,2.19581,2.34484,2.38076,2.30603,2.14028,2.10102,2.08219,2.10473,2.16170,2.12246,2.14941,2.00928,1.99412,1.92036,1.96603,2.00372,1.97880,2.03190,2.09837,2.16301,2.33662,2.53123,2.60780,2.75325,2.95385,3.31715,3.72358,3.91029,3.99281,4.08203,4.08554,3.99915,3.89063,3.81452,3.80380,3.63610,3.57719,3.48840,3.24819,3.19536,3.12023,3.01887,2.88145,2.85627,2.81882,3.14745,2.95522,2.76370,2.63629,2.89481,2.78443,2.73702,2.76346
2018,Stockton 33_11kV,11MAY2017,MW,2.74832,2.57252,2.64838,2.69271,2.58935,2.37313,2.25198,2.16805,2.11083,1.98288,1.94419,1.90360,1.87489,1.84442,1.80319,1.82691,1.81921,1.84342,1.87935,1.89029,2.05306,2.16709,2.23556,2.41573,2.68480,2.89046,3.10707,3.24541,3.24813,3.22578,3.24332,3.14841,3.04633,2.92015,2.76924,2.74553,2.65320,2.33926,1.97887,2.07651,2.01809,1.86245,1.85013,1.87368,1.99704,1.96636,1.88822,1.89006,1.89520,1.91956,1.76902,2.36281,2.36351,2.19595,2.12379,2.12038,2.06711,2.19560,2.19788,2.09653,2.16448,2.21048,2.30468,2.46448,2.55076,2.65314,2.70653,2.97424,3.23214,3.59413,3.82375,4.01023,4.00943,3.92390,3.80941,3.77749,3.64211,3.72367,3.60099,3.46939,3.36684,3.28096,3.13836,3.11757,3.02507,2.91666,2.87693,2.78926,3.13746,2.94002,2.74885,2.48032,2.76340,2.67007,2.65948,2.66151
2018,Stockton 33_11kV,12MAY2017,MW,2.62924,2.47213,2.54905,2.59171,2.48361,2.27117,2.13671,2.12410,2.07063,1.97318,1.88691,1.78418,1.82343,1.77835,1.70839,1.71197,1.77583,1.77083,1.75740,1.79140,1.87337,1.99207,2.08692,2.19130,2.35816,2.70752,2.84039,2.83832,2.96716,2.95411,2.97962,3.11453,3.01412,2.88169,2.88243,2.85176,2.75127,2.59553,2.61866,2.56149,2.39225,2.34260,2.32962,2.28015,2.33807,2.43776,2.50163,2.48540,2.44358,2.45491,2.50424,2.56962,2.51881,2.54212,2.44837,2.36326,2.33707,2.40774,2.36200,2.24518,2.19776,2.32197,2.35223,2.42867,2.58023,2.69470,2.86894,3.08224,3.34316,3.64170,3.80571,3.91160,3.88235,3.84797,3.76875,3.74190,3.59969,3.61310,3.53208,3.44184,3.30519,3.20309,3.14769,3.10665,2.99760,2.93373,2.90326,2.75962,3.08379,2.94238,2.81919,2.64844,2.93673,2.80641,2.72088,2.71564
2018,Stockton 33_11kV,13MAY2017,MW,2.66494,2.49327,2.63634,2.71722,2.52721,2.33198,2.15788,2.05776,2.09223,2.04684,1.95193,1.89594,1.85802,1.79785,1.80275,1.76109,1.76934,1.78124,1.80280,1.76500,1.82062,1.79038,1.84135,1.96504,2.11871,2.22104,2.32351,2.50579,2.77052,2.91450,3.01231,3.00156,2.94022,2.86832,2.79822,2.82648,2.87922,2.72747,2.65929,2.61589,2.53683,2.36604,2.30602,2.25258,2.23233,2.36683,2.35939,2.32864,2.26153,2.22891,2.26863,2.24800,2.24541,2.26105,2.14582,2.15073,2.30680,2.32133,2.22326,2.46729,2.54591,2.44073,2.43490,2.56476,2.71333,2.85630,2.96023,3.08036,3.26630,3.62997,3.77282,3.82090,3.81387,3.83893,3.76691,3.70774,3.56125,3.45214,3.36346,3.28440,3.17902,3.06447,3.03349,2.91595,2.88584,2.78772,3.08701,2.93743,2.74781,2.63148,2.68303,2.47043,2.76795,2.52282,2.37214,2.40078
2018,Stockton 33_11kV,14MAY2017,MW,2.38713,2.15267,2.24439,2.30929,2.02710,1.90483,1.84048,1.79173,1.85043,1.81071,1.75723,1.79542,1.77398,1.72268,1.70457,1.73360,1.71405,1.66850,1.74350,1.75180,1.72414,1.76324,1.82395,1.83944,2.01095,2.11038,2.22706,2.42506,2.53192,2.65165,2.87266,2.99184,3.04979,3.15590,3.21143,3.32350,3.31462,3.32573,3.40868,3.34622,3.16326,3.10627,2.86361,2.68960,2.66286,2.61386,2.55591,2.52434,2.51620,2.49600,2.63629,2.68573,2.75695,2.82168,2.84977,2.70912,2.69854,2.81666,3.01437,3.00599,2.97994,2.89272,2.87753,3.04681,3.08504,3.21347,3.40477,3.46586,3.64718,3.92048,4.04039,4.00728,4.04116,4.00982,3.92173,3.91187,3.82621,3.72953,3.62604,3.47867,3.37359,3.24787,3.20617,3.02246,2.99691,2.89777,3.08168,2.94478,2.80383,2.67423,2.59892,2.41606,2.78283,2.55025,2.31780,2.22088
2018,Stockton 33_11kV,15MAY2017,MW,2.29633,2.16231,2.24036,2.32949,2.09859,1.97231,1.94510,1.90935,1.82710,1.78125,1.79835,1.77992,1.75635,1.78567,1.79108,1.76774,1.79964,1.79533,1.85616,1.89190,1.92835,1.97892,2.13083,2.24705,2.43087,2.76356,2.95509,3.03238,3.09111,3.17820,3.16754,3.19381,3.17771,3.22519,3.10609,2.86346,2.86638,2.91234,3.03008,3.03187,3.00474,2.93715,2.95299,3.14337,3.22470,3.23695,3.26002,3.16393,2.97201,2.98760,3.12497,2.94524,2.76332,2.78419,2.55579,2.36733,2.27248,2.28361,2.28639,2.37343,2.36229,2.43525,2.50741,2.62327,2.76619,2.91973,3.04232,3.26219,3.54316,4.02706,4.27881,4.37680,4.29438,4.25637,4.24883,4.12066,4.02592,4.00465,3.85269,3.73025,3.70677,3.57738,3.43244,3.31283,3.22507,3.08181,3.06269,2.91562,3.25883,3.11323,2.87192,2.70564,3.04042,2.86789,2.83651,2.85867
2018,Stockton 33_11kV,16MAY2017,MW,2.81663,2.62754,2.74751,2.77170,2.59693,2.42456,2.27089,2.30129,2.18746,2.11663,2.07342,2.01334,1.96354,1.96603,1.90963,1.89915,1.87703,1.88810,1.89687,1.95659,2.07820,2.12657,2.24353,2.46801,2.75068,3.08092,3.27023,3.35225,3.48834,3.49201,3.38050,3.22426,3.14439,3.02721,2.98824,2.83006,2.73156,2.64394,2.52836,2.48463,2.42458,2.30144,2.29873,2.29089,2.24827,2.24567,2.21341,2.09516,2.12667,2.09746,2.13364,2.06926,2.00572,2.03000,2.01118,2.04040,2.04746,2.01400,2.05719,2.09616,2.13417,2.26488,2.33438,2.42115,2.64550,2.74125,2.85417,3.09947,3.41356,3.87336,4.02236,4.17615,4.23344,4.28657,4.26699,4.07947,3.99995,3.93452,3.79029,3.75166,3.66477,3.50486,3.44848,3.31599,3.16319,3.06063,2.98575,2.88444,3.21565,3.06915,2.88585,2.73739,2.99425,2.86856,2.80798,2.82281
2018,Stockton 33_11kV,17MAY2017,MW,2.81205,2.64796,2.70192,2.74638,2.61956,2.46307,2.35521,2.34992,2.22742,2.14554,2.04704,2.03303,1.98188,1.95260,1.88779,1.93241,1.97136,1.94115,1.97437,2.02463,2.07237,2.18935,2.34229,2.61173,2.87404,3.12613,3.26533,3.45663,3.63690,3.62228,3.55939,3.48993,3.29529,3.18085,3.03634,2.91206,2.87594,2.85443,2.76188,2.63430,2.53816,2.41222,2.39497,2.33747,2.22073,2.19909,2.16397,2.13867,2.13137,2.12719,2.06298,2.04889,2.04180,2.03322,2.00955,2.04083,2.08320,2.08475,2.06603,2.13622,2.23547,2.28893,2.38063,2.45856,2.60415,2.78412,2.94359,3.14602,3.44742,3.91598,4.07134,4.08996,4.20311,4.25930,4.16416,4.07481,3.99925,3.90227,3.80447,3.66504,3.50908,3.48627,3.34828,3.19849,3.15312,3.02254,2.97973,2.88465,3.22123,3.10301,2.89349,2.68806,2.91823,2.79854,2.84292,2.78670
2018,Stockton 33_11kV,18MAY2017,MW,2.83093,2.68415,2.72660,2.71618,2.60576,2.46652,2.31435,2.29648,2.22010,2.04700,2.02205,1.97166,1.96097,1.92799,1.90795,1.95813,1.91483,1.87377,1.91786,1.95593,2.11390,2.17742,2.25922,2.50486,2.71134,2.96139,3.09846,3.26493,3.37656,3.35659,3.35953,3.25936,3.15805,3.04520,2.86334,2.70519,2.58388,2.53918,2.54565,2.53699,2.36857,2.25034,2.18624,2.08538,2.11025,2.08103,2.15302,2.08311,2.08308,1.99036,1.99468,1.99022,2.02636,2.02838,1.96080,1.91916,1.95919,2.01056,1.99488,2.04577,2.15933,2.19681,2.31187,2.44429,2.60748,2.66611,2.81046,3.01093,3.29107,3.67340,3.90342,3.93349,3.91367,3.79546,3.84397,3.74134,3.67491,3.63014,3.51003,3.36315,3.30760,3.20643,3.09683,3.03196,2.94822,2.85339,2.90142,2.77378,3.10972,2.94536,2.78819,2.65891,2.93127,2.80374,2.77899,2.73843
2018,Stockton 33_11kV,19MAY2017,MW,2.71835,2.57612,2.60909,2.65639,2.54649,2.35483,2.19783,2.17690,2.03770,1.93989,1.93224,1.89383,1.83730,1.77209,1.81374,1.71759,1.77300,1.84754,1.86028,1.81119,1.89434,1.94507,2.08203,2.22871,2.38959,2.65467,2.81723,2.87962,2.99373,3.16394,3.11266,3.07623,2.98440,3.09616,2.99650,2.87463,2.78990,2.69471,2.69796,2.64136,2.56341,2.54429,2.50699,2.61215,2.53556,2.63929,2.60033,2.51472,2.52083,2.54304,2.62368,2.60315,2.65700,2.69741,2.70569,2.64451,2.66515,2.61714,2.70302,2.68325,2.73916,2.72737,2.82186,2.91930,3.08302,3.29770,3.42881,3.53548,3.80921,4.04059,4.06895,4.04391,4.08758,3.95132,3.82547,3.72249,3.66001,3.66917,3.60960,3.47935,3.40916,3.27062,3.17916,3.09149,3.04322,2.93178,2.91809,2.83795,3.16954,3.09632,2.92452,2.74057,2.98289,2.85633,2.79901,2.84417
2018,Stockton 33_11kV,20MAY2017,MW,2.82050,2.59405,2.62154,2.64678,2.51514,2.26227,2.11140,2.01440,2.10562,2.00921,1.98661,1.97017,1.85727,1.84836,1.79465,1.76737,1.73048,1.72911,1.74791,1.74226,1.77032,1.82860,1.86286,1.86974,1.98684,2.14120,2.26885,2.48602,2.67780,2.81077,2.90814,2.95345,3.05417,3.00637,2.96676,2.91991,2.90188,3.07021,2.83071,2.75846,2.70181,2.55645,2.47012,2.43892,2.51870,2.51280,2.36978,2.39866,2.40916,2.37034,2.36863,2.44700,2.35392,2.32678,2.50030,2.30540,2.37917,2.50873,2.47950,2.49191,2.62685,2.66099,2.67088,2.79318,2.99919,3.04588,3.07389,3.18554,3.39959,3.56217,3.77372,3.72928,3.74399,3.64503,3.53895,3.44976,3.38532,3.31155,3.16687,3.11140,3.11551,3.01550,2.99408,2.88476,2.83504,2.71973,3.03028,2.84960,2.74203,2.58474,2.60768,2.43795,2.81866,2.61749,2.36933,2.35259
2018,Stockton 33_11kV,21MAY2017,MW,2.32401,2.17971,2.30185,2.35910,2.09154,1.92886,1.88017,1.80835,1.81673,1.83996,1.76181,1.77391,1.77599,1.76035,1.75040,1.70548,1.74861,1.75408,1.72827,1.70481,1.76458,1.82441,1.87065,1.81675,1.95503,2.07323,2.16264,2.39565,2.55537,2.64425,2.74466,2.81744,2.89843,2.89787,3.04930,3.07075,3.07340,3.04139,2.98418,3.03939,2.90632,2.70625,2.84943,2.90470,2.72657,2.62697,2.56031,2.55184,2.57965,2.41472,2.39038,2.39218,2.37883,2.26437,2.24543,2.26333,2.34957,2.35382,2.29475,2.39603,2.45666,2.48393,2.57582,2.72452,2.85003,2.99906,3.20955,3.35907,3.59032,3.90962,4.13021,4.11374,3.99497,3.95387,3.86565,3.67309,3.58896,3.56767,3.44598,3.35647,3.24921,3.16400,3.20117,3.05976,2.96230,2.87122,3.07150,2.86305,2.72838,2.55811,2.55550,2.38161,2.71221,2.52993,2.28415,2.27352
2018,Stockton 33_11kV,22MAY2017,MW,2.21297,2.08572,2.17945,2.27007,2.02437,1.94283,1.84478,1.84867,1.79977,1.71464,1.68839,1.71127,1.65731,1.67619,1.68304,1.63901,1.67994,1.74575,1.72839,1.79646,1.83515,1.86180,1.97599,2.17792,2.36434,2.58705,2.71289,2.78717,3.04722,3.00576,2.97528,2.92450,2.93509,2.72961,2.67627,2.55161,2.44442,2.46369,2.42815,2.34342,2.47126,2.36422,2.31986,2.28483,2.23634,2.18468,2.28394,2.35768,2.45898,2.42359,2.44713,2.32475,2.21944,2.29281,2.23099,2.17361,2.21417,2.11270,2.19588,2.19346,2.23455,2.35560,2.41635,2.49907,2.62822,2.76564,2.87098,3.15371,3.42708,3.79614,3.95200,3.97097,3.94112,3.93571,3.81262,3.79486,3.65094,3.56663,3.43804,3.30613,3.16794,3.09439,3.00564,2.94447,2.79267,2.74748,2.68211,2.62656,2.96232,2.83261,2.69465,2.55046,2.75972,2.68528,2.60224,2.62420
2018,Stockton 33_11kV,23MAY2017,MW,2.55559,2.40078,2.51341,2.58558,2.46239,2.24570,2.13104,2.11684,1.99596,1.98521,1.86001,1.78145,1.73082,1.76098,1.72531,1.70129,1.76341,1.73133,1.74178,1.78360,1.86497,1.95590,2.02335,2.16710,2.41917,2.59520,2.82989,2.90420,2.97481,3.00205,2.91849,2.90931,2.89386,2.85710,2.81131,2.74302,2.78579,2.83600,2.74772,2.87186,2.86751,2.76616,2.60021,2.59880,2.60026,2.45446,2.25799,2.12439,2.08897,2.06889,2.12975,2.08213,2.09559,2.05642,2.06707,2.02611,2.10395,2.03605,2.01000,2.10722,2.16641,2.20207,2.30279,2.41312,2.56055,2.66408,2.80124,3.01926,3.34403,3.77428,3.84266,3.94759,3.96980,3.95825,3.94762,3.74988,3.70661,3.61324,3.47828,3.47289,3.35311,3.25992,3.09729,2.95656,2.90628,2.84925,2.78501,2.67515,2.95527,2.79860,2.64072,2.46043,2.72304,2.68454,2.65714,2.67440
2018,Stockton 33_11kV,24MAY2017,MW,2.60731,2.44515,2.56483,2.59109,2.42145,2.23520,2.11300,2.15198,2.02210,1.92940,1.86472,1.84073,1.87017,1.84647,1.83636,1.83966,1.83012,1.83885,1.84946,1.81828,1.90611,2.03791,2.12197,2.37901,2.47453,2.75214,2.88110,2.83344,2.96231,3.00205,3.06847,3.05994,2.86906,2.79163,2.70204,2.58730,2.45218,2.39769,2.41753,2.44859,2.33026,2.26023,2.13320,2.09940,2.10887,2.11440,2.07097,2.10937,2.08501,2.06265,2.04075,2.08531,2.05185,2.05230,2.03274,2.05183,2.04318,2.04692,2.04420,2.08635,2.13555,2.24713,2.29385,2.36852,2.47183,2.67105,2.75685,2.96963,3.25528,3.53079,3.71628,3.88885,3.88253,3.91223,3.80258,3.70017,3.73543,3.67411,3.45587,3.42062,3.28582,3.26073,3.11944,2.98891,2.95131,2.84717,2.79474,2.70497,3.05473,2.91065,2.71246,2.51435,2.81393,2.65355,2.67234,2.70724
2018,Stockton 33_11kV,25MAY2017,MW,2.68107,2.54877,2.59107,2.67448,2.51677,2.37789,2.15221,2.16128,2.08293,1.99466,1.94123,1.94910,1.84361,1.80464,1.80548,1.74481,1.80883,1.82564,1.79942,1.87804,2.00433,2.05773,2.12125,2.32130,2.59665,2.89745,2.95540,3.12497,3.26402,3.31691,3.29674,3.30059,3.23854,3.08819,2.95713,2.65385,2.63274,2.57704,2.68033,2.56270,2.34289,2.28168,2.23049,2.18808,2.17663,2.16263,2.07803,2.04882,2.01178,2.01129,2.10534,2.12824,2.04965,2.06467,2.13354,2.05821,2.10292,2.10015,2.13031,2.13374,2.17205,2.16348,2.24567,2.38585,2.50731,2.70605,2.83544,3.04565,3.34657,3.71928,3.87772,3.96121,3.99797,4.06057,3.93192,3.88817,3.81957,3.92374,3.81390,3.71029,3.56203,3.46854,3.34536,3.21235,3.11735,3.06381,3.02186,2.91892,3.21955,3.06755,2.84556,2.68026,2.92672,2.84696,2.82279,2.81420
2018,Stockton 33_11kV,26MAY2017,MW,2.76723,2.63846,2.66654,2.69779,2.58509,2.44908,2.30430,2.28331,2.19637,2.12321,2.03029,1.93546,1.95578,1.85532,1.83468,1.86064,1.92004,1.93666,1.97828,1.96021,2.07067,2.17560,2.27806,2.44113,2.70837,2.98549,3.21744,3.31938,3.51168,3.63147,3.51761,3.45042,3.35832,3.27655,3.06511,2.88030,2.75977,2.70417,2.71040,2.61130,2.57294,2.39617,2.27875,2.13559,2.10393,2.14206,2.12712,1.98365,1.78599,1.69390,1.69661,1.66917,1.62695,1.63521,1.61761,1.64189,1.65294,1.66890,1.68956,1.72590,1.78212,1.86596,1.93664,2.30670,2.55946,2.79887,2.91328,3.20985,3.50664,3.93717,4.06667,4.15304,4.17660,4.11629,4.05988,3.98918,3.93360,3.86591,3.81631,3.77483,3.70443,3.64532,3.49363,3.37617,3.34420,3.27300,3.23579,3.12504,3.37928,3.20977,3.00203,2.82770,3.08636,2.96358,2.89195,2.97470
