year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Milperra 132_11kV,01MAY2014,MW,18.35616,17.52671,16.80544,18.04962,17.63490,17.13001,16.08418,15.00228,14.31708,13.93842,13.66795,13.18109,13.25322,13.12700,13.18109,13.18109,13.00078,13.18109,13.75810,14.37118,15.34488,16.26450,17.32836,18.55451,20.57405,22.25098,23.94595,24.81147,25.80321,26.41628,27.22770,28.18338,28.72433,28.90464,28.99480,29.06693,28.58007,28.59810,28.77842,28.45385,28.61614,28.83252,29.10299,29.69803,29.80622,30.27504,29.82425,29.22921,27.96700,27.57030,28.03913,28.56204,28.79645,28.30960,28.30960,28.20141,28.30960,28.05716,27.48015,27.37196,26.74085,25.92943,25.26226,24.37871,24.01808,23.69351,23.51320,23.27878,22.90012,22.71981,23.44107,23.49516,23.24272,23.15256,23.17060,22.59358,22.26902,21.47563,20.91665,20.70027,20.35767,20.08719,19.94294,19.88885,19.27577,18.82498,18.71679,18.15781,18.10372,18.77089,18.95120,20.30357,19.20365,18.15781,19.83475,19.00530
2015,Milperra 132_11kV,02MAY2014,MW,18.78892,17.83324,16.96773,18.08569,17.88734,16.67922,15.79567,15.25473,14.53346,14.19086,13.79417,13.48763,13.43354,13.16306,13.21716,13.03684,12.60408,12.64015,13.50566,13.97448,14.89409,15.79567,16.49891,17.54474,19.43806,21.09696,21.94445,22.62965,23.65745,25.55077,26.92117,27.80471,28.32763,28.34566,28.63417,28.09322,26.95723,27.85881,27.33589,27.51621,27.40802,27.66046,28.03913,28.03913,27.80471,27.38999,26.95723,26.34416,25.44258,25.06391,25.37045,25.71305,25.38848,24.88360,24.77541,24.61312,24.16233,23.56729,23.69351,23.38697,22.26902,21.85429,21.81823,21.80019,21.61988,21.29531,21.31334,20.98877,20.55601,20.89861,20.91665,21.06090,20.64617,20.62814,20.55601,20.33964,19.65443,19.31183,19.05939,18.80695,18.68073,18.26600,18.26600,17.72505,17.29230,16.71529,16.06615,15.50717,15.52520,16.12024,16.35465,18.04962,17.58080,16.60710,17.99553,17.52671
2015,Milperra 132_11kV,03MAY2014,MW,17.09395,16.26450,15.18260,16.33662,15.84977,15.14654,14.24496,13.57779,12.91062,12.36967,11.97298,11.63038,11.30581,11.10746,11.03533,10.87305,10.87305,11.10746,11.26974,11.55825,11.84676,12.36967,12.42377,13.00078,13.48763,13.93842,14.33512,14.44330,14.02858,14.55149,15.00228,15.34488,15.99402,16.53497,16.62513,16.69725,16.80544,16.98576,17.22017,17.13001,17.20214,17.41852,16.93166,16.94970,16.66119,16.75135,16.91363,16.78741,16.06615,15.52520,15.14654,15.03835,15.39898,15.12851,14.96622,14.62362,14.69575,14.64165,14.91213,14.74984,14.87606,15.02032,15.03835,15.07441,15.05638,15.38095,15.47111,16.10221,16.51694,17.45458,18.01356,18.24797,18.10372,17.97750,17.74309,17.56277,17.43655,16.98576,16.80544,16.60710,16.40875,16.15631,15.97599,15.86780,15.57930,15.48914,15.34488,15.02032,15.14654,15.74158,16.21040,17.90537,17.27426,16.62513,18.01356,17.65293
2015,Milperra 132_11kV,04MAY2014,MW,17.13001,16.42678,15.61536,16.58906,16.28253,15.29079,14.65968,13.75810,13.28928,12.51392,12.02707,11.54022,11.05337,10.78289,10.76486,10.54848,10.33210,10.47635,10.40423,10.38620,10.71077,10.89108,11.10746,11.23368,11.48612,11.70250,11.66644,11.64841,11.43203,11.66644,11.90085,12.20739,12.49589,12.67621,12.94668,13.27125,13.27125,13.32535,13.46960,13.21716,13.30731,13.03684,12.91062,12.74834,12.71227,12.54999,12.51392,12.44180,12.29755,12.36967,12.18936,12.08117,11.84676,12.00904,11.88282,11.84676,11.75660,11.93691,11.82872,12.13526,12.31558,12.31558,12.49589,12.54999,12.76637,13.28928,13.74007,14.24496,14.93016,15.86780,17.09395,17.63490,17.99553,17.88734,17.95947,17.86931,17.50868,17.38245,17.14804,16.94970,16.73332,16.66119,16.39072,16.13827,15.83174,15.41701,15.09244,14.78591,14.94819,15.54323,16.04812,17.74309,17.16608,16.33662,17.85128,17.52671
2015,Milperra 132_11kV,05MAY2014,MW,17.38245,16.55300,15.59733,16.82348,16.55300,15.56126,15.09244,14.35315,13.70401,13.05487,12.64015,12.36967,11.99101,11.93691,11.72053,11.55825,11.68447,12.04510,12.60408,12.80243,14.24496,15.05638,16.37269,17.43655,20.10522,22.28705,23.87383,25.11801,26.48841,28.65220,29.87835,30.85205,31.23072,31.24875,31.10450,31.10450,30.29307,30.22095,29.95047,30.23898,30.56355,30.54552,30.96024,30.76190,30.14882,30.49142,30.58158,30.36520,29.28330,28.63417,29.28330,29.58984,29.60787,29.57181,29.82425,29.80622,29.62591,29.06693,28.65220,28.09322,27.33589,26.88510,25.67699,25.38848,24.64919,24.79344,24.54100,24.50493,24.54100,24.86556,25.56880,25.69502,25.42454,25.37045,25.06391,24.36068,24.05414,23.69351,23.69351,23.00831,22.43130,22.46736,22.19689,21.83626,21.45759,21.13303,20.98877,20.32160,20.12326,20.62814,20.93468,22.17886,21.11499,20.33964,21.51169,20.80846
2015,Milperra 132_11kV,06MAY2014,MW,20.42979,19.20365,18.30207,19.27577,19.18561,18.33813,17.63490,16.89560,16.04812,15.48914,15.20063,14.87606,14.84000,14.76787,14.49740,14.65968,14.65968,14.85803,15.65142,16.19237,17.14804,18.15781,18.69876,20.23145,22.28705,24.16233,25.31635,26.05565,26.95723,28.83252,30.68977,31.26678,31.78970,31.75363,31.66348,32.15033,31.14056,31.24875,30.50945,30.25701,29.91441,30.29307,29.89638,29.80622,29.96851,30.58158,30.54552,30.23898,28.14731,28.05716,28.43582,28.90464,29.22921,29.62591,29.71606,29.35543,29.71606,28.56204,28.32763,28.00306,27.26377,26.61463,26.23597,25.87533,25.49667,25.17210,24.84753,24.21643,24.34265,24.30659,24.48690,24.93769,24.61312,24.52296,24.23446,23.78367,23.49516,23.31485,23.11650,22.79193,22.39524,21.89035,21.76413,21.69200,21.24122,21.13303,20.91665,20.46586,20.17735,20.68224,20.82649,22.19689,21.06090,19.90688,21.40350,20.97074
2015,Milperra 132_11kV,07MAY2014,MW,20.26751,19.49215,18.37419,19.47412,19.16758,17.95947,17.16608,16.24646,15.66945,15.39898,15.03835,14.80394,14.56953,14.37118,14.15480,14.29905,14.17283,14.22693,15.00228,15.66945,16.87757,17.56277,18.59057,19.72656,21.69200,23.24272,24.88360,26.19990,27.24574,29.15708,30.79796,31.10450,30.94221,31.30284,30.72583,30.43733,29.86032,30.18488,30.29307,30.34717,29.91441,30.22095,31.01434,30.90615,30.99631,30.43733,30.36520,30.04063,28.38173,27.78668,28.38173,29.64394,29.75213,29.40953,29.46362,29.80622,29.87835,29.69803,29.26527,28.74236,28.20141,27.48015,26.68676,26.21793,25.56880,25.24423,24.91966,24.95572,24.77541,25.08194,25.58683,25.80321,25.55077,25.42454,25.15407,25.13604,24.63115,24.59509,24.00005,23.53123,23.06241,22.79193,22.66571,22.52146,22.16083,21.65594,21.45759,20.86255,21.00680,21.07893,20.80846,22.08870,21.16909,20.35767,21.54775,20.89861
2015,Milperra 132_11kV,08MAY2014,MW,20.77239,19.76262,18.73482,19.72656,19.47412,18.66270,17.77915,16.96773,16.33662,15.68748,15.47111,14.98425,14.87606,14.96622,14.74984,14.58756,14.26299,14.67772,15.43504,16.12024,17.25623,18.15781,19.23971,20.66420,22.68374,24.66722,25.76714,26.48841,27.49818,29.48165,30.72583,30.96024,32.00608,32.00608,31.50119,30.41930,30.23898,30.52748,30.52748,30.63567,30.68977,30.72583,30.65371,30.87008,31.64544,31.71757,32.13230,31.66348,29.95047,29.17512,30.16685,30.85205,31.01434,30.58158,29.98654,29.66197,29.71606,29.37346,28.61614,28.21944,27.49818,26.86707,26.12778,25.64092,25.00982,25.00982,24.97375,24.81147,24.70328,24.99179,25.51470,25.73108,25.28029,25.26226,25.26226,24.30659,23.83776,23.80170,23.38697,23.22469,22.52146,22.25098,22.35917,22.19689,21.63791,20.88058,20.95271,20.53798,20.37570,20.79043,20.98877,22.12476,21.07893,20.01507,21.38547,20.89861
2015,Milperra 132_11kV,09MAY2014,MW,20.55601,19.63640,18.41026,19.51018,19.25774,18.50041,17.40049,16.75135,16.31859,15.92190,15.77764,15.38095,14.98425,14.96622,14.73181,14.64165,14.53346,14.51543,15.27276,16.21040,16.84151,17.50868,18.44632,19.43806,21.89035,23.47713,24.43281,24.93769,26.03762,28.38173,29.10299,29.66197,29.73409,29.51772,30.34717,30.20292,29.30134,29.80622,29.39149,29.89638,30.22095,30.45536,30.47339,30.13079,29.96851,29.91441,29.98654,29.42756,27.58834,27.38999,27.64243,28.12928,27.44408,26.75888,26.54250,26.70479,26.45235,25.98352,25.67699,24.86556,23.87383,23.76564,23.60335,23.42304,23.67548,23.38697,23.31485,22.77390,22.55752,23.22469,23.04437,23.11650,22.73784,22.82800,22.43130,21.92642,21.60185,21.13303,20.79043,20.88058,20.64617,20.32160,19.96097,19.83475,18.84301,18.42829,18.03159,17.61687,17.95947,18.37419,18.71679,20.08719,19.22168,18.37419,19.43806,19.18561
2015,Milperra 132_11kV,10MAY2014,MW,18.64467,17.88734,16.78741,17.92340,17.45458,16.64316,16.01205,15.29079,14.46134,14.08267,13.52369,13.10897,12.76637,12.67621,12.51392,12.49589,12.67621,12.51392,12.73030,12.96471,13.39747,13.39747,13.50566,14.20889,14.84000,15.23669,15.38095,15.92190,15.75961,16.26450,16.40875,16.80544,17.56277,17.88734,17.79718,17.59883,17.56277,17.31033,16.96773,16.85954,16.94970,16.91363,16.84151,16.51694,16.33662,16.19237,16.35465,15.88583,15.25473,14.85803,14.73181,15.03835,15.00228,14.89409,14.60559,14.53346,14.62362,14.56953,14.69575,14.78591,14.78591,14.85803,15.03835,15.12851,15.27276,15.38095,15.72355,16.08418,16.33662,17.25623,17.72505,17.72505,17.81521,17.65293,17.52671,17.05789,16.80544,16.67922,16.31859,16.08418,15.74158,15.65142,15.68748,15.45307,15.21866,14.89409,14.93016,14.60559,14.78591,15.47111,15.88583,17.76112,17.38245,16.64316,18.19388,17.67096
