year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Carrington 33_11kV,01MAY2016,MW,7.56854,8.67075,8.08072,8.09263,8.32493,8.55387,8.88389,7.88995,7.91350,8.19699,8.27339,8.13541,7.93015,6.51310,6.94172,7.45536,7.36614,7.63559,8.32377,7.82430,8.46871,8.57961,7.89967,8.57992,8.26431,8.68111,8.09511,7.65308,7.96705,7.72172,7.81204,7.20568,7.25336,7.69446,8.04421,8.33583,8.53260,8.67325,8.78849,8.77794,8.37221,8.01901,8.08373,7.99757,8.24327,8.42061,8.60527,8.54669,8.18146,9.08266,9.84395,9.38770,9.64353,9.65352,10.32539,10.61956,10.05483,9.69494,9.36762,9.18888,8.62781,8.67902,8.60777,8.52156,8.59146,8.71221,8.62149,8.72531,8.52005,8.55347,8.94664,8.88700,8.87462,8.60977,8.33512,8.28335,8.06068,8.11157,7.82145,7.62327,7.54036,7.42207,7.28314,7.10676,7.05281,6.90800,7.66943,7.20119,7.80179,8.44084,9.11672,9.03448,9.23890,9.06636,8.63447,8.61813
2017,Carrington 33_11kV,02MAY2016,MW,8.57354,7.76621,7.24716,7.40756,6.85380,6.16201,6.25854,6.03095,5.99214,6.26753,6.15019,6.10118,6.17125,6.45195,6.83998,6.86736,7.70028,7.61727,7.23665,7.14444,7.28047,7.53819,7.82279,8.26959,8.48391,8.95351,9.15302,9.04591,9.37736,9.20366,9.79258,10.46402,10.13966,9.75747,10.34270,10.91092,10.61129,10.48662,9.99960,10.00485,10.17348,10.00868,10.34614,10.23712,10.25368,10.04158,9.45232,8.97602,8.89797,8.44498,8.41401,8.04345,8.48079,8.79332,9.17096,8.98671,9.73675,9.86265,9.50056,10.88238,10.18966,10.40203,11.83231,10.91153,10.94198,11.61092,11.57586,11.91082,11.90911,12.09499,13.20063,13.24074,12.61710,12.91269,12.46923,12.02376,11.59566,11.26420,10.98555,10.90698,10.59862,11.24825,10.43337,10.62704,11.08906,10.84405,10.76183,9.47399,10.46934,10.84380,9.75236,9.97262,9.53605,8.93815,8.76269,9.02415
2017,Carrington 33_11kV,03MAY2016,MW,8.40537,7.56731,8.00688,8.08747,7.38937,6.56091,7.29815,7.45398,7.31884,7.15198,7.19002,6.18627,6.70628,7.14320,8.28946,8.55414,9.24518,9.64468,9.56553,8.05410,8.88677,10.06081,9.94821,9.45139,9.40163,8.72168,8.78891,10.28579,10.36749,10.45504,10.69746,9.92440,10.25799,11.14368,11.36877,11.68273,11.10373,11.69039,11.91699,10.80866,11.14927,12.13770,11.95456,12.10793,12.17158,13.34615,13.07663,13.49935,14.75678,13.57584,13.11277,13.35038,13.56608,14.12854,13.43601,13.69593,13.20436,13.80931,12.05832,10.80035,10.75730,10.53866,10.69940,11.08698,11.92200,11.95221,12.00941,13.52162,13.61638,13.64563,14.41872,13.78267,13.03730,11.97396,12.53082,12.56625,11.22852,10.47098,10.48948,10.73062,11.18218,10.29172,9.67514,9.57267,9.43403,9.10621,8.82748,9.22434,9.76320,9.58019,8.93562,8.23404,7.70504,7.53503,7.04734,7.15457
2017,Carrington 33_11kV,04MAY2016,MW,7.56548,7.37328,7.70333,8.17138,8.15899,8.09145,7.68735,7.82436,7.88033,7.79622,7.84808,7.19730,8.67391,10.00993,9.61757,10.09087,10.10405,10.08026,9.55820,10.25892,10.19631,10.06097,11.33948,10.80920,11.18989,11.71085,12.60217,12.53889,12.79355,12.50437,12.06012,12.28840,12.48369,12.56653,13.13704,13.65284,13.71471,13.12434,13.78715,13.35958,13.13463,14.44014,14.88972,15.34931,15.12780,14.81366,14.55568,14.67815,13.69094,14.44123,13.93642,13.63160,13.88112,13.81415,14.74804,14.72253,13.42449,14.67584,13.33624,13.96775,13.94263,13.46781,12.91467,12.14855,12.06545,11.79877,10.93125,10.92876,10.76942,10.48869,10.62895,10.99428,11.06374,10.67540,10.74127,10.47926,10.09758,10.32122,10.09889,10.23369,9.87791,10.66064,10.21236,10.79792,10.76748,10.44676,10.02486,10.14221,10.77600,9.41472,9.60928,10.07233,10.32046,9.67263,8.74799,9.19428
2017,Carrington 33_11kV,05MAY2016,MW,8.76894,7.57593,8.16415,8.22210,8.85479,8.35276,8.53986,7.92970,7.64047,6.99326,7.16818,6.96554,7.05531,6.53776,6.79286,8.14972,8.25010,8.02914,7.63644,7.54019,7.48957,8.32897,9.33248,9.02847,9.31299,9.71710,10.43650,10.90672,10.19478,11.82589,13.06946,13.33690,13.10284,12.58704,12.81887,12.38215,11.67826,11.98883,11.96220,11.95914,11.26203,11.76538,11.78692,11.58662,11.32353,11.26829,12.56581,14.59468,15.67705,14.75417,15.66193,15.71335,15.47834,15.42090,15.08937,15.24481,14.77275,13.82758,12.99014,12.66962,12.17532,12.02296,11.27427,11.28031,11.92182,12.12267,11.93680,11.33403,10.15900,10.76025,12.27286,12.48320,12.35579,13.09757,13.41839,12.96949,11.97988,12.71094,12.28702,12.26501,11.96348,11.04661,10.55231,10.22176,9.64027,9.54272,9.56874,9.93862,10.89090,10.44884,9.41226,9.21866,9.67377,9.41852,9.29003,9.20739
2017,Carrington 33_11kV,06MAY2016,MW,8.62700,8.01393,7.34694,7.34724,7.99448,7.79755,7.37874,8.69546,8.66995,7.58586,7.42661,7.92976,8.11281,8.03448,7.81291,7.96103,7.49240,7.74963,6.76702,7.30645,7.47924,7.30623,7.19140,6.97858,7.52630,7.51200,7.80834,7.85804,8.87492,9.18489,9.50734,10.84510,11.79000,11.99837,11.89312,11.80470,12.49622,11.38848,10.23088,11.00832,11.75624,12.42322,12.06049,11.64128,11.51721,11.47842,11.67364,11.49547,12.17760,12.46899,12.87322,13.47152,13.45894,14.28297,14.23114,12.88888,12.74579,11.77841,11.20527,11.43677,12.02100,12.15942,12.08803,12.63863,12.90568,12.70094,12.35444,12.88310,12.53314,12.79157,12.77729,12.97054,12.26670,11.43953,11.32761,10.81201,10.25078,11.76817,11.66851,10.81496,10.61621,10.95136,12.17326,11.33285,11.90889,11.57126,11.50755,11.79718,12.26040,11.22308,10.78317,9.97854,9.47012,8.75754,9.57095,10.41482
2017,Carrington 33_11kV,07MAY2016,MW,9.82525,8.98988,8.07239,9.12668,8.94283,8.74296,8.51253,8.36462,8.21108,7.82940,7.79115,6.91728,8.15260,8.18675,8.10819,8.16325,8.09713,8.19453,8.09956,7.17446,7.44169,7.53765,7.55284,7.75096,7.57514,7.97505,8.57528,8.34076,8.03281,7.90390,8.89979,9.31028,9.18961,8.60083,9.13234,9.93971,9.91984,9.77842,9.88669,10.13372,9.60225,9.78757,9.31971,10.39494,11.37302,10.63447,11.28435,10.80480,10.50996,9.71356,9.33188,9.20295,8.98950,10.23976,10.40854,9.97265,9.53139,10.59339,10.57817,10.36659,9.76579,9.74919,11.11805,10.12667,10.70730,10.68523,10.76720,10.51555,10.20782,12.33754,12.91834,12.89423,12.79963,11.79479,11.57980,11.92656,12.63479,12.87298,12.49140,12.73083,12.00905,11.23561,10.97950,11.05405,10.58067,9.14124,10.67426,10.03757,9.92201,9.77222,10.20060,10.13398,10.04406,9.72497,9.40716,9.41168
2017,Carrington 33_11kV,08MAY2016,MW,9.85377,9.40817,10.25952,10.46174,9.62016,10.25625,9.54606,8.76294,8.12802,8.64661,8.77058,8.22809,7.96471,7.46991,6.74602,7.74254,8.10370,8.22448,9.45718,10.35093,10.36552,10.18256,10.41707,9.05940,8.81359,9.84812,9.87221,9.65875,9.53742,9.21174,9.15822,8.27810,7.16401,6.85306,7.36598,6.86765,6.37893,6.37753,6.50424,6.87293,7.61967,9.19371,9.49537,9.46886,9.11550,8.88135,9.36825,9.48699,10.09539,10.21543,10.31397,10.06569,9.62133,9.57076,8.62463,9.30463,9.28653,9.06693,9.00641,8.26485,7.94692,7.74151,7.89198,7.69772,7.64861,7.87770,8.11920,8.26533,8.78741,9.22788,9.02231,9.06449,9.43894,9.47260,9.36267,9.36144,9.39084,9.26219,9.37965,9.61275,8.10284,7.99819,8.19864,8.98186,10.65314,10.93878,11.17216,10.24164,9.70158,9.12558,8.64038,8.55206,8.29947,7.95124,7.77637,7.16877
2017,Carrington 33_11kV,09MAY2016,MW,7.10357,6.75589,7.16881,7.13175,7.18202,7.16995,7.31513,7.14278,7.31194,6.62150,7.12112,7.28106,7.35397,7.76004,6.13559,6.36583,7.07743,6.75683,6.70797,7.19531,6.67040,7.95199,8.34171,7.98697,9.11487,9.58479,9.45480,9.71758,10.37921,10.68225,12.53954,13.89299,15.35854,15.65629,15.72429,15.58811,15.56568,14.92678,15.50824,16.06997,16.24439,15.84691,13.64778,13.99436,14.13138,14.25987,13.04780,13.15324,13.20115,13.05103,13.11240,13.45010,13.52872,12.89403,13.22538,13.65912,12.89991,11.94929,12.36923,12.39103,12.72703,12.29831,12.49123,12.44724,12.25173,12.52125,13.22841,13.84212,12.53506,13.35680,12.99026,13.72191,13.80302,13.81657,13.66569,13.53781,13.15558,12.45466,12.19047,12.11394,11.83740,10.30780,11.02315,10.72410,10.58501,10.60631,10.40011,9.97623,10.86234,10.24099,9.10940,9.33628,8.77379,8.45921,8.48823,9.18326
2017,Carrington 33_11kV,10MAY2016,MW,9.23853,8.51995,8.70731,8.82546,8.57738,8.05550,7.43593,8.14822,7.94993,7.77702,7.32725,8.31977,8.49279,8.38709,9.52558,8.97026,9.93170,9.59400,9.48034,8.64090,9.08243,9.52201,9.26743,9.17704,9.62691,10.05310,10.53527,10.37941,11.50372,11.84505,11.25945,11.57714,11.42472,11.53597,11.21833,12.16059,13.15207,12.40501,11.96103,12.34072,12.25491,13.07292,13.02869,12.43595,12.58785,11.92196,12.43295,12.23984,12.13646,12.53860,12.18309,12.38007,12.15071,11.93671,12.01387,11.77325,11.38019,11.45406,11.38045,10.81075,11.02779,11.36798,11.27620,11.50602,12.05229,11.61462,11.04804,11.49148,11.29924,11.32150,10.95220,11.29704,11.05867,10.60108,10.14663,9.99342,10.26325,9.75239,9.17227,8.83288,8.67091,8.48821,9.12681,9.58957,9.46937,9.26265,9.16174,8.99696,9.77071,9.10707,8.67631,8.46568,8.17995,7.59831,7.53476,8.08704
2017,Carrington 33_11kV,11MAY2016,MW,8.32412,7.60370,7.06386,6.81207,6.50684,6.68185,7.30419,8.56003,8.70919,8.56407,8.21509,7.43703,7.98169,8.09677,7.72367,8.05052,8.17765,8.06472,8.18025,8.21585,8.33462,8.54214,8.91490,9.02837,9.25493,9.15272,9.90028,9.08556,10.19574,11.39711,11.79544,11.33910,12.65836,13.82375,13.56590,12.46480,13.07243,13.45378,13.45139,12.69076,13.61722,13.39397,13.70053,12.89896,13.11301,13.03250,13.32450,13.34367,12.54006,12.61275,13.16176,13.39838,13.70511,12.94531,13.69481,14.85027,14.76913,14.52372,14.16554,13.58773,14.04150,13.19576,12.02964,12.40045,13.32300,14.54821,14.57714,14.74096,13.20854,14.13084,14.57901,13.70737,13.16116,14.32073,13.99197,14.00811,14.31734,12.55434,13.35562,13.45847,13.10554,12.40542,11.18390,13.06330,13.70382,12.74157,11.44213,11.15977,12.40063,12.06282,10.22381,10.44529,9.68940,8.80557,9.31855,10.20557
2017,Carrington 33_11kV,12MAY2016,MW,9.59439,9.99531,9.50442,8.60523,9.39465,9.27717,8.69616,10.23282,9.61729,9.80063,9.38234,9.61183,9.49012,8.76512,7.86126,8.02507,7.40385,6.73133,7.63957,7.53150,7.34993,8.08597,7.45239,7.87674,8.39311,8.12004,9.36398,9.49554,10.38642,12.12928,12.46834,11.44577,11.70455,11.41837,11.25872,11.20410,11.56200,12.90350,14.13958,14.44629,14.28453,14.67604,13.76930,13.18715,13.78009,13.62029,13.97089,13.36891,12.78831,11.84683,11.67053,11.44646,11.35821,11.02134,11.35475,12.06804,12.84311,12.39212,11.49467,12.04897,13.02885,12.61843,12.71398,12.79889,12.88286,12.19630,12.41264,12.00466,12.06814,12.47292,12.42129,11.43812,11.69516,12.48368,12.35026,12.14473,11.90831,11.99312,11.68746,11.40937,11.43178,10.77469,10.86251,11.45569,11.29782,11.20154,9.83091,9.23851,9.67410,8.85787,9.15179,9.42355,9.62555,8.73998,8.58215,8.62752
2017,Carrington 33_11kV,13MAY2016,MW,8.66261,8.67097,8.08246,8.03613,7.70852,6.73944,6.52399,6.58220,6.35602,6.40748,6.55814,6.66696,7.47064,6.86336,7.05399,7.43315,7.47247,8.27510,8.51096,7.61118,7.35182,7.00402,7.64840,8.45724,8.89486,9.17015,9.78978,10.01243,10.46792,11.00983,11.60572,12.07739,12.75688,13.48232,13.35838,12.97367,13.76140,13.53646,13.68014,13.04088,13.26665,12.06224,12.37744,12.10417,12.37619,12.55410,11.91192,12.33437,13.16252,12.85810,13.13576,13.95441,14.41704,13.60330,14.27872,13.46279,12.87482,13.10041,12.68609,11.82701,10.78707,10.42874,11.38350,11.48645,11.30341,10.34477,10.52481,9.61618,10.82472,11.27047,10.83937,11.15984,11.43902,11.78092,11.79776,11.81935,11.67713,10.15066,10.22141,10.49696,9.48491,10.89127,12.09707,10.97551,10.93799,10.35996,10.20288,10.34692,10.85022,10.29357,10.25428,9.23696,8.63196,8.14120,7.32776,8.34495
2017,Carrington 33_11kV,14MAY2016,MW,8.97377,9.32667,8.90332,8.73127,8.46423,6.90958,7.05360,7.14682,8.31029,9.15969,9.72833,9.36503,8.74824,8.41181,7.49309,8.24964,8.18686,7.07023,8.41851,8.36411,8.57529,9.26081,9.21747,9.45698,9.81841,9.61011,9.50779,9.16113,9.79818,9.26561,8.77073,8.68972,9.15965,8.57742,9.23964,8.94488,8.78076,7.98138,7.28254,7.71614,8.55732,10.57744,10.83210,10.72649,10.38790,10.66846,11.01238,10.91339,10.14701,10.14817,9.91452,9.14610,8.52516,8.23970,8.44070,8.69455,8.73510,8.59002,8.58069,8.50602,8.67881,7.43486,7.67109,8.16138,8.82155,8.93045,9.32283,8.15944,8.45544,8.67819,10.17455,10.96722,10.97344,11.04863,11.01556,10.99417,10.64403,9.47429,9.68423,9.44863,9.29470,9.04824,8.59483,8.62625,8.95936,8.64814,9.25424,9.65503,9.64492,8.83087,9.57000,9.88888,10.14201,9.73137,9.76613,9.98905
2017,Carrington 33_11kV,15MAY2016,MW,9.52057,8.65423,7.36571,7.57781,7.26759,6.29729,6.17574,6.47285,7.18067,7.81671,8.15304,7.50188,7.35038,7.52758,6.94113,6.12743,6.53672,6.07834,6.10717,5.82718,6.16263,6.86028,7.34255,6.93822,6.77927,6.77676,6.78595,7.16371,6.98283,6.53374,7.02927,7.00720,8.89096,9.51899,10.69993,11.19165,11.61340,8.94753,10.21301,12.14451,11.82418,11.84242,10.84885,10.94754,10.56533,10.70118,10.52557,11.11477,10.93902,11.32039,10.86192,11.57559,11.72283,11.06801,11.36760,11.01802,10.18636,10.17821,10.77291,10.98554,10.37294,10.16832,10.04070,10.00011,9.83807,10.82672,10.58877,10.57684,10.93502,10.94361,11.64264,11.92160,11.89792,11.69713,11.46412,11.36318,10.81333,10.41048,10.42491,10.16270,10.08270,10.50186,10.30087,10.07835,10.96961,10.99635,10.90893,9.63841,8.84129,10.27643,10.31478,9.47086,9.42666,9.00866,7.50449,7.68246
2017,Carrington 33_11kV,16MAY2016,MW,7.67254,6.95259,7.33170,7.75841,7.03641,6.75694,6.70032,6.87777,7.92229,8.63003,8.65587,9.07216,8.84355,7.88461,7.59099,7.51002,9.28222,8.88830,8.73418,8.84642,8.82100,9.45641,9.97375,10.62920,10.03963,9.25082,9.85990,10.74099,11.55393,12.76743,12.29988,11.13279,12.61156,13.21322,12.94817,12.82461,13.38240,13.74063,14.51118,14.41713,13.23293,12.99733,12.50448,12.26129,13.12935,11.97288,11.88524,11.31489,11.37689,11.53565,11.96734,11.80625,12.63571,12.05782,11.77151,12.14847,12.11808,13.18591,13.23757,12.71003,12.96725,12.75656,12.55380,12.53508,11.94895,13.15120,12.89897,13.29427,13.07376,13.63647,14.55521,13.93295,13.98307,12.79827,12.52856,13.01499,12.72904,12.45621,12.31313,11.14419,10.02408,9.82288,9.83236,10.46000,10.48634,10.30136,11.07795,10.98407,11.72942,11.19435,10.81938,10.58673,9.29952,8.96767,9.16254,9.91023
2017,Carrington 33_11kV,17MAY2016,MW,10.47737,9.40213,7.69669,7.52722,8.09245,8.35900,8.27562,8.04678,8.26881,8.19619,9.02887,8.57839,7.59561,8.18762,7.68167,6.56137,6.12840,6.74862,7.87677,7.25272,7.87818,8.65934,8.07828,8.68906,9.48064,10.09354,10.21120,9.30499,10.25810,11.07111,11.83381,11.46439,10.33298,10.85895,10.68265,10.52534,11.35045,12.04160,11.43369,12.04750,11.95713,12.27191,12.36807,12.59299,12.82320,12.71374,12.15681,12.64949,12.87706,12.28746,12.15392,12.61008,12.44812,12.95924,13.96581,15.11374,14.96811,15.35582,14.77478,14.80637,14.93504,15.03891,14.68098,14.13678,13.69087,13.39127,12.91529,11.07129,11.37784,11.10955,12.61908,12.38985,11.77458,9.97621,10.26288,11.07583,12.26341,13.89350,13.71668,13.75807,13.93642,13.75005,13.53965,12.41658,12.45265,12.22998,11.45895,11.44283,10.78919,11.29517,10.65510,11.11582,10.44089,10.63107,10.10441,9.88972
2017,Carrington 33_11kV,18MAY2016,MW,9.90020,10.07248,10.28718,10.84579,10.60595,10.31800,10.22932,9.86798,9.25216,8.90421,9.30306,9.11782,9.02615,9.60013,9.60188,9.64759,9.81740,9.01299,8.29451,7.87388,7.82135,8.94764,9.94507,10.24889,10.95371,11.84099,12.82259,13.21476,13.19928,13.56906,13.56981,15.83069,15.64928,15.57946,15.51838,14.99034,15.28435,15.74781,14.23216,13.87423,14.53401,15.19337,15.09144,14.07578,13.99596,14.28238,14.83078,14.85751,15.91448,15.74115,15.57050,15.11212,14.44974,14.18019,13.38890,12.90731,13.54890,13.11771,12.96304,12.46778,12.02920,11.14978,11.31762,11.94648,13.00600,12.71158,12.63339,13.00006,13.40198,12.11121,13.09765,12.82784,12.03821,13.78454,13.10333,12.72402,13.04682,12.19439,12.96779,12.98958,12.25314,10.68124,12.21724,11.79785,11.34852,10.97395,11.12929,10.69954,11.43829,11.11420,10.64316,10.63723,10.89435,9.85555,10.94894,9.83119
2017,Carrington 33_11kV,19MAY2016,MW,10.31049,10.19774,9.77705,10.07221,9.00018,8.63542,8.65946,8.18503,9.19179,8.98530,9.74521,10.17918,10.14056,8.91766,9.82892,10.16338,9.76003,8.70930,8.29443,7.94294,8.02965,7.69472,8.27333,8.02379,8.28764,8.78182,9.36380,9.63196,9.87398,10.78788,11.47559,11.36699,11.32615,11.46087,11.45644,11.53044,11.27206,11.18488,11.09773,10.98733,10.84299,10.67741,11.03003,10.63163,10.85869,11.22456,11.63375,12.66956,12.64356,12.95575,12.94446,12.63753,12.90828,12.71321,11.95594,10.75501,10.88214,11.27895,10.82058,11.26525,10.65451,9.79575,9.92630,10.25304,9.92277,9.86249,10.20813,10.32519,10.17027,10.75716,11.29656,11.58380,11.59102,11.59492,10.96128,10.46373,9.96579,10.07103,10.05768,10.01152,9.98982,10.53049,11.34548,11.22651,11.75350,12.13495,12.54596,12.76236,13.53678,12.97921,12.40789,11.83302,9.75003,9.63074,10.17241,9.98234
2017,Carrington 33_11kV,20MAY2016,MW,9.74978,8.21022,7.57645,8.56704,9.26817,8.68266,8.34206,8.01931,8.14673,9.15696,9.45726,9.64387,9.01029,8.96801,7.92142,7.29500,7.25611,8.02380,8.72106,9.14958,8.81862,8.98410,9.71148,10.10628,10.26457,10.66332,11.66673,12.36355,12.52465,12.37344,13.92306,14.21187,15.59008,15.38464,15.34682,14.79180,14.47959,14.05745,13.23405,13.54779,14.38619,13.38038,13.62737,13.34707,13.41885,13.21530,13.05681,11.91309,11.06266,11.66815,11.46909,11.05278,10.56615,11.20036,10.98658,9.97065,11.18055,13.10472,12.81006,13.13739,12.93085,12.45067,12.79019,12.53659,12.00197,12.02333,13.05416,13.45724,13.21823,13.87487,13.02018,13.00304,12.54151,11.95438,11.85857,13.03087,12.37119,12.13803,11.02698,10.80438,11.00710,10.61658,10.91235,10.25944,10.13278,10.21079,9.50412,9.64601,10.13813,10.04335,8.73016,8.38179,8.75603,8.95239,9.18476,8.64477
2017,Carrington 33_11kV,21MAY2016,MW,8.70756,7.76463,7.26923,7.33711,7.32801,6.70406,6.43291,7.50822,7.28250,7.13494,6.86766,6.65016,6.60369,6.49801,6.49593,6.25369,6.62031,7.36941,7.40169,7.05920,7.18917,6.52459,6.53251,7.19391,8.41955,9.36113,9.78296,9.65597,9.38747,9.74119,9.98024,9.68435,9.58804,9.94530,9.21352,9.03408,8.92683,8.47982,9.08263,10.06768,9.79360,9.82365,10.17051,10.37691,10.03713,9.79722,10.05757,10.23689,9.31812,9.82813,10.23611,10.48007,9.99072,8.72059,9.52995,11.45597,9.90765,11.09165,12.06568,12.18730,11.30625,11.32545,11.70416,11.98821,12.31030,13.35397,13.13692,12.40658,11.76331,12.07640,12.01031,10.90994,10.92091,10.68233,10.62434,10.73740,9.62270,9.50977,10.05517,9.87300,8.88543,8.99383,9.21286,9.08511,9.04690,8.85589,9.36474,8.34932,8.49755,8.14417,8.01601,7.18308,7.50951,8.05715,7.66751,8.26288
2017,Carrington 33_11kV,22MAY2016,MW,8.88198,7.69188,6.28907,7.39893,7.90688,8.01341,8.73562,8.66371,8.40254,7.63757,7.39038,6.87843,6.74379,6.71563,6.98119,7.49440,7.43060,7.59128,7.07425,5.87147,5.90950,6.27336,6.41802,6.64910,6.63386,6.77860,6.70393,6.58054,6.50058,5.88543,7.09475,7.73241,8.15148,8.20002,8.18119,8.23025,8.23934,8.03350,7.65522,6.92815,7.31366,7.35443,7.81201,7.72281,7.72010,7.70575,7.78240,7.28107,8.26087,8.44654,9.51530,9.51595,8.94027,9.02025,8.61192,7.69182,7.91173,8.58111,8.65371,9.03368,8.91178,8.68606,8.48644,8.59859,9.62607,9.56242,9.05104,9.68736,9.16862,9.62281,10.07673,11.26169,11.69303,11.21831,11.25696,10.78646,10.44982,10.32896,9.08869,9.20040,9.36519,9.73482,9.93676,9.67973,9.38576,10.89493,11.56782,11.06103,10.46246,10.27352,9.60155,8.98921,9.26805,8.61788,7.55445,7.09180
2017,Carrington 33_11kV,23MAY2016,MW,7.01303,7.50960,7.83854,7.94143,7.06403,6.77445,6.85667,6.68954,6.11097,6.56606,6.13014,6.22389,5.84582,5.68089,5.72197,5.57981,5.40908,5.42216,5.52119,5.70399,5.98683,6.16399,6.34642,6.66589,7.37488,8.73723,9.54816,9.86618,10.92426,12.38596,12.68146,12.94704,12.77522,12.32744,12.37891,11.76411,12.69422,12.27696,11.92759,12.21730,11.51568,10.66343,10.42682,10.49841,10.76141,11.47816,12.74668,12.24190,12.22884,12.64788,12.47865,12.17082,11.90206,12.35896,12.73905,13.18460,12.87432,13.38640,12.97186,12.85632,12.73178,11.62488,12.91311,14.80942,14.48409,13.07701,13.02763,13.28518,13.66744,15.09244,15.58769,14.70918,14.39889,13.98983,13.42902,13.42487,12.83007,13.84704,14.00981,13.55422,13.03781,12.33368,12.85979,12.67880,12.78689,13.19831,12.93356,12.37579,12.23821,12.78955,12.66052,12.01532,11.36281,11.03169,11.21851,11.67451
2017,Carrington 33_11kV,24MAY2016,MW,10.78352,10.59377,10.25240,10.57144,10.19594,10.42690,12.05518,12.61824,12.43447,11.66183,12.06983,12.04878,11.34203,11.65996,11.22723,10.61618,10.83148,9.74400,10.11735,9.87010,10.59230,10.18154,10.03021,9.70224,9.25987,9.01872,9.80540,10.24007,11.06492,11.72656,13.19014,13.98620,14.83446,14.74949,14.46911,14.30574,13.38463,13.83928,13.71472,13.24435,12.78916,12.53810,11.39239,10.25953,10.34402,11.29569,11.66761,11.23597,11.42904,11.93318,12.46374,12.64099,12.18771,12.90874,12.81806,12.89089,12.36221,11.35612,10.83994,10.32985,9.95144,9.87574,10.20085,11.07420,10.97771,10.96960,10.66768,10.67244,10.84091,11.90219,13.63605,13.66805,14.20470,14.25190,13.42580,13.60830,13.26659,12.93167,11.31400,11.08214,10.89679,11.30841,11.31105,10.89657,10.78950,10.85669,10.54206,10.69181,11.97208,11.15326,10.50314,10.03420,10.39340,9.82873,9.67163,9.67280
2017,Carrington 33_11kV,25MAY2016,MW,8.22696,8.84546,8.59286,8.50758,7.84808,7.52489,7.34464,7.31172,6.52691,6.09218,5.91890,5.85916,5.67767,5.76743,6.39070,7.59604,9.18571,9.86142,9.84073,9.85182,9.56012,9.26024,9.27929,9.59867,9.96478,10.90134,10.96104,9.91763,10.14916,10.72227,10.69218,10.29109,10.69757,10.84068,11.31597,11.58281,11.89787,12.47885,12.71882,12.71234,12.55493,12.58625,12.18917,11.71843,11.73895,11.87720,12.24337,12.20858,13.29330,12.46480,12.04434,11.95303,11.68553,11.65539,11.04523,10.98687,11.15136,10.94916,11.44475,10.88469,10.32476,10.34014,10.72090,11.09474,11.46866,11.19699,11.16093,11.16764,10.60912,11.70450,11.86964,11.38339,11.10825,10.94220,11.07931,11.10434,11.06937,11.00888,10.87625,10.67218,10.98021,11.02329,10.69122,10.58991,10.36353,10.10900,10.15366,9.93972,10.80151,9.68296,9.31426,9.21058,9.06292,8.97270,8.32923,7.56441
2017,Carrington 33_11kV,26MAY2016,MW,7.76038,7.36075,7.23649,7.61075,7.11955,6.84741,6.60295,7.26366,6.93825,7.96807,9.01797,8.14437,8.24116,8.66856,8.30809,8.32572,7.98934,7.51504,7.63395,7.26473,7.15649,6.94013,7.05211,7.59455,8.40132,9.03008,9.90987,11.01859,11.96838,12.65660,13.64979,13.57904,14.10811,13.94597,14.14660,13.48451,12.57298,12.16763,11.83057,11.52708,11.64349,12.17329,12.46524,11.98424,12.10957,12.11782,12.26827,12.24607,11.63493,11.64591,11.46970,11.63046,12.09090,12.49210,12.93028,12.51275,13.19833,13.40362,13.13338,11.99084,11.83879,11.22303,10.68170,10.45749,10.16720,9.96439,10.69865,11.22333,12.47904,13.56711,13.82936,14.04559,14.24080,13.45334,12.99143,13.84749,12.70192,12.76280,12.91587,12.69497,12.30666,12.07015,11.45965,10.59695,10.36877,10.53317,10.75035,10.64775,11.05278,10.44432,9.82965,10.03942,10.03032,9.21652,9.29174,10.29642
