year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Pymble 33_11kV,01MAY2014,MW,13.57660,13.34915,12.42189,12.29942,12.43938,11.79204,11.38965,10.79479,10.37490,9.81504,9.46513,9.20269,8.85278,8.76530,8.50287,8.50287,8.52036,8.53786,8.53786,8.60784,8.97525,9.23768,9.60509,10.16495,11.23218,12.45688,13.41914,14.36390,15.64108,16.30591,16.56835,16.76080,16.60334,16.65583,16.39339,15.02873,14.90626,14.66133,14.41639,15.46612,16.13096,15.76355,15.25618,15.04623,15.09872,14.88877,15.02873,14.78379,14.78379,14.73131,14.64383,14.76630,14.76630,14.78379,14.74880,14.66133,14.76630,14.67882,14.76630,14.87127,14.80129,14.85378,15.09872,15.08122,15.36115,15.46612,15.67607,16.14845,16.49836,17.35565,18.52786,19.10521,18.73780,18.72031,18.58034,18.40539,18.19544,17.79304,17.54810,17.32066,16.91826,16.42838,16.32341,16.09597,15.90351,15.60609,15.39614,14.85378,15.36115,16.14845,15.99099,15.32616,14.57385,14.69632,14.73131,13.94401
2015,Pymble 33_11kV,02MAY2014,MW,14.11896,13.59409,12.80679,12.78929,12.84178,12.28192,11.70457,11.09222,10.63733,10.05998,9.48262,9.25518,8.95775,8.78280,8.66033,8.66033,8.48537,8.39790,8.39790,8.46788,8.99275,9.29017,9.78005,10.33991,11.12721,12.31691,13.52411,14.43388,15.55360,15.99099,16.39339,16.49836,16.48087,16.25343,16.48087,16.21844,16.16595,16.16595,16.00849,15.71106,15.46612,15.48362,15.41364,15.29117,15.29117,15.15120,15.11621,14.95875,14.92376,14.88877,14.97625,14.95875,15.09872,15.08122,15.04623,15.04623,14.99374,14.92376,14.80129,14.66133,14.81879,14.76630,15.01124,15.23868,15.37865,15.57110,16.13096,16.62083,16.95325,17.70556,18.59784,18.89526,18.45787,18.33540,18.23043,17.91551,17.77554,17.16320,17.00574,16.84828,16.58584,16.34090,15.97350,15.71106,15.48362,15.23868,15.06372,14.66133,15.29117,16.00849,15.93851,15.25618,14.52136,14.59134,14.69632,14.17145
2015,Pymble 33_11kV,03MAY2014,MW,14.36390,13.96150,13.01674,12.82429,12.99924,12.52686,11.89702,11.38965,10.93476,10.35740,10.04248,9.48262,9.36015,9.15021,8.97525,8.80029,8.80029,8.55536,8.53786,8.53786,8.71282,9.01024,8.92276,9.06273,9.48262,9.86753,10.44488,10.68982,10.79479,11.52961,12.24693,12.85928,13.54161,13.76905,13.83903,14.06647,14.27642,14.74880,14.76630,14.24143,14.32891,14.80129,14.71381,14.87127,14.66133,14.41639,14.27642,14.18894,14.32891,14.17145,13.99649,13.97900,14.13646,13.83903,13.80404,13.64658,13.80404,13.87402,13.97900,14.20644,14.45138,14.52136,14.76630,14.97625,15.30866,15.65858,16.14845,17.09322,18.02048,19.33265,20.25992,20.74980,21.16969,21.20469,20.66232,20.31241,19.85752,19.56010,19.22768,18.91276,18.59784,18.26542,18.00299,17.72306,17.37315,17.09322,16.88327,16.55085,16.55085,16.77829,16.95325,16.49836,15.93851,16.04348,16.18344,15.53611
2015,Pymble 33_11kV,04MAY2014,MW,15.62358,15.44863,14.45138,14.38140,14.32891,13.71656,12.89427,12.43938,11.94951,11.38965,10.95225,10.51486,10.19994,9.79754,9.65758,9.43014,9.39515,9.15021,9.01024,8.88777,8.94026,9.16770,9.25518,9.48262,9.71007,10.04248,10.28742,10.44488,10.81229,11.44213,11.98450,12.50936,12.85928,13.50661,13.87402,14.22393,14.41639,14.17145,14.17145,14.17145,14.17145,14.10147,13.78654,13.40164,13.36665,13.17420,13.13921,13.13921,12.91176,12.66683,12.57935,12.56185,12.50936,12.52686,12.22943,12.29942,12.17695,12.08947,12.00199,12.29942,12.50936,12.70182,12.70182,12.98175,13.43663,13.94401,14.80129,15.64108,16.53336,18.14295,19.56010,20.64483,21.06472,21.30966,21.23968,20.90726,20.48737,20.29491,19.78754,19.63008,19.40264,19.14020,18.94775,18.44038,18.12546,17.58309,17.05822,16.60334,16.91826,17.51311,17.21569,16.41089,15.48362,15.44863,15.62358,14.88877
2015,Pymble 33_11kV,05MAY2014,MW,15.09872,14.78379,13.80404,13.94401,13.97900,13.43663,12.89427,12.26443,11.82704,11.37215,10.86478,10.39240,10.28742,10.04248,9.81504,9.65758,9.51761,9.30767,9.30767,9.57010,9.99000,10.28742,10.82979,11.44213,13.01674,14.43388,16.16595,17.56560,19.66507,20.20744,20.46987,20.53985,20.50486,20.41738,20.11996,19.57759,19.19269,19.08772,18.80779,18.23043,17.95050,17.72306,17.65308,17.49561,17.14570,17.12821,16.74330,16.56835,16.21844,16.14845,16.13096,16.06097,15.93851,16.02598,15.93851,15.71106,15.79854,15.65858,15.72856,15.46612,15.34365,15.67607,15.92101,16.09597,16.60334,16.98824,17.56560,18.17794,19.00024,20.24243,21.78204,22.63933,22.60433,22.93675,22.91926,22.86677,22.32440,21.95700,21.85202,21.50211,21.02973,20.76729,20.64483,20.04997,19.71756,19.07022,18.63283,17.68807,18.05547,18.59784,18.16045,17.16320,16.20094,16.25343,16.20094,15.22119
2015,Pymble 33_11kV,06MAY2014,MW,15.37865,15.15120,14.04898,13.97900,14.10147,13.27917,12.73681,12.10697,11.68707,11.10972,10.82979,10.37490,10.12996,10.00749,9.69257,9.55261,9.55261,9.48262,9.27268,9.53511,9.97250,10.39240,10.93476,11.75705,13.27917,15.06372,16.56835,17.63558,19.22768,20.11996,20.73230,20.31241,20.18994,20.04997,19.47262,19.01773,18.59784,18.17794,17.91551,17.42563,17.44313,17.07572,16.88327,16.35840,16.32341,16.32341,15.99099,15.90351,15.69357,15.69357,15.57110,15.67607,15.46612,15.46612,15.36115,15.37865,15.39614,15.30866,15.27367,15.36115,15.37865,15.27367,15.37865,15.53611,16.02598,16.32341,16.86577,17.47812,18.37040,19.71756,20.80229,21.43213,21.15220,21.64208,21.55460,21.50211,21.04722,20.55735,20.43488,20.29491,19.84003,19.64758,19.42013,18.93026,18.30041,17.84553,17.42563,16.95325,17.28567,17.89801,17.54810,16.60334,15.60609,15.55360,15.78104,14.92376
2015,Pymble 33_11kV,07MAY2014,MW,14.99374,14.69632,13.62908,13.64658,13.75155,13.20919,12.73681,12.17695,11.63458,11.05723,10.56735,10.14746,9.86753,9.64008,9.64008,9.44763,9.30767,9.29017,9.15021,9.51761,9.86753,10.14746,10.77730,11.45963,12.82429,14.46887,16.00849,17.18069,18.75530,19.33265,19.47262,19.43763,19.38514,19.17519,18.94775,18.58034,18.05547,17.75805,17.58309,17.32066,17.04073,16.79579,16.55085,16.49836,16.44588,15.95600,15.93851,15.76355,15.71106,15.43113,15.43113,15.53611,15.37865,15.46612,15.51861,15.39614,15.58859,15.58859,15.36115,15.36115,15.43113,15.46612,15.46612,15.85103,16.30591,16.63833,17.35565,18.17794,18.87777,20.24243,21.44962,21.99199,21.88701,22.13195,22.06197,21.90451,21.67707,21.15220,20.95975,20.73230,20.46987,20.17244,19.70006,19.43763,18.91276,18.45787,18.12546,17.53061,17.86302,18.42288,18.09047,17.05822,16.14845,16.20094,16.21844,15.41364
2015,Pymble 33_11kV,08MAY2014,MW,15.43113,14.87127,13.99649,13.99649,14.22393,13.45413,12.84178,12.22943,11.59959,11.14471,10.70732,10.28742,10.14746,9.99000,9.88502,9.62259,9.69257,9.69257,9.69257,9.69257,9.88502,10.21744,10.68982,11.40714,12.98175,14.78379,16.14845,17.30316,19.00024,19.64758,20.08497,20.08497,19.91001,19.56010,19.17519,18.80779,18.52786,18.10796,17.77554,17.51311,17.21569,16.98824,16.70831,16.46337,16.14845,15.79854,15.72856,15.50111,15.64108,15.32616,15.25618,15.06372,15.08122,15.16870,14.97625,15.29117,15.29117,15.13371,15.06372,15.08122,15.18619,15.27367,15.36115,15.51861,16.04348,16.30591,16.83078,17.26817,18.24793,19.45512,20.64483,21.37964,21.22218,21.18719,21.15220,20.97724,20.50486,20.13745,19.94500,19.61258,19.43763,19.33265,19.01773,18.68532,18.26542,17.68807,17.42563,17.11071,17.49561,17.95050,17.46062,16.67332,15.92101,15.95600,15.85103,14.88877
2015,Pymble 33_11kV,09MAY2014,MW,15.16870,14.80129,13.75155,13.62908,13.66408,13.10422,12.54436,11.82704,11.35465,10.77730,10.47987,10.07747,9.81504,9.37765,9.25518,9.37765,9.32516,9.20269,8.95775,9.06273,9.62259,9.92001,10.44488,11.14471,12.42189,13.89152,15.16870,16.37590,17.91551,18.38789,18.79029,18.82528,18.65033,18.82528,18.37040,17.96800,17.60059,17.46062,17.47812,17.25068,17.39064,16.98824,16.60334,16.13096,16.14845,15.99099,15.90351,15.74605,15.83353,15.60609,15.72856,15.71106,15.62358,15.43113,15.69357,15.69357,15.69357,16.02598,15.99099,15.83353,15.69357,15.81604,15.95600,16.13096,16.44588,16.79579,17.23318,17.86302,18.37040,19.52511,20.22493,20.55735,20.25992,20.15495,20.11996,19.73505,19.36765,18.89526,18.77279,18.68532,18.40539,18.02048,17.75805,17.30316,17.04073,16.65583,16.55085,16.00849,16.63833,17.28567,16.98824,16.41089,15.55360,15.67607,15.86852,15.22119
2015,Pymble 33_11kV,10MAY2014,MW,15.29117,14.95875,13.99649,13.68157,13.78654,13.26168,12.68432,12.12446,11.54711,11.02224,10.46238,10.14746,9.85003,9.62259,9.41264,9.37765,9.37765,9.27268,9.22019,9.13271,9.32516,9.53511,9.51761,9.72756,10.23493,10.63733,11.24968,11.82704,12.08947,12.78929,13.48912,13.78654,14.06647,14.29392,14.38140,14.34640,14.39889,14.20644,14.03148,13.90901,13.96150,13.64658,13.40164,13.33166,13.01674,12.89427,12.87677,12.84178,12.87677,12.57935,12.50936,12.22943,12.40439,12.22943,12.33441,12.33441,12.33441,12.33441,12.35190,12.33441,12.59684,12.80679,12.80679,13.03423,13.50661,13.78654,14.48637,15.13371,15.74605,16.86577,17.82803,18.33540,18.56285,18.61533,18.52786,17.91551,17.70556,17.26817,16.91826,16.79579,16.44588,16.13096,15.83353,15.83353,15.48362,15.06372,15.01124,14.85378,15.58859,16.37590,16.44588,15.95600,15.15120,15.22119,15.36115,14.76630
2015,Pymble 33_11kV,11MAY2014,MW,14.94126,14.53886,13.71656,13.76905,13.78654,13.06922,12.50936,11.84453,11.35465,10.61984,10.30492,9.92001,9.71007,9.46513,9.11522,9.06273,8.78280,8.78280,8.78280,8.78280,8.92276,8.85278,8.73031,8.95775,9.09772,9.57010,9.97250,10.14746,10.39240,10.82979,11.28467,11.70457,12.14196,12.43938,12.70182,12.96425,13.34915,13.36665,13.36665,13.40164,13.34915,13.40164,13.13921,12.85928,12.70182,12.68432,12.66683,12.54436,12.50936,12.24693,12.05448,12.14196,12.15945,12.05448,12.05448,12.19444,12.07197,11.89702,11.84453,11.66958,11.66958,11.87952,12.22943,12.43938,12.77180,12.92926,13.57660,14.20644,14.94126,15.99099,17.11071,17.84553,18.16045,18.31791,18.37040,18.16045,17.82803,17.63558,17.33815,17.21569,16.72581,16.44588,16.46337,16.06097,15.76355,15.50111,15.16870,14.60884,15.32616,15.97350,15.58859,15.04623,14.25893,14.38140,14.53886,13.90901
2015,Pymble 33_11kV,12MAY2014,MW,14.18894,14.01399,13.20919,13.03423,13.08672,12.57935,12.14196,11.38965,10.93476,10.53236,10.12996,9.78005,9.43014,9.22019,9.02774,8.81779,8.78280,8.78280,8.92276,8.83529,9.34266,9.67508,10.11247,10.82979,11.94951,13.52411,14.87127,16.04348,17.58309,17.91551,18.40539,18.17794,17.95050,17.58309,17.49561,17.09322,16.90076,16.86577,16.67332,16.32341,16.27092,16.00849,15.90351,15.83353,15.67607,15.64108,15.50111,15.55360,15.53611,15.55360,15.27367,15.34365,15.18619,15.08122,14.87127,14.83628,15.06372,15.02873,14.78379,14.71381,14.81879,14.90626,15.18619,15.32616,15.71106,15.92101,16.23593,16.84828,17.77554,18.89526,19.85752,20.38239,20.24243,20.20744,20.31241,20.17244,19.85752,19.21019,18.68532,18.45787,18.16045,17.72306,17.42563,17.02323,16.55085,16.20094,15.97350,15.27367,15.71106,16.39339,16.18344,15.34365,14.60884,14.76630,14.80129,14.03148
2015,Pymble 33_11kV,13MAY2014,MW,14.04898,13.75155,12.82429,12.75430,12.87677,12.38690,11.91451,11.31966,10.74231,10.25243,9.65758,9.43014,9.32516,8.97525,8.97525,8.81779,8.74781,8.74781,8.74781,8.74781,8.94026,9.53511,9.88502,10.39240,11.65208,13.13921,14.46887,15.27367,16.62083,17.11071,17.46062,17.25068,17.16320,17.21569,17.09322,16.95325,16.72581,16.86577,16.65583,16.46337,16.27092,15.88602,15.69357,15.78104,15.44863,15.43113,15.27367,15.25618,15.25618,15.27367,15.41364,15.46612,15.51861,15.41364,15.18619,15.01124,15.01124,15.09872,14.97625,15.01124,14.81879,15.16870,15.30866,15.51861,15.83353,15.95600,16.37590,17.00574,17.75805,18.96525,19.84003,20.34740,19.96250,20.10246,20.06747,20.08497,19.42013,18.94775,18.70281,18.30041,17.96800,17.81054,17.60059,17.26817,16.77829,16.39339,16.23593,15.81604,16.25343,16.70831,16.48087,15.74605,14.87127,14.94126,15.09872,14.18894
2015,Pymble 33_11kV,14MAY2014,MW,14.32891,14.04898,13.19169,13.06922,13.10422,12.52686,12.21194,11.56460,11.02224,10.51486,10.07747,9.67508,9.37765,9.30767,9.11522,9.11522,9.11522,8.87028,8.85278,9.13271,9.29017,9.78005,10.18245,10.72481,12.05448,13.50661,14.99374,15.95600,17.30316,17.81054,18.00299,17.93301,17.89801,17.67057,17.37315,17.05822,16.81329,16.53336,16.53336,16.20094,16.14845,15.92101,15.74605,15.64108,15.62358,15.53611,15.46612,15.22119,15.18619,15.11621,15.13371,15.01124,15.25618,15.01124,15.15120,14.83628,15.08122,15.01124,15.06372,14.92376,14.90626,14.90626,15.02873,15.27367,15.62358,15.88602,16.30591,16.81329,17.61808,19.00024,19.57759,20.03248,19.71756,19.64758,19.49012,19.38514,18.89526,18.58034,18.47537,18.19544,18.00299,17.67057,17.46062,16.98824,16.67332,16.06097,15.71106,15.20369,15.81604,16.48087,16.20094,15.43113,14.62633,14.64383,14.88877,14.20644
2015,Pymble 33_11kV,15MAY2014,MW,14.46887,14.29392,13.36665,13.26168,13.15670,12.63183,12.21194,11.45963,11.03973,10.44488,10.11247,9.65758,9.43014,9.16770,9.08022,8.87028,9.13271,8.90527,8.88777,8.97525,9.27268,9.74506,10.19994,10.91726,12.21194,13.78654,14.95875,16.30591,17.68807,18.16045,18.24793,18.14295,18.02048,17.67057,17.58309,17.39064,17.19819,17.21569,16.93576,16.58584,16.51586,16.37590,16.14845,15.69357,15.67607,15.43113,15.20369,15.02873,15.04623,15.06372,15.06372,14.92376,15.06372,14.85378,14.80129,14.85378,14.90626,14.97625,14.97625,14.85378,14.57385,14.59134,14.69632,14.81879,15.27367,15.55360,15.92101,16.39339,16.86577,17.77554,18.51036,19.01773,18.61533,18.61533,18.42288,18.35290,18.14295,17.81054,17.54810,17.39064,17.09322,16.81329,16.55085,16.25343,15.76355,15.23868,14.92376,14.60884,14.92376,15.64108,15.36115,14.64383,13.99649,14.04898,14.10147,13.33166
2015,Pymble 33_11kV,16MAY2014,MW,13.54161,13.17420,12.19444,12.17695,12.40439,11.84453,11.38965,10.84728,10.33991,9.97250,9.62259,9.20269,9.02774,8.88777,8.74781,8.67783,8.38040,8.38040,8.38040,8.41539,8.83529,9.18520,9.64008,10.25243,11.40714,12.61434,13.92651,15.15120,16.65583,17.18069,17.46062,17.26817,17.47812,17.30316,17.19819,16.93576,16.62083,16.23593,16.07847,15.50111,15.51861,15.32616,15.34365,14.97625,15.04623,14.99374,14.80129,14.52136,14.69632,14.48637,14.48637,14.62633,14.60884,14.43388,14.29392,14.34640,14.45138,14.36390,14.31141,14.25893,14.31141,14.43388,14.59134,14.81879,14.97625,15.11621,15.37865,15.86852,16.53336,17.54810,18.23043,18.70281,18.21294,18.28292,17.95050,17.77554,17.51311,17.18069,16.91826,16.39339,16.23593,15.92101,15.57110,15.36115,15.09872,14.62633,14.41639,14.01399,14.87127,15.44863,15.44863,14.73131,13.99649,13.90901,13.99649,13.36665
2015,Pymble 33_11kV,17MAY2014,MW,13.75155,13.45413,12.54436,12.43938,12.50936,11.89702,11.38965,10.95225,10.40989,9.88502,9.34266,9.13271,8.95775,8.67783,8.38040,8.27543,8.27543,8.27543,8.27543,8.27543,8.39790,8.52036,8.52036,8.81779,9.41264,9.86753,10.09497,10.53236,10.91726,11.65208,12.29942,12.63183,12.73681,12.99924,12.99924,13.08672,13.05173,13.08672,13.01674,12.78929,12.73681,12.52686,12.26443,12.35190,12.17695,12.14196,12.00199,11.89702,11.75705,11.45963,11.49462,11.40714,11.56460,11.42464,11.31966,11.35465,11.35465,11.31966,11.26718,11.10972,11.37215,11.40714,11.49462,11.79204,11.84453,12.24693,12.98175,13.82154,14.71381,15.65858,16.41089,16.65583,16.88327,16.95325,16.81329,16.44588,16.16595,15.76355,15.37865,15.15120,14.71381,14.60884,14.34640,14.29392,13.96150,13.69907,13.52411,13.38415,14.08397,14.71381,14.66133,14.18894,13.64658,13.92651,14.03148,13.50661
2015,Pymble 33_11kV,18MAY2014,MW,13.66408,13.41914,12.70182,12.59684,12.70182,12.19444,11.59959,11.00474,10.33991,9.88502,9.55261,9.22019,9.01024,8.66033,8.50287,8.38040,8.29292,8.34541,8.32791,8.31042,8.38040,8.46788,8.53786,8.53786,8.88777,9.20269,9.48262,9.55261,9.81504,10.28742,10.77730,11.26718,11.84453,12.12446,12.50936,12.84178,12.98175,13.06922,13.01674,12.98175,13.06922,13.15670,12.98175,12.73681,12.50936,12.35190,12.45688,12.15945,11.84453,11.61709,11.42464,11.42464,11.66958,11.54711,11.47712,11.58210,11.56460,11.24968,11.30217,11.26718,11.33716,11.31966,11.49462,11.73956,11.98450,12.42189,13.15670,13.89152,14.83628,15.90351,16.67332,17.19819,17.40814,17.42563,17.47812,17.16320,16.90076,16.55085,16.21844,16.00849,15.72856,15.58859,15.36115,15.13371,14.80129,14.41639,14.06647,13.50661,14.08397,14.55635,14.41639,13.71656,13.24418,13.22668,13.33166,12.80679
2015,Pymble 33_11kV,19MAY2014,MW,13.03423,12.91176,12.17695,12.15945,12.43938,11.91451,11.40714,10.77730,10.26993,9.79754,9.51761,9.16770,8.97525,8.73031,8.67783,8.38040,8.38040,8.17045,8.13546,8.41539,8.69532,9.15021,9.46513,9.99000,11.14471,12.68432,13.76905,14.71381,16.14845,16.79579,16.79579,16.91826,16.81329,16.62083,16.48087,16.27092,16.51586,16.27092,16.13096,15.78104,15.62358,15.37865,15.25618,15.11621,14.99374,14.94126,14.71381,14.73131,14.53886,14.66133,14.57385,14.39889,14.57385,14.59134,14.50386,14.38140,14.43388,14.43388,14.46887,14.55635,14.39889,14.48637,14.67882,14.69632,15.04623,15.23868,15.72856,16.16595,16.84828,17.93301,18.38789,18.54535,18.47537,18.40539,18.35290,18.09047,17.58309,17.23318,16.93576,16.74330,16.18344,15.88602,15.55360,15.27367,15.02873,14.76630,14.46887,13.90901,14.34640,14.90626,14.67882,14.27642,13.48912,13.50661,13.52411,12.82429
2015,Pymble 33_11kV,20MAY2014,MW,12.98175,12.73681,12.05448,12.05448,12.17695,11.51211,11.02224,10.46238,10.19994,9.60509,8.64283,7.83804,7.52311,7.41814,7.22569,8.24043,8.59035,8.53786,8.29292,8.27543,8.48537,8.87028,9.37765,9.78005,10.67233,12.01949,13.31416,13.99649,15.09872,15.39614,15.95600,16.23593,16.42838,16.18344,15.99099,15.76355,15.72856,15.60609,15.55360,15.46612,15.34365,15.27367,15.08122,14.94126,14.73131,14.78379,14.60884,14.55635,14.39889,14.41639,14.34640,14.36390,14.46887,14.41639,14.32891,14.29392,14.24143,14.13646,14.27642,14.20644,14.29392,14.41639,14.57385,14.78379,15.13371,15.36115,15.90351,16.46337,17.39064,18.05547,18.56285,18.98274,18.35290,18.21294,18.00299,17.75805,17.28567,17.02323,16.53336,16.30591,16.00849,15.67607,15.22119,14.78379,14.50386,14.22393,13.96150,13.54161,14.22393,14.78379,14.64383,13.90901,,13.34915,13.38415,12.71931
2015,Pymble 33_11kV,21MAY2014,MW,12.99924,12.70182,11.84453,11.98450,12.12446,,11.14471,10.49737,9.95500,9.46513,9.15021,8.88777,8.81779,8.62534,8.43289,8.31042,8.31042,8.24043,8.01299,8.22294,8.53786,8.99275,9.25518,9.92001,11.03973,12.28192,13.38415,14.18894,15.09872,15.72856,15.90351,15.97350,16.00849,15.95600,15.62358,15.46612,15.53611,15.27367,15.18619,14.97625,15.06372,15.08122,15.16870,15.18619,15.01124,14.78379,14.88877,15.16870,14.73131,14.69632,14.71381,14.48637,14.45138,14.67882,14.39889,14.57385,14.67882,14.50386,14.46887,14.36390,14.36390,14.64383,14.52136,14.67882,14.88877,15.15120,15.39614,15.88602,16.53336,17.75805,18.21294,18.40539,18.09047,18.03798,17.86302,17.51311,17.09322,16.69082,16.41089,16.34090,15.93851,15.72856,15.36115,14.94126,14.57385,14.17145,13.97900,13.54161,14.20644,14.85378,14.71381,14.01399,13.38415,13.34915,13.59409,12.84178
2015,Pymble 33_11kV,22MAY2014,MW,13.06922,12.66683,11.66958,11.86203,12.12446,11.63458,11.14471,10.51486,9.99000,9.67508,9.29017,8.97525,8.74781,8.66033,8.43289,8.38040,8.36290,8.11797,8.11797,8.15296,8.64283,8.88777,9.34266,9.90252,11.03973,12.24693,13.31416,14.36390,15.67607,16.14845,16.48087,16.39339,16.25343,16.18344,15.95600,15.97350,15.65858,15.55360,15.41364,15.13371,15.01124,14.94126,14.92376,14.64383,14.64383,14.60884,14.38140,14.41639,14.39889,14.36390,14.17145,14.31141,14.15395,14.03148,14.08397,14.11896,14.24143,14.15395,14.46887,14.25893,14.18894,14.18894,14.38140,14.46887,14.83628,14.97625,15.34365,15.97350,16.44588,17.25068,17.84553,17.89801,17.61808,17.75805,17.72306,17.37315,17.02323,16.88327,16.37590,16.09597,15.92101,15.46612,15.25618,15.09872,14.59134,14.22393,13.82154,13.64658,13.97900,14.53886,14.46887,13.73406,13.06922,13.24418,13.24418,12.57935
2015,Pymble 33_11kV,23MAY2014,MW,12.75430,12.57935,11.77455,11.77455,11.79204,11.37215,10.95225,10.32241,9.78005,9.43014,9.09772,8.88777,8.69532,8.38040,8.17045,8.17045,8.17045,8.11797,7.90802,8.08297,8.39790,8.66033,9.02774,9.55261,10.47987,11.61709,12.85928,13.73406,14.95875,15.36115,15.83353,15.90351,15.86852,15.51861,15.57110,15.41364,15.34365,15.32616,15.20369,15.11621,14.97625,15.01124,14.88877,14.66133,14.73131,14.67882,14.59134,14.60884,14.41639,14.43388,14.53886,14.62633,14.71381,14.41639,14.57385,14.34640,14.25893,14.39889,14.31141,14.17145,14.20644,14.06647,14.39889,14.60884,14.59134,14.92376,15.32616,15.76355,16.09597,16.83078,17.26817,17.54810,16.70831,16.74330,16.37590,16.21844,15.85103,15.41364,15.11621,14.81879,14.64383,14.45138,14.41639,13.97900,13.57660,13.43663,13.31416,13.03423,13.73406,14.34640,14.36390,13.69907,13.20919,13.31416,13.43663,12.77180
2015,Pymble 33_11kV,24MAY2014,MW,12.94676,12.64933,11.89702,11.89702,12.05448,11.52961,10.91726,10.26993,9.85003,9.32516,8.97525,8.85278,8.60784,8.39790,8.03049,8.01299,7.90802,7.89052,7.89052,7.89052,7.89052,8.03049,8.27543,8.27543,8.46788,8.90527,9.15021,9.46513,9.79754,10.28742,10.70732,10.96975,11.38965,11.58210,11.86203,12.01949,12.01949,12.14196,12.22943,11.94951,11.91451,11.89702,11.84453,11.73956,11.70457,11.70457,11.66958,11.42464,11.45963,11.65208,11.65208,11.44213,11.42464,11.33716,11.33716,11.26718,11.30217,11.17970,11.10972,11.14471,11.38965,11.44213,11.72206,11.98450,12.07197,12.47437,12.96425,13.48912,13.76905,14.45138,14.90626,15.32616,15.37865,15.27367,15.01124,14.66133,14.45138,14.24143,13.89152,13.68157,13.45413,13.20919,13.08672,12.87677,12.66683,12.38690,12.38690,12.10697,12.94676,13.73406,13.66408,13.33166,12.78929,13.06922,13.24418,12.75430
2015,Pymble 33_11kV,25MAY2014,MW,12.99924,12.84178,11.98450,11.93201,11.98450,11.49462,10.96975,10.46238,10.00749,9.57010,9.06273,8.90527,8.60784,8.29292,8.06548,7.97800,7.94301,7.96050,7.96050,7.96050,7.97800,8.06548,8.06548,8.06548,8.31042,8.64283,8.76530,8.95775,9.16770,9.58760,9.99000,10.30492,10.61984,11.05723,11.56460,11.89702,12.33441,12.56185,12.61434,12.50936,12.42189,12.56185,12.45688,12.07197,11.98450,11.89702,12.00199,12.00199,11.91451,11.70457,11.66958,11.44213,11.23218,11.14471,11.09222,10.98725,10.93476,10.91726,10.82979,11.09222,11.09222,11.24968,11.16220,11.30217,11.45963,11.75705,12.29942,12.89427,13.94401,14.97625,15.51861,16.18344,16.48087,16.48087,16.27092,15.88602,15.51861,15.27367,14.95875,14.62633,14.36390,14.15395,14.10147,13.83903,13.59409,13.19169,12.98175,12.57935,13.29667,13.96150,13.83903,13.29667,12.73681,12.91176,12.96425,12.28192
2015,Pymble 33_11kV,26MAY2014,MW,12.38690,12.26443,11.59959,11.63458,11.94951,11.45963,10.96975,10.25243,9.88502,9.53511,9.09772,8.66033,8.62534,8.34541,8.32791,8.08297,8.08297,8.10047,8.10047,8.10047,8.46788,8.62534,8.88777,9.41264,10.53236,11.65208,12.61434,13.66408,14.74880,15.04623,15.53611,15.58859,15.69357,15.64108,15.57110,15.67607,15.44863,15.37865,15.34365,14.99374,15.09872,14.90626,14.76630,14.64383,14.62633,14.48637,14.41639,14.34640,14.34640,14.48637,14.57385,14.36390,14.43388,14.57385,14.34640,14.31141,14.50386,14.64383,14.48637,14.41639,14.45138,14.39889,14.55635,14.76630,14.90626,15.29117,15.57110,16.18344,16.70831,17.42563,17.81054,17.81054,17.30316,17.30316,17.07572,16.76080,16.35840,15.86852,15.64108,15.58859,15.16870,14.87127,14.50386,14.11896,13.85653,13.38415,13.13921,12.75430,13.10422,13.76905,13.69907,13.20919,12.38690,12.59684,12.84178,12.12446
2015,Pymble 33_11kV,27MAY2014,MW,12.22943,12.03698,11.31966,11.40714,11.61709,11.12721,10.56735,10.07747,9.58760,9.06273,8.71282,8.43289,8.43289,8.24043,8.11797,7.89052,7.89052,7.87303,7.59310,7.82054,8.18795,8.53786,8.88777,9.30767,10.23493,11.35465,12.57935,13.24418,14.36390,14.81879,15.11621,15.36115,15.36115,15.29117,15.13371,15.04623,14.87127,14.80129,14.88877,14.59134,14.48637,14.55635,14.45138,14.45138,14.29392,14.31141,14.27642,14.15395,14.25893,14.18894,14.27642,14.24143,14.22393,14.29392,14.13646,14.13646,13.99649,14.15395,14.41639,14.18894,14.27642,14.18894,14.25893,14.34640,14.59134,14.92376,15.20369,15.72856,16.42838,17.32066,17.63558,17.67057,17.19819,17.09322,17.02323,16.83078,16.37590,16.06097,15.79854,15.53611,15.09872,14.81879,14.57385,14.18894,13.96150,13.43663,13.29667,12.92926,13.40164,14.15395,13.99649,13.29667,12.59684,12.80679,12.84178,12.19444
