year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Lidcombe 33_11kV,01MAY2015,MW,9.75039,9.43473,9.22429,8.94370,8.50529,8.32992,8.06687,8.10194,8.13702,7.87397,7.80382,7.73367,7.71614,7.71614,7.71614,7.57584,7.29526,7.57584,7.90904,8.22470,8.31238,8.36499,8.69819,8.97878,9.57502,9.78546,9.83807,10.04851,10.52200,10.96042,11.43391,11.69696,11.76711,11.66189,11.67943,11.96001,12.27567,12.31075,12.38089,12.13538,12.41597,12.46858,12.59133,12.88946,12.78424,12.64394,12.74916,12.73163,12.81931,12.55626,12.38089,12.31075,12.18799,12.43350,12.31075,12.22306,12.15292,11.92494,11.69696,11.69696,11.78465,12.11784,11.90740,12.01262,11.76711,11.87233,12.11784,12.15292,12.20553,12.27567,12.99468,13.22265,13.11743,13.08236,12.66148,12.39843,12.39843,12.25814,12.34582,12.20553,12.06523,11.59174,11.45145,11.17086,10.89028,10.67984,10.55708,10.41678,10.38171,10.15373,10.08359,10.03098,9.89068,9.69778,9.66271,9.48734
2016,Lidcombe 33_11kV,02MAY2015,MW,9.39966,9.13661,8.83848,8.69819,8.48775,8.22470,8.04933,7.87397,7.55831,7.50570,7.40048,7.38294,7.34787,7.22511,7.01467,7.04974,6.99713,7.03221,7.10235,7.15496,7.34787,7.36540,7.57584,7.61092,7.76875,7.80382,7.78628,7.87397,7.87397,8.27731,8.38253,8.71573,9.03139,9.31197,9.48734,9.57502,9.96083,10.15373,10.31156,10.36417,10.57461,10.89028,10.97796,11.03057,11.08318,11.27608,11.10072,10.85520,10.55708,10.39925,10.62723,10.55708,10.39925,10.62723,10.66230,10.57461,10.39925,10.36417,10.50447,10.80259,10.97796,11.08318,11.04811,11.04811,11.04811,10.97796,11.06564,11.24101,11.50406,11.60928,12.01262,12.01262,12.08277,12.04770,11.96001,12.03016,12.01262,11.90740,11.71450,11.67943,11.43391,11.41638,11.34623,11.04811,10.76752,10.80259,10.60969,10.50447,10.41678,10.36417,10.11866,9.96083,9.78546,9.80300,9.75039,9.57502
2016,Lidcombe 33_11kV,03MAY2015,MW,9.38212,9.15414,8.92617,8.76834,8.50529,8.32992,8.10194,7.90904,7.68106,7.36540,7.50570,7.41801,7.19004,7.27772,7.11989,7.08482,7.04974,7.01467,7.01467,7.01467,7.03221,7.17250,7.10235,7.34787,7.40048,7.57584,7.52323,7.40048,7.43555,7.69860,7.99672,8.10194,8.27731,8.57543,8.92617,9.04892,9.27690,9.55749,9.85561,9.92576,9.96083,10.29403,10.50447,10.62723,10.80259,10.87274,10.87274,10.92535,10.82013,10.53954,10.55708,10.59215,10.36417,10.29403,10.31156,10.25895,10.20634,9.99590,9.78546,9.83807,9.99590,9.85561,9.75039,9.80300,10.04851,10.18881,10.43432,10.69737,10.60969,10.89028,11.38130,11.55667,11.67943,11.69696,11.50406,11.45145,11.25855,11.24101,11.11825,11.22347,10.89028,10.69737,10.69737,10.62723,10.38171,10.32910,10.20634,10.24142,10.17127,9.92576,9.73285,9.66271,9.59256,9.41719,9.29444,9.01385
2016,Lidcombe 33_11kV,04MAY2015,MW,8.87356,8.71573,8.48775,8.18963,8.03180,7.92658,7.59338,7.34787,7.31279,7.06728,6.99713,7.08482,7.03221,6.92699,6.85684,6.97960,6.99713,6.97960,7.08482,7.24265,7.57584,7.83889,8.22470,8.48775,8.80341,8.85602,8.83848,9.41719,9.80300,10.20634,10.64476,11.04811,11.11825,11.20594,11.36377,11.32869,11.53913,11.64435,11.67943,11.90740,11.90740,12.06523,12.10031,12.20553,12.11784,12.59133,12.36336,12.31075,12.34582,12.64394,12.62641,12.27567,12.71409,12.38089,12.25814,12.36336,12.39843,12.50365,12.45104,12.29321,11.96001,12.10031,12.01262,11.92494,12.15292,12.32828,12.38089,12.11784,12.20553,12.59133,12.88946,13.17004,12.94207,12.78424,12.73163,12.55626,12.45104,12.64394,12.04770,12.04770,12.01262,11.55667,11.32869,11.46899,11.31116,11.17086,10.96042,10.62723,10.71491,10.71491,10.52200,10.29403,10.22388,10.04851,9.78546,9.57502
2016,Lidcombe 33_11kV,05MAY2015,MW,9.31197,9.03139,8.87356,8.83848,8.50529,7.99672,7.90904,7.97919,7.83889,7.57584,7.61092,7.62845,7.36540,7.19004,7.31279,7.59338,7.43555,7.47062,7.55831,7.76875,7.90904,8.10194,8.48775,8.78587,8.90863,9.24183,9.24183,9.82054,10.18881,10.57461,11.08318,11.10072,11.03057,11.34623,11.46899,11.41638,11.64435,11.97755,12.13538,12.11784,12.15292,12.04770,11.92494,12.18799,12.32828,12.36336,12.43350,12.17045,11.90740,12.08277,12.01262,12.11784,12.15292,11.87233,11.97755,11.85479,12.13538,12.17045,12.41597,12.20553,12.24060,12.29321,12.36336,12.36336,12.52119,12.46858,12.39843,12.38089,12.57380,12.60887,12.87192,13.09990,12.55626,12.60887,12.52119,12.60887,12.41597,12.06523,12.03016,11.87233,11.90740,11.73204,11.27608,11.31116,11.04811,10.64476,10.57461,10.29403,10.06605,9.97837,9.75039,9.78546,9.22429,9.11907,9.01385,8.69819
2016,Lidcombe 33_11kV,06MAY2015,MW,8.78587,8.64558,8.43514,8.10194,8.03180,7.87397,7.66353,7.33033,7.31279,7.36540,7.33033,7.34787,7.11989,7.11989,7.04974,7.04974,6.94452,6.87438,7.10235,7.22511,7.36540,7.73367,8.01426,8.32992,8.64558,8.90863,9.04892,9.31197,9.62763,9.89068,10.41678,10.66230,10.90781,10.97796,11.01303,11.10072,11.13579,11.31116,11.38130,11.41638,11.43391,11.41638,11.45145,11.59174,11.59174,11.43391,11.34623,11.32869,11.32869,11.41638,11.81972,11.81972,11.83726,11.53913,11.66189,11.67943,11.53913,11.50406,11.10072,11.45145,11.31116,11.39884,11.43391,11.41638,11.46899,11.69696,11.69696,11.73204,11.85479,12.29321,13.01221,13.11743,12.97714,12.87192,12.73163,12.62641,12.32828,12.13538,12.20553,12.11784,12.11784,11.92494,11.81972,11.57421,11.13579,11.03057,11.08318,10.90781,10.64476,10.43432,10.24142,10.04851,9.71532,9.61010,9.59256,9.31197
2016,Lidcombe 33_11kV,07MAY2015,MW,9.34705,8.96124,8.59297,8.34746,8.27731,8.18963,8.04933,7.83889,7.75121,7.66353,7.48816,7.24265,7.36540,7.36540,7.27772,7.38294,7.19004,7.26018,7.45309,7.64599,8.01426,8.29485,8.45268,8.71573,9.15414,9.22429,9.52241,9.92576,10.31156,10.87274,11.31116,11.24101,11.38130,11.46899,11.29362,11.31116,11.41638,11.43391,11.32869,11.39884,11.27608,11.46899,11.48652,11.52160,11.48652,11.34623,11.34623,11.45145,11.67943,11.39884,11.55667,11.66189,11.73204,11.85479,11.74957,11.50406,11.39884,11.38130,11.27608,11.18840,11.20594,11.29362,11.38130,11.62682,11.39884,11.67943,11.87233,12.06523,12.06523,12.53872,13.20512,13.43309,13.09990,12.94207,12.78424,12.55626,12.39843,12.50365,12.43350,12.27567,12.03016,12.11784,11.97755,11.71450,11.46899,11.34623,11.20594,11.06564,10.97796,10.62723,10.57461,10.24142,10.04851,9.99590,9.76793,9.52241
2016,Lidcombe 33_11kV,08MAY2015,MW,9.31197,9.43473,9.29444,8.82095,8.45268,8.36499,8.06687,8.11948,7.94411,7.61092,7.57584,7.48816,7.54077,7.43555,7.34787,7.38294,7.45309,7.24265,7.54077,7.48816,7.78628,8.04933,8.41760,8.83848,9.24183,9.36458,9.36458,9.97837,10.43432,10.90781,11.20594,11.60928,11.71450,11.48652,11.53913,11.55667,11.81972,11.83726,11.71450,11.71450,11.83726,11.80218,11.66189,11.85479,11.80218,12.06523,11.83726,11.73204,11.71450,11.87233,11.59174,11.57421,11.76711,11.78465,11.53913,11.60928,11.57421,11.59174,11.48652,11.46899,11.15333,11.29362,11.67943,11.74957,12.08277,12.25814,12.08277,12.15292,12.13538,12.46858,12.73163,12.90699,12.99468,12.85438,12.69655,12.62641,12.67902,12.59133,12.43350,12.38089,11.90740,11.81972,11.92494,11.71450,11.38130,11.15333,11.20594,10.87274,10.78506,10.50447,10.32910,10.24142,10.13620,10.11866,10.10112,9.75039
2016,Lidcombe 33_11kV,09MAY2015,MW,9.46980,9.34705,9.13661,8.85602,8.45268,8.20716,8.22470,8.01426,7.75121,7.66353,7.50570,7.48816,7.29526,7.24265,7.13743,7.08482,7.03221,7.06728,7.13743,7.13743,7.27772,7.48816,7.66353,7.89150,8.13702,7.87397,7.78628,7.76875,7.80382,8.18963,8.52282,8.71573,8.96124,9.17168,9.25936,9.32951,9.68024,9.89068,9.80300,9.78546,9.76793,9.82054,9.76793,9.96083,10.03098,10.11866,10.03098,9.82054,9.69778,9.78546,9.59256,9.62763,9.55749,9.68024,9.68024,9.64517,9.55749,9.46980,9.52241,9.41719,9.55749,9.68024,9.61010,9.66271,9.68024,9.66271,9.87315,10.17127,10.32910,10.74998,11.59174,11.76711,11.67943,11.60928,11.43391,11.45145,11.31116,11.36377,11.11825,10.96042,10.80259,10.69737,10.57461,10.53954,10.43432,10.27649,10.10112,10.11866,10.18881,10.32910,10.11866,9.94329,9.87315,9.75039,9.66271,9.43473
2016,Lidcombe 33_11kV,10MAY2015,MW,9.17168,8.99631,8.75080,8.43514,8.31238,8.10194,7.94411,7.54077,7.47062,7.27772,7.20757,7.11989,6.96206,6.94452,6.83930,6.82177,6.82177,6.69901,6.68147,6.92699,6.83930,7.03221,7.08482,7.24265,7.36540,7.43555,7.27772,7.38294,7.43555,7.68106,8.17209,8.38253,8.62804,8.83848,8.90863,9.15414,9.22429,9.50488,9.85561,9.71532,9.78546,9.71532,9.69778,9.76793,10.01344,9.76793,10.08359,10.27649,10.13620,9.75039,9.62763,9.46980,9.43473,9.38212,9.29444,9.22429,9.08400,9.04892,9.18922,9.24183,9.27690,9.18922,9.24183,9.59256,9.89068,9.83807,9.96083,10.20634,10.38171,10.74998,11.22347,11.36377,11.39884,11.55667,11.39884,11.41638,11.34623,11.34623,11.34623,11.15333,11.08318,10.90781,10.73245,10.59215,10.59215,10.53954,10.50447,10.31156,10.29403,10.10112,9.90822,9.64517,9.68024,9.34705,9.18922,8.87356
2016,Lidcombe 33_11kV,11MAY2015,MW,8.78587,8.69819,8.43514,8.13702,7.99672,7.83889,7.55831,7.57584,7.41801,7.29526,7.15496,7.19004,7.06728,6.99713,6.96206,6.89191,7.10235,7.04974,6.96206,7.08482,7.52323,7.73367,8.15455,8.52282,9.08400,9.15414,9.18922,9.52241,10.13620,10.73245,11.08318,11.29362,11.38130,11.38130,11.32869,11.43391,11.57421,11.53913,11.83726,11.73204,11.76711,11.64435,11.73204,11.69696,11.67943,11.87233,11.85479,11.90740,11.99509,11.96001,11.96001,11.96001,12.03016,11.99509,11.92494,11.76711,11.78465,11.76711,11.97755,11.94248,11.74957,11.97755,11.99509,12.32828,12.38089,12.52119,12.38089,12.27567,12.11784,12.39843,12.95960,12.85438,13.02975,12.94207,12.92453,12.88946,12.71409,12.57380,12.45104,12.46858,12.32828,11.99509,11.69696,11.45145,11.06564,10.89028,10.80259,10.64476,10.34664,10.36417,10.01344,9.90822,9.87315,9.61010,9.46980,9.38212
2016,Lidcombe 33_11kV,12MAY2015,MW,8.92617,8.69819,8.62804,8.25977,8.08441,8.11948,8.15455,7.75121,7.68106,7.57584,7.38294,7.33033,7.19004,7.19004,7.11989,7.13743,7.10235,7.10235,7.13743,7.27772,7.50570,7.85643,8.11948,8.57543,9.11907,9.36458,9.36458,9.75039,10.46939,10.80259,11.32869,11.60928,11.46899,11.48652,11.32869,11.34623,11.94248,11.85479,11.90740,11.85479,11.81972,11.94248,11.92494,11.71450,11.74957,11.80218,11.97755,12.04770,11.96001,11.81972,11.67943,12.01262,11.87233,12.03016,12.04770,11.71450,12.03016,12.22306,12.11784,11.88987,11.67943,11.73204,11.94248,12.10031,11.88987,12.32828,12.38089,12.34582,12.46858,12.85438,13.38048,13.36295,12.71409,12.69655,12.60887,12.81931,12.50365,12.45104,12.46858,12.38089,12.34582,12.01262,11.74957,11.78465,11.20594,11.13579,11.15333,10.99550,10.97796,10.85520,10.29403,10.20634,10.06605,9.96083,9.89068,9.69778
2016,Lidcombe 33_11kV,13MAY2015,MW,9.50488,9.17168,8.78587,8.66312,8.38253,8.24224,8.29485,7.92658,7.71614,7.71614,7.55831,7.34787,7.34787,7.48816,7.52323,7.50570,7.27772,7.26018,7.34787,7.57584,8.06687,8.34746,8.66312,9.08400,9.38212,9.52241,9.31197,9.34705,9.94329,10.74998,11.06564,11.24101,11.48652,11.43391,11.62682,11.53913,11.78465,11.78465,12.08277,11.87233,11.83726,11.71450,11.96001,11.87233,11.92494,11.73204,11.87233,11.97755,11.90740,12.04770,12.04770,11.74957,11.55667,11.69696,11.59174,11.60928,11.59174,11.57421,11.29362,11.53913,11.48652,11.78465,12.24060,12.74916,12.95960,13.08236,13.20512,13.31034,13.55585,13.80136,14.18717,14.32746,14.23978,14.25732,14.06441,14.16963,14.08195,13.80136,13.90658,13.57339,13.50324,13.31034,13.18758,13.02975,12.67902,12.31075,12.18799,11.94248,11.85479,11.71450,11.46899,10.99550,10.69737,10.59215,10.45186,10.32910
2016,Lidcombe 33_11kV,14MAY2015,MW,10.11866,9.61010,9.59256,9.38212,9.22429,8.82095,8.50529,8.54036,8.27731,8.10194,8.01426,8.01426,7.83889,7.87397,7.80382,7.71614,7.71614,7.75121,7.90904,8.15455,8.41760,8.83848,9.15414,9.45227,9.83807,10.06605,10.24142,10.83767,11.34623,11.97755,12.41597,12.67902,12.48611,12.64394,12.39843,12.41597,12.73163,12.67902,12.64394,12.55626,12.60887,12.67902,12.55626,12.60887,12.53872,12.46858,12.48611,12.43350,12.55626,12.45104,12.38089,12.43350,12.36336,12.36336,11.88987,11.71450,12.03016,11.83726,11.78465,11.73204,11.81972,11.78465,12.24060,12.24060,12.45104,12.53872,12.67902,12.73163,13.20512,13.64353,14.23978,14.36254,14.32746,14.08195,13.78383,13.90658,13.71368,13.69614,13.64353,13.41556,13.53831,13.60846,13.39802,13.11743,12.81931,12.53872,12.46858,12.29321,12.39843,12.01262,11.69696,11.36377,11.32869,10.90781,10.64476,10.27649
2016,Lidcombe 33_11kV,15MAY2015,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.27567,12.43350,11.97755,12.24060,12.41597,12.43350,12.24060,12.15292,12.31075,12.38089,12.41597,12.24060,12.32828,12.04770,11.81972,11.62682,11.78465,11.80218,11.69696,11.52160,11.71450,11.81972,11.76711,11.83726,12.43350,12.57380,12.69655,12.81931,13.29280,13.74875,13.85397,13.67861,13.52078,13.48570,13.32787,12.64394,12.45104,12.59133,12.45104,12.20553,11.92494,11.97755,11.83726,11.57421,11.45145,11.27608,11.22347,11.15333,10.89028,10.55708,10.46939,10.57461,10.34664,10.08359,10.04851
2016,Lidcombe 33_11kV,16MAY2015,MW,9.90822,9.71532,9.48734,9.17168,9.01385,8.69819,8.61051,8.31238,8.17209,7.83889,7.66353,7.75121,7.66353,7.71614,7.52323,7.57584,7.55831,7.11989,7.31279,7.41801,7.55831,7.83889,7.83889,7.99672,8.18963,8.31238,8.17209,8.24224,8.40007,8.48775,8.59297,8.94370,9.24183,9.41719,9.55749,9.66271,10.01344,9.90822,9.83807,9.90822,9.87315,10.04851,10.18881,10.18881,10.24142,10.34664,10.43432,10.31156,10.04851,10.06605,10.03098,9.89068,10.06605,10.01344,9.62763,9.50488,9.66271,9.75039,9.75039,9.76793,9.92576,9.96083,9.97837,9.97837,10.10112,10.43432,10.66230,10.73245,10.92535,11.45145,11.78465,11.94248,11.88987,11.73204,11.80218,11.67943,11.53913,11.62682,11.48652,11.38130,11.24101,11.15333,11.03057,10.94289,10.80259,10.66230,10.45186,10.34664,10.46939,10.29403,10.20634,10.10112,10.01344,9.89068,9.82054,9.46980
2016,Lidcombe 33_11kV,17MAY2015,MW,9.31197,9.01385,8.85602,8.73326,8.50529,8.20716,8.03180,7.92658,7.71614,7.50570,7.41801,7.45309,7.34787,7.13743,7.08482,7.19004,7.06728,7.08482,7.13743,7.13743,7.26018,7.33033,7.40048,7.54077,7.69860,7.78628,7.64599,7.73367,7.69860,7.85643,8.06687,8.31238,8.66312,8.87356,9.24183,9.53995,9.80300,9.90822,9.80300,9.97837,10.06605,10.22388,10.20634,9.94329,10.10112,10.15373,10.15373,9.85561,9.76793,9.97837,10.10112,10.17127,9.83807,9.73285,9.55749,9.38212,9.24183,9.43473,9.61010,9.46980,9.34705,9.43473,9.53995,9.64517,9.59256,9.66271,9.80300,10.03098,10.46939,11.29362,11.74957,11.87233,11.78465,11.87233,11.88987,11.87233,11.90740,11.71450,11.74957,11.76711,11.55667,11.60928,11.45145,11.17086,11.15333,11.03057,10.90781,10.62723,10.57461,10.41678,10.15373,9.96083,9.89068,9.80300,9.48734,9.15414
2016,Lidcombe 33_11kV,18MAY2015,MW,8.97878,8.82095,8.57543,8.38253,8.10194,7.94411,7.85643,7.61092,7.38294,7.41801,7.27772,7.17250,7.11989,7.06728,7.01467,6.99713,6.99713,7.15496,7.24265,7.24265,7.64599,8.13702,8.43514,8.68065,9.32951,9.34705,9.46980,10.03098,10.67984,11.24101,11.80218,11.80218,11.99509,12.08277,12.38089,12.29321,12.53872,12.71409,12.87192,12.78424,12.67902,12.60887,12.46858,12.48611,12.76670,12.69655,12.41597,12.48611,12.67902,12.59133,12.39843,12.36336,12.10031,12.48611,12.59133,11.88987,11.85479,12.20553,12.29321,12.27567,12.25814,12.38089,12.29321,12.48611,12.60887,12.57380,12.74916,13.01221,13.34541,13.69614,14.20471,14.29239,14.08195,14.15210,14.06441,13.50324,13.43309,13.38048,13.15251,13.27526,12.97714,12.66148,12.53872,12.53872,11.99509,11.96001,11.96001,11.60928,11.43391,11.15333,10.67984,10.50447,10.45186,10.36417,10.27649,9.96083
2016,Lidcombe 33_11kV,19MAY2015,MW,9.92576,9.53995,9.20675,9.01385,8.92617,8.76834,8.59297,8.36499,8.13702,7.85643,8.01426,7.85643,7.80382,7.82136,7.78628,7.68106,7.71614,7.73367,7.71614,7.87397,8.25977,8.55790,8.94370,8.97878,9.46980,9.87315,9.92576,10.10112,10.66230,11.15333,11.62682,11.74957,12.18799,12.27567,12.08277,11.90740,12.31075,12.34582,12.27567,12.48611,12.69655,12.57380,12.59133,12.53872,12.52119,12.66148,12.50365,12.64394,12.52119,12.64394,12.48611,12.50365,12.83685,12.45104,12.52119,12.46858,12.24060,12.15292,12.01262,12.25814,12.04770,12.22306,12.29321,12.45104,12.83685,12.88946,12.94207,12.97714,13.18758,13.52078,13.60846,13.57339,13.59092,13.48570,13.27526,13.25773,13.25773,13.09990,12.99468,12.76670,12.66148,12.71409,12.48611,12.32828,12.20553,11.97755,11.53913,11.20594,11.18840,10.94289,10.69737,10.62723,10.22388,10.03098,9.75039,9.55749
2016,Lidcombe 33_11kV,20MAY2015,MW,9.27690,9.04892,8.90863,8.64558,8.57543,8.20716,7.92658,7.73367,7.73367,7.66353,7.47062,7.33033,7.43555,7.45309,7.41801,7.43555,7.45309,7.33033,7.52323,7.85643,8.08441,8.36499,8.71573,9.03139,9.24183,9.34705,9.43473,9.71532,10.29403,11.22347,11.50406,11.87233,11.97755,11.78465,11.78465,12.24060,12.32828,12.27567,11.83726,11.99509,12.15292,12.31075,12.36336,12.17045,12.17045,12.22306,12.13538,12.10031,12.03016,12.24060,12.04770,12.04770,12.20553,11.92494,11.97755,11.88987,12.08277,12.03016,12.01262,11.69696,11.53913,11.69696,11.92494,12.20553,12.04770,12.22306,12.64394,12.85438,13.31034,13.32787,13.20512,12.99468,12.81931,13.22265,12.87192,12.69655,12.64394,12.55626,12.31075,12.22306,11.92494,11.67943,11.80218,11.88987,11.59174,11.15333,10.92535,10.60969,10.34664,10.20634,10.22388,9.99590,9.90822,9.75039,9.46980,9.20675
2016,Lidcombe 33_11kV,21MAY2015,MW,8.80341,8.59297,8.68065,8.43514,8.18963,7.78628,7.64599,7.47062,7.36540,7.43555,7.26018,7.15496,7.08482,7.03221,7.13743,7.06728,7.27772,7.36540,7.33033,7.48816,7.82136,8.18963,8.41760,8.27731,8.57543,9.27690,9.36458,9.75039,10.29403,10.67984,11.01303,11.20594,11.01303,11.08318,11.32869,11.10072,11.22347,11.45145,11.48652,11.45145,11.97755,11.80218,11.66189,11.69696,11.87233,11.80218,11.76711,11.53913,11.67943,11.60928,11.66189,11.62682,11.55667,11.59174,11.57421,11.80218,11.90740,11.74957,11.66189,11.69696,11.52160,11.55667,11.46899,11.59174,11.97755,12.10031,12.25814,12.48611,12.81931,13.29280,13.25773,13.22265,13.31034,13.02975,12.76670,12.80177,12.41597,12.50365,12.31075,12.15292,12.03016,11.90740,11.73204,11.50406,11.06564,11.36377,11.22347,10.90781,10.87274,10.99550,10.53954,10.38171,10.32910,10.11866,9.71532,9.39966
2016,Lidcombe 33_11kV,22MAY2015,MW,9.36458,9.03139,8.87356,8.90863,8.59297,8.27731,8.25977,8.04933,7.80382,7.55831,7.59338,7.55831,7.34787,7.48816,7.34787,7.34787,7.47062,7.47062,7.59338,7.55831,7.82136,8.18963,8.38253,8.90863,9.31197,9.55749,9.94329,10.17127,10.53954,11.13579,11.66189,12.03016,12.32828,12.66148,12.62641,12.52119,12.67902,12.95960,13.04729,13.15251,13.48570,13.43309,13.46817,13.73122,13.71368,13.46817,13.45063,13.62600,13.36295,13.39802,12.87192,12.87192,13.31034,13.04729,12.59133,12.73163,12.78424,12.53872,12.36336,12.27567,12.39843,12.43350,12.59133,12.78424,12.78424,13.11743,13.34541,13.25773,13.48570,13.92412,13.90658,14.25732,14.13456,13.87151,13.81890,13.66107,13.48570,13.22265,13.08236,12.85438,12.94207,12.71409,12.64394,12.46858,12.43350,12.20553,11.97755,11.48652,11.45145,11.22347,11.03057,11.06564,11.01303,10.89028,10.67984,10.36417
2016,Lidcombe 33_11kV,23MAY2015,MW,10.29403,10.04851,9.78546,9.39966,9.31197,8.94370,8.71573,8.57543,8.34746,8.17209,7.96165,7.82136,7.71614,7.73367,7.59338,7.34787,7.45309,7.29526,7.31279,7.41801,7.52323,7.69860,7.85643,8.10194,8.34746,8.52282,8.61051,8.48775,8.61051,8.71573,9.06646,9.32951,9.55749,9.85561,9.92576,10.10112,10.34664,10.41678,10.53954,10.55708,10.69737,10.64476,10.82013,10.83767,10.82013,10.60969,10.60969,10.48693,10.52200,10.48693,10.41678,10.25895,10.24142,10.34664,10.10112,10.01344,10.03098,10.15373,10.11866,10.31156,10.32910,10.20634,10.18881,10.29403,10.48693,10.66230,10.73245,11.24101,11.41638,12.06523,12.45104,12.11784,12.15292,12.24060,11.97755,11.85479,11.60928,11.67943,11.78465,11.83726,11.64435,11.48652,11.41638,11.29362,11.15333,10.89028,10.82013,10.76752,10.66230,10.43432,10.52200,10.32910,10.38171,10.29403,10.18881,9.90822
2016,Lidcombe 33_11kV,24MAY2015,MW,9.73285,9.39966,9.22429,8.99631,8.78587,8.71573,8.38253,8.11948,8.01426,7.73367,7.61092,7.50570,7.43555,7.34787,7.24265,7.40048,7.34787,7.24265,7.22511,7.24265,7.22511,7.34787,7.55831,7.62845,7.75121,7.89150,8.03180,8.17209,8.20716,8.52282,8.71573,9.01385,9.31197,9.45227,9.82054,9.89068,10.18881,10.29403,10.53954,10.36417,10.41678,10.39925,10.17127,10.24142,10.27649,10.22388,10.27649,10.17127,10.08359,10.06605,9.90822,9.89068,9.85561,9.61010,9.68024,9.76793,9.48734,9.41719,9.43473,9.34705,9.41719,9.48734,9.52241,9.76793,9.73285,9.87315,10.18881,10.59215,10.90781,11.73204,11.97755,12.20553,12.10031,12.11784,12.11784,12.22306,12.36336,12.41597,12.48611,12.34582,12.17045,12.04770,12.03016,11.83726,11.53913,11.53913,11.38130,11.34623,11.31116,10.94289,10.78506,10.48693,10.31156,10.22388,10.08359,9.68024
2016,Lidcombe 33_11kV,25MAY2015,MW,9.52241,9.31197,9.08400,8.94370,8.73326,8.29485,8.20716,8.03180,7.90904,7.66353,7.57584,7.62845,7.48816,7.48816,7.38294,7.34787,7.38294,7.29526,7.41801,7.52323,7.92658,8.24224,8.80341,9.18922,9.55749,9.83807,9.99590,10.57461,11.20594,11.85479,12.52119,12.90699,13.31034,12.90699,13.01221,13.02975,13.18758,13.13497,12.95960,13.02975,12.78424,12.83685,13.08236,13.09990,13.17004,14.16963,14.71327,15.25691,15.25691,15.04647,15.30952,15.06400,14.76588,14.27485,14.32746,14.99386,14.50283,14.15210,14.13456,13.94166,14.01180,14.20471,13.99427,14.52037,15.04647,15.32705,15.60764,15.81808,15.71286,15.80054,15.99345,16.25650,16.50201,16.62477,16.44940,16.29157,16.01098,16.22142,16.18635,16.20389,15.95837,15.88823,15.87069,15.43227,15.04647,14.67820,14.62559,14.30993,14.36254,13.92412,13.62600,13.17004,12.62641,12.39843,12.22306,12.10031
2016,Lidcombe 33_11kV,26MAY2015,MW,11.78465,11.74957,11.50406,11.22347,11.31116,10.89028,10.67984,10.71491,10.59215,10.27649,9.68024,9.62763,9.68024,10.08359,9.82054,9.69778,10.03098,10.38171,10.45186,10.38171,10.53954,10.78506,11.29362,11.80218,12.34582,12.55626,12.29321,12.60887,13.53831,14.27485,14.78342,15.32705,15.39720,15.44981,15.27444,14.53790,14.87110,15.16922,15.01139,14.94125,15.15169,15.22183,14.97632,14.92371,14.67820,14.46776,14.27485,14.29239,14.62559,14.69573,14.57298,14.30993,14.39761,14.69573,14.94125,14.92371,14.38007,14.38007,14.13456,14.15210,14.62559,14.85356,14.92371,15.08154,14.60805,14.81849,15.06400,15.57257,16.15128,16.74752,16.88782,16.60723,16.55462,16.01098,15.80054,15.99345,16.06359,15.53749,15.41474,15.29198,15.43227,15.25691,14.76588,14.09949,13.94166,13.80136,13.95919,14.13456,13.90658,13.69614,13.46817,13.17004,12.62641,12.41597,12.31075,12.15292
2016,Lidcombe 33_11kV,27MAY2015,MW,12.18799,11.85479,11.24101,11.29362,11.25855,10.82013,10.66230,10.41678,10.03098,10.08359,9.99590,10.03098,9.83807,9.71532,9.55749,9.68024,9.82054,9.50488,9.15414,9.73285,10.01344,10.32910,10.90781,11.17086,11.74957,12.03016,12.20553,13.04729,13.60846,14.16963,14.85356,15.01139,14.80095,14.60805,14.64312,14.78342,14.94125,14.94125,15.06400,14.74834,14.50283,14.43268,14.29239,14.23978,14.73081,14.81849,14.59051,14.02934,13.83644,13.85397,14.15210,13.97673,13.57339,13.55585,13.48570,13.29280,13.22265,13.39802,13.78383,13.97673,14.09949,14.32746,14.53790,14.52037,14.50283,14.95878,15.02893,15.46735,15.46735,15.83562,16.46694,16.81767,16.55462,16.48447,16.46694,16.25650,16.50201,17.01057,16.71245,16.20389,15.67779,15.55503,15.41474,14.95878,14.66066,15.20430,15.08154,14.25732,14.09949,13.36295,13.57339,13.18758,13.08236,13.34541,12.87192,12.41597
