year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Kogarah 132_11kV,01MAY2014,MW,27.42526,26.30303,25.42678,24.42754,23.64352,22.29071,21.27610,20.47670,19.63120,19.00091,18.40136,18.27838,18.00167,17.84794,17.74033,17.74033,17.74033,17.92480,18.24763,18.75494,19.30836,20.03089,21.32221,21.95250,23.16696,24.82724,26.54900,27.65585,28.14778,29.48522,30.02328,30.48446,31.08401,31.99101,32.06787,32.06787,32.46757,32.46757,32.83652,32.88264,32.57518,32.06787,32.20623,32.51369,32.74428,33.09786,33.22084,33.05174,33.22084,33.43606,33.37457,33.19009,32.82114,32.86726,32.00638,32.22160,32.23697,32.28309,32.11399,32.45219,32.26772,32.59055,32.82114,33.34382,33.55904,33.77426,34.12784,34.85037,34.80425,35.40379,36.94108,37.95569,38.20166,38.24778,38.38613,38.14017,37.80196,37.12556,36.43378,36.34154,36.15706,37.31003,37.27929,36.38766,35.44991,34.74276,33.94337,32.49831,32.63667,32.69816,31.42221,30.02328,28.45524,27.13317,27.84032,26.85646
2015,Kogarah 132_11kV,02MAY2014,MW,26.90258,26.39527,25.64200,24.55052,23.72039,22.55205,21.58355,20.72267,19.84642,19.06240,18.57046,18.23226,18.01704,17.87868,17.83257,17.70958,18.00167,18.09391,18.14002,18.67808,19.23150,20.00014,20.98401,21.70654,23.45905,24.85798,26.25692,27.70197,28.00943,29.25463,30.25387,30.60745,31.25311,31.26848,31.62206,31.66818,32.51369,33.14398,32.83652,33.68203,34.22008,34.23545,34.43530,34.09710,34.09710,34.32769,34.28157,34.12784,34.41993,34.15859,34.02023,33.52830,33.82038,33.78964,33.54367,33.08248,33.03637,33.26696,32.75965,32.92875,32.63667,32.82114,33.52830,33.65128,34.18933,35.01947,35.44991,35.94184,36.24930,36.69512,37.80196,37.84808,37.24854,36.29542,36.09557,35.88035,35.54215,34.71201,34.57366,33.95874,33.83576,34.77350,34.78888,33.77426,33.45143,33.40531,32.52906,31.42221,31.86802,32.19086,30.79192,29.68507,28.80882,27.57899,28.33226,27.85570
2015,Kogarah 132_11kV,03MAY2014,MW,27.59436,27.01019,26.14931,25.19619,24.10471,22.98249,21.69116,20.89177,20.10776,19.41597,19.07777,18.46285,18.40136,18.21689,17.83257,17.67884,18.00167,17.80182,18.06316,18.06316,18.57046,18.84718,19.27762,19.76955,20.32298,21.19923,21.76803,22.67503,23.32069,24.07396,25.39603,26.87183,28.33226,29.14702,29.96178,30.46909,31.59131,32.83652,33.29770,33.02099,33.38994,33.54367,33.68203,33.57442,34.12784,33.83576,34.08172,33.52830,33.71277,32.77503,32.17548,31.65280,31.94489,32.09862,32.34458,32.32921,32.26772,32.20623,32.34458,32.39070,32.26772,32.08325,32.74428,33.09786,33.45143,33.94337,34.89649,35.81886,37.15630,37.70973,38.49375,38.95493,38.37076,37.84808,37.24854,37.12556,36.69512,35.97259,35.21932,34.95798,35.20394,36.12632,36.04945,35.12708,35.01947,35.00410,34.14321,32.95950,33.51293,33.72815,32.31384,31.11475,30.40760,29.08553,30.22312,29.37761
2015,Kogarah 132_11kV,04MAY2014,MW,29.65433,28.93180,28.11704,26.93332,25.88797,24.47366,23.36681,22.44444,21.47594,20.75342,20.07701,19.60045,19.15464,18.70882,18.35524,18.33987,18.32450,18.24763,18.67808,18.67808,18.47823,18.75494,19.32374,19.44672,19.72343,20.27686,21.13774,21.61430,22.36757,23.35144,24.59664,25.67275,26.84109,27.88644,29.46985,30.25387,30.74580,32.05250,32.19086,32.55981,32.79040,32.55981,32.55981,32.43682,32.69816,32.32921,32.12936,32.06787,31.83728,31.60669,31.54519,31.40684,30.85341,29.76194,29.31612,29.25463,29.02404,28.73195,28.88568,28.76270,28.93180,29.20851,29.05478,29.54672,30.37685,30.93028,31.65280,32.65204,33.42069,34.80425,37.11018,38.01719,38.27852,38.23241,38.43225,38.06330,37.64824,37.07944,36.66437,35.81886,36.04945,37.26391,37.46376,36.49527,36.60288,36.18781,35.29618,33.89725,34.15859,34.09710,32.48294,30.71506,29.37761,28.10166,29.02404,28.59360
2015,Kogarah 132_11kV,05MAY2014,MW,28.16316,27.13317,26.27229,25.48827,24.51978,23.19771,22.13698,21.24535,20.64581,20.07701,19.58508,19.17001,18.83180,18.63196,18.23226,18.37062,18.57046,18.57046,18.93941,19.26225,19.86179,20.92252,21.84489,22.64428,24.25844,26.13393,27.77883,29.74656,31.29923,32.89801,33.85113,34.38918,34.83499,34.46605,34.14321,33.85113,34.46605,34.94261,34.92723,34.58903,34.81962,34.86574,34.49679,34.37381,34.54291,34.25082,34.22008,33.80501,33.92799,33.46681,33.68203,33.38994,32.99025,32.85189,32.65204,32.79040,32.66742,32.89801,32.68279,32.22160,32.20623,32.37533,33.15935,33.66665,33.85113,34.37381,35.58827,36.46452,37.21779,38.70897,40.52297,41.01490,40.96878,40.86117,41.41460,41.04565,40.56909,39.93880,40.15402,39.33925,39.20090,40.26163,40.53834,39.40075,39.09329,38.93956,38.09405,36.23393,35.95722,35.55752,33.43606,31.60669,29.77731,28.42449,27.97868,26.77959
2015,Kogarah 132_11kV,06MAY2014,MW,25.50364,24.31993,23.39756,22.44444,21.96788,21.13774,20.63043,20.06164,19.60045,19.44672,18.86255,18.64733,18.64733,18.58584,18.43211,18.15540,18.43211,18.84718,19.09314,19.56970,20.16925,20.98401,21.93713,22.92100,24.99634,27.04093,28.45524,30.39223,32.17548,34.11247,35.00410,34.52754,33.95874,34.05098,34.09710,34.20471,34.41993,34.05098,34.20471,33.91262,33.69740,33.35920,33.63591,33.38994,33.38994,33.26696,33.45143,33.46681,33.22084,33.72815,34.05098,33.75889,33.60516,33.69740,33.89725,33.49755,33.08248,32.95950,33.26696,33.17472,33.54367,33.91262,34.38918,34.72738,34.86574,35.64976,36.35691,36.84884,36.94108,38.37076,39.43149,40.03104,40.43073,40.30775,40.46148,39.86193,39.43149,38.84732,38.50912,37.89420,37.84808,38.41688,38.32464,37.15630,36.54139,36.41840,36.38766,34.80425,35.08096,35.11171,33.09786,31.43758,29.82343,28.31688,28.83956,27.88644
2015,Kogarah 132_11kV,07MAY2014,MW,27.39451,25.59588,24.65813,23.88949,23.70501,22.47518,21.70654,21.18386,20.46133,19.86179,19.61582,19.41597,19.09314,18.98553,18.84718,18.87792,19.12389,19.20075,19.29299,19.56970,19.83104,20.79954,21.93713,23.10547,24.61202,26.04170,27.71734,29.36224,31.28385,32.72891,33.69740,34.20471,34.02023,34.06635,33.86650,33.35920,34.40455,34.06635,34.29694,33.78964,33.74352,34.34306,34.20471,33.98949,33.75889,33.75889,33.68203,33.23621,33.38994,32.37533,32.57518,32.51369,32.88264,32.63667,32.57518,32.20623,32.57518,32.74428,32.80577,32.75965,32.94413,33.09786,33.80501,34.00486,34.35843,34.91186,35.64976,36.52601,37.31003,38.70897,40.73819,41.06102,41.27624,41.23012,40.78431,40.95341,40.47685,40.38461,40.00029,39.15478,39.07792,40.27700,40.04641,39.37000,38.75508,38.83195,37.97107,36.12632,35.86498,35.40379,33.38994,31.49908,30.08477,28.51673,27.80958,26.47214
2015,Kogarah 132_11kV,08MAY2014,MW,25.70349,24.93485,23.52054,22.38294,21.90638,21.22998,20.66118,20.27686,19.95403,19.24687,19.01628,18.60121,18.35524,18.63196,18.33987,18.33987,18.12465,18.33987,18.70882,19.24687,20.01552,20.87640,22.06011,22.89025,24.70425,26.05707,27.73271,29.37761,30.93028,32.29847,32.92875,33.31308,33.71277,33.37457,33.29770,32.80577,33.75889,33.75889,33.52830,33.57442,33.82038,33.68203,33.49755,33.82038,33.63591,33.49755,33.20547,33.11323,33.55904,33.83576,33.95874,33.88187,32.91338,33.12860,33.38994,33.60516,33.37457,32.45219,32.65204,32.39070,32.55981,33.02099,33.57442,33.88187,34.14321,34.74276,35.11171,36.06483,36.57213,37.92495,39.56985,40.07715,40.27700,40.53834,40.35387,40.26163,39.81581,39.58522,39.41612,38.86269,38.98568,40.09253,40.18476,38.98568,38.17091,37.75585,36.78735,35.15783,35.14245,35.35767,33.88187,31.92952,30.28462,29.05478,29.70045,29.13165
2015,Kogarah 132_11kV,09MAY2014,MW,28.53211,27.76346,26.96407,25.90334,24.68888,23.68964,22.67503,21.59893,20.81491,20.13850,19.86179,19.23150,18.95479,18.78569,18.40136,18.43211,18.53972,18.67808,18.89330,19.29299,20.06164,20.70730,21.93713,22.55205,24.31993,25.91871,27.36376,28.77807,29.63895,30.93028,32.28309,32.77503,32.69816,32.59055,32.86726,32.45219,33.19009,34.09710,34.51216,34.40455,34.58903,34.72738,34.60440,34.52754,34.32769,34.03560,34.12784,33.82038,33.78964,33.91262,33.17472,33.12860,33.17472,33.11323,32.99025,33.00562,32.77503,32.52906,32.68279,32.63667,32.45219,32.99025,33.82038,34.25082,34.40455,33.45143,35.48066,36.14169,37.34078,38.34002,38.84732,39.26239,38.81658,38.23241,38.55524,38.41688,37.55600,36.87959,36.63362,36.35691,36.11095,37.17168,37.15630,36.24930,36.06483,35.77274,35.01947,34.09710,34.23545,34.43530,33.09786,31.76041,30.71506,29.31612,30.65357,29.93104
2015,Kogarah 132_11kV,10MAY2014,MW,29.36224,28.94717,27.82495,26.76422,25.74961,24.55052,23.19771,21.95250,21.22998,20.55357,20.07701,19.63120,19.12389,18.81643,18.66270,18.70882,18.69345,18.29375,18.66270,18.98553,19.50821,19.76955,20.33835,20.56894,21.35296,21.73728,22.50593,23.64352,24.82724,26.04170,27.44063,28.50136,30.10014,30.65357,32.14474,33.11323,34.02023,34.15859,34.35843,34.48142,34.78888,34.60440,34.66589,34.52754,34.52754,34.08172,33.80501,33.95874,33.88187,33.35920,33.54367,33.40531,33.43606,32.37533,32.45219,32.06787,32.23697,32.26772,31.97564,31.82191,32.11399,32.00638,32.43682,32.72891,33.42069,33.85113,34.68127,35.34230,36.46452,37.04869,37.26391,37.90957,37.14093,36.12632,36.06483,35.66513,34.85037,34.38918,33.92799,33.51293,33.34382,34.58903,34.57366,33.65128,33.63591,33.45143,32.62130,31.45296,31.86802,32.14474,31.31460,30.20775,29.16239,28.02480,29.17777,28.05555
