year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Meadowbank 132_11kV,01MAY2014,MW,32.74228,32.50828,31.06826,30.70826,30.61826,29.26825,29.39425,28.92625,26.22622,25.12821,24.39021,23.67020,23.38220,23.38220,23.38220,23.38220,23.16620,23.16620,21.83419,21.42018,23.74220,24.94821,25.81222,26.74823,29.07025,30.61826,30.60026,31.17627,31.14027,32.38228,33.31828,33.13828,33.91229,33.98429,33.69629,33.37228,33.26428,33.19228,34.03829,34.36229,34.50629,34.65030,35.15430,35.20830,36.61231,36.36031,35.44230,34.84830,33.42629,32.81428,32.70628,32.25628,32.04027,32.07627,30.69026,29.97026,29.86225,30.00626,30.02426,29.95226,29.95226,29.86225,29.61025,30.20426,30.31226,30.99626,31.50027,31.98627,32.59828,34.00229,35.80231,37.22432,37.35032,37.36832,37.33232,37.17032,36.48631,36.14431,35.96431,35.55030,35.51430,36.54031,36.72031,36.34231,37.15232,36.64831,36.23431,34.97430,35.49630,35.67630,35.11830,33.67829,33.55229,34.00229,34.09229,33.04828
2015,Meadowbank 132_11kV,02MAY2014,MW,33.15628,32.68828,31.41027,31.01426,29.82625,27.86424,27.75624,27.19823,26.51423,25.88422,25.18221,24.48021,23.18420,24.01220,24.01220,23.76020,23.50820,23.63420,23.65220,23.58020,23.63420,24.98421,25.72222,26.60423,28.74625,29.71825,29.84425,31.28427,31.03226,32.22027,33.40828,33.89429,34.18229,33.71429,34.29029,34.45229,34.61430,35.29830,35.11830,35.31630,35.58630,35.51430,34.14629,33.94829,34.52429,34.48829,34.05629,33.73229,33.19228,33.13828,32.79628,32.67028,33.03028,32.59828,32.43628,32.34628,30.65426,28.99825,29.28625,29.26825,28.92625,28.99825,29.48425,29.64625,29.93426,30.34826,31.24827,31.95027,32.70628,34.18229,35.65830,36.10831,36.14431,36.03631,36.01831,35.38830,34.83030,34.68630,34.05629,33.57029,33.66029,34.93830,35.11830,34.97430,34.18229,33.40828,32.83228,32.36428,33.62429,34.65030,34.05629,33.04828,33.01228,33.73229,34.56029,33.75029
2015,Meadowbank 132_11kV,03MAY2014,MW,33.71429,33.42629,33.22828,32.86828,31.91427,29.89825,28.72824,27.77424,26.82023,26.08222,25.45222,24.66021,24.48021,24.48021,24.10221,23.63420,23.63420,23.63420,23.63420,23.63420,23.20220,24.46221,24.94821,25.45222,25.90222,26.96423,26.53223,26.44223,25.36222,25.93822,27.00023,28.17024,28.96225,30.13226,30.27626,30.33026,31.78827,31.96827,32.77828,33.03028,33.66029,33.67829,33.49829,32.81428,32.77828,32.88628,32.95828,32.29228,32.52628,32.34628,31.98627,31.01426,29.82625,29.86225,29.80825,29.21425,29.53825,29.53825,29.98826,29.89825,31.77027,33.08428,34.16429,34.45229,34.90230,35.62230,36.36031,37.42232,38.97033,41.04035,42.30036,43.20037,43.21837,42.94837,42.48036,42.17436,41.41835,40.80635,40.44634,39.67234,39.13233,38.32233,38.08832,37.69232,36.52231,35.35230,35.01030,34.47029,34.43429,34.68630,34.09229,33.13828,31.77027,32.20227,32.63428,31.53627
2015,Meadowbank 132_11kV,04MAY2014,MW,31.60827,31.12227,29.64625,29.26825,29.19625,28.00824,26.67623,25.88422,25.21822,24.71421,23.99420,23.23820,22.84219,22.39219,22.21219,21.81619,22.01419,22.69819,22.69819,22.69819,22.64419,20.01617,20.10617,20.75418,21.20418,21.76219,22.82419,23.97620,24.48021,25.57822,26.62223,27.48623,28.47624,29.52025,28.98025,28.47624,29.28625,30.09626,32.49028,33.03028,33.96629,33.64229,33.60629,37.53032,39.31234,36.75631,34.30829,33.10228,32.90428,32.45428,31.59027,29.73625,28.72824,28.89025,28.06224,27.90024,27.79224,27.79224,28.33224,28.00824,29.23225,30.52826,32.00427,32.52628,33.10228,33.80429,34.95630,36.16231,37.69232,39.54634,42.22836,43.63237,44.04638,44.37038,44.64038,44.26238,43.65037,42.85837,42.04836,41.99436,41.56235,40.91435,40.91435,40.37434,39.81634,38.86233,38.19633,37.22432,36.68431,35.55030,34.36229,32.68828,31.59027,30.31226,29.79025,28.78225
2015,Meadowbank 132_11kV,05MAY2014,MW,28.42224,27.57624,27.30623,26.76623,27.09023,26.80223,26.08222,25.56022,25.30822,25.12821,24.82221,24.37221,22.86019,22.12219,22.12219,22.12219,22.12219,22.39219,22.10419,22.24819,22.80619,23.65220,24.60621,25.56022,27.27023,29.23225,31.53627,33.87629,35.98231,37.69232,38.89833,38.50233,38.25033,38.05232,37.51232,38.91633,38.70033,38.86233,38.70033,38.64633,38.08832,37.90832,37.22432,37.89032,36.84631,36.01831,35.60430,35.58630,34.56029,34.09229,33.30028,32.18427,31.48227,31.10427,30.52826,30.40226,30.11426,30.31226,30.40226,30.00626,29.95226,29.91626,30.00626,30.54626,31.30227,31.91427,32.67028,34.18229,35.29830,37.56632,40.01434,41.34635,42.03036,42.21036,42.73236,42.71436,42.46236,41.77836,41.58035,41.13035,40.60835,41.13035,42.75036,42.58836,41.81436,41.32835,40.75235,39.54634,37.89032,36.43231,35.91031,35.49630,34.97430,33.94829,32.92228,32.04027
2015,Meadowbank 132_11kV,06MAY2014,MW,31.60827,30.34826,29.48425,28.78225,28.42224,26.58623,27.05423,26.82023,26.44223,25.93822,25.32622,25.25422,23.54420,22.75219,22.57219,22.57219,22.96820,23.09420,23.54420,24.01220,24.53421,25.23622,27.37823,28.62024,30.70826,32.70628,34.38029,36.30631,37.17032,38.34033,38.95233,39.16833,39.06033,38.91633,38.61033,37.78232,38.03432,37.90832,37.47632,36.01831,35.73030,35.74830,35.47830,34.95630,34.38029,33.91229,33.46229,33.22828,33.76829,33.71429,34.21829,34.38029,32.45428,31.21227,31.05026,30.87026,30.54626,30.51026,30.51026,30.51026,30.24026,30.09626,30.54626,31.01426,31.68027,32.61628,33.10228,34.11029,35.62230,37.42232,39.25833,40.37434,40.87835,41.23835,41.52635,41.49035,40.84235,40.33834,39.83434,39.33034,38.53833,39.29434,40.66235,40.28434,40.15834,39.72634,39.61834,38.55633,36.86431,35.67630,34.43429,33.13828,31.93227,30.52826,30.90626,30.85226
2015,Meadowbank 132_11kV,07MAY2014,MW,30.54626,29.66425,28.80025,27.95424,28.00824,27.45023,26.69423,26.40623,26.04622,25.68622,25.41622,25.20021,23.63420,23.09420,22.98620,22.69819,22.93220,23.13020,22.84219,23.00420,23.76020,24.35421,25.27222,26.40623,28.15224,30.22226,32.05827,34.32629,36.57631,38.14233,39.02433,39.76234,38.89833,38.16033,37.31432,36.91831,36.88231,36.70231,37.08032,36.77431,36.07231,35.37030,35.37030,35.31630,35.31630,35.06430,34.92030,34.14629,35.10030,35.11830,34.03829,34.18229,32.22027,31.48227,30.85226,30.51026,31.12227,31.03226,30.92426,30.58226,30.54626,30.34826,30.63626,30.79826,31.53627,32.11227,33.06628,34.11029,35.74830,37.72832,39.76234,41.00435,41.70636,41.85036,42.28236,42.26436,41.34635,41.11235,40.95035,40.48235,40.60835,40.30234,41.45435,41.52635,41.23835,40.68035,40.17634,38.95233,37.76432,36.55831,35.15430,33.57029,32.36428,31.12227,31.50027,31.32027
2015,Meadowbank 132_11kV,08MAY2014,MW,29.93426,29.19625,27.99024,27.34223,28.33224,28.06224,27.41423,26.71223,26.28022,25.95622,25.34422,25.34422,23.29220,22.64419,23.16620,23.02220,22.98620,23.45420,23.27420,23.31020,25.75822,26.94623,27.68424,29.05225,30.92426,32.83228,33.73229,36.01831,36.39631,37.33232,38.03432,38.48433,38.59233,38.17833,37.81832,37.02632,37.06232,37.08032,36.57631,36.97232,37.06232,36.68431,36.55831,36.45031,36.30631,36.16231,35.56830,34.18229,34.23629,33.91229,33.33628,32.81428,31.03226,31.39227,30.87026,30.34826,30.51026,30.54626,30.76226,30.40226,30.20426,30.16826,30.16826,30.94226,31.50027,31.89627,32.47228,33.22828,34.70430,36.90031,39.00633,40.06834,40.71635,41.22035,41.27435,41.11235,40.66235,40.10434,39.74434,39.87034,39.58234,39.25833,40.87835,41.14835,41.00435,40.32034,39.87034,39.63634,39.27633,38.28633,36.90031,35.73030,34.23629,33.53429,32.85028,31.89627
2015,Meadowbank 132_11kV,09MAY2014,MW,31.05026,30.45626,27.75624,26.26222,26.94623,26.64023,26.02822,25.38022,25.27222,24.96621,24.35421,24.12021,23.90420,23.52620,23.43620,23.25620,23.29220,23.34620,25.68622,26.33422,27.14423,27.57624,28.78225,29.82625,30.81626,32.81428,31.57227,31.66227,33.66029,35.06430,36.55831,37.81832,38.37633,38.39433,39.04233,38.17833,35.98231,36.28831,36.30631,35.06430,36.32431,36.75631,37.38632,37.31432,36.93631,35.56830,34.74030,35.58630,35.92831,35.02830,34.74030,34.41629,33.89429,33.33628,31.55427,31.12227,30.60026,30.88826,30.76226,30.58226,30.56426,30.56426,30.70826,30.97826,31.33827,32.00427,32.90428,33.58829,34.81230,36.72031,38.64633,39.40234,39.42034,39.47434,39.51034,39.18633,38.57433,38.07032,37.69232,37.44032,38.80833,38.88033,38.95233,38.53833,37.74632,36.97232,36.34231,35.82031,34.61430,34.29029,35.02830,35.31630,34.32629,33.46229,33.33628,32.11227
2015,Meadowbank 132_11kV,10MAY2014,MW,31.86027,30.83426,28.38624,27.12623,28.26024,27.88224,27.00023,26.28022,25.84822,25.32622,24.71421,24.42621,24.21021,23.95820,23.50820,23.45420,23.18420,23.32820,24.96621,25.16421,25.38022,25.59622,24.67821,24.64221,25.66822,26.83823,25.90222,26.29822,27.46823,28.80025,29.91626,30.81626,32.50828,34.18229,34.88430,34.21829,34.30829,34.77630,35.35230,35.24430,34.70430,34.30829,34.03829,34.02029,33.82229,33.84029,33.03028,33.15628,33.04828,32.54428,32.31028,31.87827,31.86027,32.18427,32.16627,31.82427,31.82427,31.50027,31.44627,31.68027,31.57227,31.53627,31.39227,31.87827,32.85028,33.76829,34.54229,35.65830,35.67630,36.48631,37.85432,38.77233,38.68233,38.44833,39.52834,39.38434,39.16833,38.93433,38.23233,37.85432,37.15232,36.95432,36.54031,36.09031,36.16231,35.46030,35.02830,34.50629,33.96629,33.66029,32.92228,32.31028,31.19427,30.45626,30.54626,29.68225
