year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Cronulla 132_11kV,01MAY2017,MW,17.57599,16.80436,15.96414,16.89009,18.36476,18.46765,17.47310,16.30709,15.38113,16.10132,15.03818,14.84956,13.75214,13.35775,13.01480,12.68900,12.12314,12.03741,12.05455,12.39750,12.75759,13.28916,14.00935,15.17536,16.89009,18.57053,20.11379,20.26811,20.55962,20.79968,21.09118,20.90256,20.45673,20.07949,19.37645,18.77630,18.26188,18.15899,17.52454,17.16445,17.52454,16.95868,16.65003,16.44426,16.22135,15.89555,16.51285,16.25564,15.89555,15.84411,15.84411,16.11846,16.28994,16.56429,16.25564,16.10132,15.98129,16.75292,16.20420,16.35853,16.63288,16.68433,16.89009,17.73031,18.19329,18.67341,19.42789,20.38814,21.75993,23.95478,26.02961,27.40139,28.19017,28.72173,28.58455,28.15587,27.57286,26.88697,26.13249,25.12080,24.05767,23.52610,23.21745,22.60015,21.93140,20.83397,20.13093,19.35931,18.74200,17.91893,17.11301,15.98129,19.82228,19.29072,19.05065,17.98752
2018,Cronulla 132_11kV,02MAY2017,MW,17.38737,16.89009,15.92984,16.71862,18.31332,18.43335,17.40451,16.03273,14.90101,15.38113,14.09508,13.87217,13.27201,12.60327,12.39750,11.95167,11.81449,11.81449,11.81449,12.03741,12.50038,13.11769,13.87217,14.84956,16.54715,18.57053,20.38814,20.31955,20.73109,21.00545,20.67965,21.07404,20.76538,20.14808,19.47934,18.58768,18.09040,18.02182,17.93608,17.90178,17.11301,16.70147,16.28994,16.35853,16.06702,16.65003,15.92984,15.72408,15.79267,15.70693,15.86126,15.86126,16.13561,16.42712,16.58144,16.70147,16.54715,16.59859,16.35853,16.35853,16.42712,16.80436,16.59859,17.18160,17.90178,18.63912,19.25642,20.40529,22.06858,24.05767,26.08105,27.48713,28.19017,28.70459,28.68744,28.19017,27.52142,26.54403,25.25798,24.67497,24.09196,23.09742,22.63444,23.28604,22.36008,21.38269,20.62821,19.51363,19.47934,18.31332,17.64457,16.42712,20.06234,19.66796,19.59937,18.60482
2018,Cronulla 132_11kV,03MAY2017,MW,17.71316,16.97583,16.30709,16.83865,18.29617,18.57053,17.47310,16.23850,15.17536,15.60405,14.48947,14.42088,13.34060,12.60327,12.27747,11.95167,11.71161,11.88308,11.84879,12.26032,12.80904,13.52922,14.28370,15.24395,16.95868,18.94777,20.43959,20.49103,20.88542,21.45128,21.38269,21.17692,21.38269,20.86827,20.28526,19.41075,18.75915,18.57053,18.22758,18.00467,17.91893,17.38737,17.11301,17.19874,16.78721,16.61574,16.08417,16.11846,15.84411,15.91270,15.92984,15.98129,15.91270,15.86126,16.53000,17.35307,17.86749,18.33047,18.48479,18.36476,18.27902,18.60482,19.59937,20.06234,20.81683,21.96570,22.90880,24.05767,25.56663,27.55572,29.15042,30.41932,30.96803,31.48245,31.37956,30.96803,30.23070,29.68198,29.06468,28.34449,27.41854,26.66406,25.80669,24.91503,24.43491,23.56039,22.30864,21.05689,20.50817,19.49648,18.62197,17.61028,21.38269,20.83397,20.55962,19.53078
2018,Cronulla 132_11kV,04MAY2017,MW,18.93062,18.21044,17.35307,18.05611,19.44504,19.68510,18.58768,17.30163,16.22135,16.77006,15.20966,15.27825,14.18082,13.64925,13.15198,12.87762,12.56897,12.67186,12.70615,12.74045,13.51207,14.57521,15.53546,16.34138,17.81605,19.27357,20.57676,20.90256,21.21121,21.98284,22.08573,22.41153,22.29149,21.94855,21.39983,20.42244,19.77084,18.79344,18.51909,18.24473,18.05611,17.61028,17.62743,17.52454,17.28448,17.49025,17.55884,17.25019,16.90724,16.80436,17.07871,17.50740,17.42166,17.42166,17.38737,17.26733,16.99298,17.26733,17.40451,17.35307,17.52454,17.61028,17.97037,18.26188,19.20498,20.16523,21.34839,22.42867,23.71472,25.39516,27.24706,28.12158,28.89321,29.42477,29.37333,29.08183,28.51596,28.17302,27.88151,27.41854,26.57832,25.87528,25.12080,24.31488,23.57754,22.61729,21.74278,20.79968,20.59391,19.35931,18.50194,17.33592,20.78253,20.25096,20.33670,19.29072
2018,Cronulla 132_11kV,05MAY2017,MW,18.57053,17.78175,16.66718,17.45595,18.87918,19.22213,17.88464,16.53000,15.86126,16.23850,14.93530,14.60950,13.80358,13.23772,12.65471,12.50038,12.22603,12.10600,12.15744,12.36321,12.94621,13.70070,14.52377,15.48401,16.97583,18.74200,20.13093,20.04520,20.83397,21.22836,21.34839,21.00545,21.39983,20.69679,20.11379,19.27357,19.22213,18.75915,18.36476,17.97037,17.57599,17.33592,17.19874,16.95868,16.58144,16.56429,16.54715,16.40997,16.37567,16.10132,16.27279,15.94699,16.01558,16.44426,16.23850,16.32423,16.49571,16.20420,16.65003,16.71862,16.80436,16.80436,17.21589,17.50740,18.31332,18.98206,19.80513,20.43959,21.53701,23.25174,25.36086,26.61261,27.26421,27.71004,27.59001,27.28136,26.73265,26.33826,25.66951,24.88074,24.29773,23.52610,23.04598,22.46297,21.91425,21.00545,20.43959,19.70225,19.59937,18.96492,18.39906,17.42166,21.19407,20.74824,20.79968,19.42789
2018,Cronulla 132_11kV,06MAY2017,MW,18.81059,18.14185,16.87295,17.71316,19.13639,19.05065,17.93608,16.70147,15.65549,16.04988,14.50662,14.48947,13.64925,13.03195,12.41465,11.95167,11.88308,11.88308,11.88308,11.88308,12.10600,12.36321,12.75759,13.15198,14.14652,15.05533,15.80981,16.18705,16.92439,17.83320,18.45050,19.27357,19.97661,20.14808,20.50817,20.45673,20.45673,19.90802,19.71940,19.13639,19.23927,19.23927,18.91348,18.55338,18.10755,17.85034,17.64457,17.83320,17.49025,17.26733,17.26733,17.26733,17.04442,17.04442,16.97583,16.90724,17.09586,17.40451,17.73031,17.45595,17.64457,17.66172,17.83320,18.36476,,,,,,,,26.28682,26.09820,25.65237,25.42945,24.81215,23.90334,23.47466,22.92594,22.41153,21.36554,21.12548,20.69679,20.18238,19.82228,19.35931,18.99921,18.34761,18.26188,17.86749,17.57599,16.78721,20.54247,20.04520,20.11379,19.30786
2018,Cronulla 132_11kV,07MAY2017,MW,18.62197,17.95323,16.82150,17.37022,18.99921,19.03351,17.97037,16.83865,15.72408,16.08417,14.95245,14.45518,13.44349,12.96336,12.26032,11.98596,11.72876,11.59158,11.42010,11.42010,11.72876,11.74590,11.78020,12.12314,12.72330,13.13483,13.64925,13.87217,14.54091,15.12392,16.06702,16.99298,17.71316,18.34761,18.84489,19.11924,19.56507,19.30786,19.82228,19.41075,19.05065,18.72485,18.24473,18.26188,17.88464,17.69602,17.47310,17.14730,17.01012,16.95868,16.89009,16.47856,16.49571,16.58144,16.61574,16.99298,16.77006,16.75292,16.83865,16.97583,17.18160,17.42166,18.02182,18.38191,18.79344,19.82228,20.71394,21.84566,23.42322,25.51519,27.88151,28.94465,29.13327,29.47621,29.08183,28.43023,27.64145,27.26421,26.47544,25.46374,24.77785,24.16055,23.45751,23.01168,22.06858,21.07404,20.43959,19.51363,19.13639,17.97037,17.45595,16.58144,19.95946,19.78799,19.87372,18.99921
2018,Cronulla 132_11kV,08MAY2017,MW,18.19329,17.55884,16.80436,17.26733,18.75915,18.96492,17.91893,16.82150,15.86126,16.63288,15.41543,15.34684,14.30085,13.49493,12.94621,12.38035,12.32891,12.32891,12.32891,12.32891,13.10054,13.71784,14.76383,15.77552,17.49025,19.70225,21.31410,21.43413,22.10287,22.85735,24.05767,23.52610,23.04598,22.78877,21.89711,20.71394,20.28526,19.97661,19.20498,18.69056,18.22758,17.88464,17.81605,17.25019,17.01012,17.01012,16.80436,16.53000,16.30709,16.51285,16.44426,16.53000,16.37567,16.25564,16.27279,16.27279,16.34138,16.42712,16.47856,16.71862,16.75292,17.30163,17.52454,18.07326,18.94777,19.82228,20.98830,22.77162,24.69212,27.26421,29.83631,31.53389,32.27122,33.09429,32.87138,32.66561,32.20264,31.34527,30.76226,29.85345,29.21900,28.31020,27.19562,26.47544,25.20654,24.00622,23.08027,21.60560,20.86827,19.70225,18.74200,17.43881,21.05689,20.38814,20.47388,19.56507
2018,Cronulla 132_11kV,09MAY2017,MW,18.62197,18.14185,17.21589,17.71316,19.08495,19.34216,18.26188,17.11301,16.13561,16.59859,15.39828,15.17536,14.28370,13.83787,13.15198,12.77474,12.32891,12.34606,12.26032,12.50038,13.16913,14.04364,15.15822,16.04988,17.90178,19.95946,21.36554,21.77707,22.66873,23.21745,23.57754,22.87450,22.56585,21.70849,21.27980,20.61106,19.73655,19.11924,18.57053,18.22758,18.07326,17.76461,17.45595,17.13016,16.95868,16.66718,16.56429,16.40997,16.40997,16.40997,16.30709,16.25564,16.25564,16.13561,16.18705,16.15276,16.06702,16.15276,16.27279,16.22135,16.32423,16.59859,16.87295,17.79890,18.39906,19.34216,20.38814,21.72563,24.22914,26.71550,28.92750,30.50505,31.48245,32.23693,32.33981,31.87684,31.24239,30.36787,29.66483,28.84176,28.19017,27.46998,26.59547,25.66951,24.67497,23.28604,22.41153,21.29695,20.81683,19.61651,18.84489,17.43881,20.98830,20.66250,20.43959,19.44504
2018,Cronulla 132_11kV,10MAY2017,MW,18.60482,18.10755,17.13016,17.64457,19.10210,19.29072,18.34761,17.37022,16.13561,16.87295,15.80981,15.55260,14.76383,14.19797,13.68355,13.32345,12.91192,12.91192,12.91192,13.16913,13.95790,14.96960,15.87840,16.85580,18.70771,20.64535,22.27435,22.80591,23.32033,23.59469,23.52610,23.52610,22.90880,22.17146,21.27980,20.42244,19.78799,19.17068,18.74200,18.10755,17.78175,17.49025,17.26733,17.04442,16.80436,16.77006,16.42712,16.32423,16.28994,16.13561,16.13561,16.13561,16.13561,16.08417,16.22135,15.98129,16.37567,16.30709,16.23850,16.34138,16.51285,16.63288,17.04442,17.67887,18.33047,19.17068,20.06234,21.48557,23.30318,25.87528,27.84722,29.66483,31.00232,31.73966,32.03116,31.82539,30.98518,30.60794,30.35073,29.32189,28.67029,27.88151,27.17848,26.37255,25.30942,24.24629,22.77162,21.60560,21.21121,19.92517,19.01636,17.91893,21.51987,21.02259,20.83397,19.75369
