year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Paddington 33_11kV,01MAY2014,MW,13.15208,12.83761,12.61564,12.26417,11.96821,11.82022,11.56125,11.56125,11.43176,11.20979,11.11730,10.93232,10.93232,10.85833,10.95082,10.87682,10.80283,10.89532,10.89532,11.00631,11.26528,11.57975,11.93121,12.35666,12.91160,13.78101,14.63192,15.39034,16.88867,18.27602,18.68298,18.77547,18.99745,18.99745,18.84946,18.70148,18.62749,18.60899,18.59049,18.71998,19.01594,18.90496,18.90496,18.90496,19.01594,19.23792,18.83096,18.83096,18.96045,18.94195,19.01594,18.84946,18.92345,18.86796,18.75697,18.79397,19.12693,18.71998,18.77547,18.75697,18.66448,18.42401,18.59049,18.75697,18.86796,19.03444,19.10843,19.21942,19.81136,20.31080,20.55128,20.86574,20.88424,20.68076,20.77325,20.51428,20.38479,20.38479,20.25531,19.81136,19.58938,19.60788,19.42290,19.10843,18.66448,18.33152,18.09104,17.59160,16.74069,16.31524,15.87128,15.42733,14.87239,14.15097,13.87350,13.37405
2015,Paddington 33_11kV,02MAY2014,MW,13.02259,12.72662,12.20868,12.09769,11.91271,11.50576,11.22829,11.13580,11.04331,10.87682,10.87682,10.65485,10.59935,10.63635,10.72884,10.67335,10.83983,10.83983,10.83983,10.98781,11.43176,11.63524,11.80172,12.35666,13.09658,13.61453,14.68741,15.53832,17.11065,18.10954,18.46100,18.64598,18.79397,18.97895,18.94195,18.57199,18.53500,18.68298,18.71998,18.62749,18.77547,19.08994,18.92345,19.08994,19.03444,18.99745,19.01594,19.14543,19.10843,18.90496,19.12693,18.79397,18.84946,18.84946,18.53500,18.84946,18.90496,18.81247,18.73847,18.88646,18.77547,18.70148,18.62749,18.99745,19.10843,19.23792,19.55239,19.94084,20.38479,20.84724,21.40218,21.86463,22.01262,21.99412,21.66116,21.55017,21.12471,20.99523,21.01373,20.64377,20.14432,19.90385,19.75586,19.66337,19.20092,18.86796,18.73847,18.42401,18.18353,17.64709,16.77769,16.55571,15.88978,15.64931,15.20536,14.79840
2015,Paddington 33_11kV,03MAY2014,MW,14.42844,14.09548,13.78101,13.57753,13.37405,12.76362,12.70813,12.46765,12.39366,11.94971,11.87572,11.67224,11.56125,11.56125,11.54275,11.50576,11.67224,11.37627,11.20979,11.20979,11.28378,11.28378,11.56125,11.76473,12.11619,12.44915,13.00409,13.35556,13.87350,14.33595,14.66891,15.35334,16.07476,16.72219,17.29563,17.72108,17.77658,18.14654,18.20203,18.29452,18.75697,18.83096,18.97895,19.01594,19.12693,19.18243,19.31191,19.14543,19.12693,19.10843,19.21942,18.88646,19.01594,18.94195,18.90496,18.90496,18.84946,18.84946,18.75697,19.03444,19.05294,19.10843,19.27492,19.25642,19.49689,19.75586,19.90385,20.64377,21.40218,22.14210,22.62305,23.03001,23.14100,23.17799,22.91902,22.60455,22.25309,22.21610,21.79064,21.58716,21.05072,20.73626,20.42179,20.19981,19.68187,19.66337,19.29341,18.83096,18.44251,17.96156,17.11065,16.64820,16.31524,16.01927,15.72330,15.39034
2015,Paddington 33_11kV,04MAY2014,MW,14.92789,14.66891,14.09548,13.91050,13.61453,13.35556,12.96710,12.78212,12.65263,12.41216,12.31967,12.24568,12.04220,11.93121,11.78323,11.63524,11.72773,11.57975,11.50576,11.56125,11.56125,11.83872,11.57975,11.98670,12.19018,12.67113,12.74512,12.83761,13.13358,13.57753,14.07698,14.44694,14.94638,15.29785,15.48283,16.03777,16.40773,16.72219,17.18464,17.33263,17.68409,17.68409,17.73958,17.90606,17.70259,17.99855,18.14654,17.79508,17.81357,17.90606,17.77658,17.49911,17.53610,17.29563,17.24014,17.20314,17.16614,16.94417,16.90717,16.88867,16.94417,16.83318,17.03666,17.16614,17.46211,17.46211,17.86907,18.40551,18.92345,19.70037,20.82875,21.77214,21.82764,22.12361,22.17910,22.03112,21.73515,21.51317,21.38369,21.12471,20.90274,20.62527,20.55128,20.31080,19.97784,19.53389,19.07144,18.33152,17.83207,17.27713,16.55571,15.90828,15.20536,14.81690,14.24346,13.91050
2015,Paddington 33_11kV,05MAY2014,MW,13.35556,13.26307,12.98560,12.72662,12.48615,12.22718,12.04220,11.74623,11.83872,11.80172,11.72773,11.63524,11.46876,11.43176,11.43176,11.43176,11.43176,11.43176,11.67224,11.74623,12.06070,12.30117,12.67113,13.37405,14.37295,14.85389,16.05626,17.29563,18.46100,19.77436,20.44029,20.69926,20.66226,20.36630,20.23681,20.31080,20.03333,19.81136,19.77436,19.81136,19.77436,19.75586,19.95934,19.86685,19.73737,19.90385,19.73737,19.64488,19.64488,19.66337,19.57088,19.12693,18.86796,18.84946,19.03444,19.03444,19.08994,18.97895,18.92345,18.88646,18.46100,18.25753,18.46100,18.51650,18.59049,18.96045,19.36741,19.42290,19.66337,20.32930,21.29120,21.67965,21.82764,22.41957,22.88202,23.01151,23.08550,23.08550,22.69704,22.36408,22.14210,21.92013,21.71665,21.25420,20.69926,20.40329,19.71887,19.23792,18.27602,17.57310,16.94417,16.27824,15.63081,15.07587,14.52093,14.02148
2015,Paddington 33_11kV,06MAY2014,MW,13.61453,13.13358,12.94860,12.56014,12.46765,12.31967,12.04220,11.87572,11.85722,11.63524,11.54275,11.37627,11.37627,11.37627,11.33927,11.19129,11.50576,11.08030,11.32078,11.63524,12.09769,12.37516,12.72662,13.22607,14.15097,14.77990,15.72330,16.88867,18.42401,19.57088,20.12582,20.49578,20.34780,20.31080,20.08883,19.64488,19.44140,19.53389,19.45990,19.73737,19.71887,19.73737,19.68187,19.40440,19.58938,19.42290,19.44140,19.33041,19.49689,19.45990,19.42290,19.14543,18.94195,17.05516,17.31413,17.12915,17.42512,17.51761,17.49911,17.18464,17.29563,17.96156,18.27602,18.57199,18.79397,19.27492,19.33041,19.51539,20.19981,20.79175,21.38369,21.64266,21.84614,22.21610,22.53056,22.69704,22.23459,22.45657,22.29009,21.77214,21.45768,21.36519,21.01373,20.58827,20.38479,20.16282,19.73737,19.16393,18.22053,17.73958,16.83318,16.22275,15.81579,14.87239,14.52093,14.20646
2015,Paddington 33_11kV,07MAY2014,MW,13.81801,13.28156,13.07809,12.68963,12.54164,12.28267,12.04220,11.78323,11.69074,11.69074,11.35777,11.35777,11.35777,11.35777,11.39477,11.30228,11.52425,11.57975,11.57975,11.78323,12.26417,12.57864,12.93010,13.46654,14.13247,15.13136,15.98227,17.29563,18.53500,19.62638,20.31080,20.60677,20.49578,20.42179,19.94084,19.82986,19.68187,19.45990,19.33041,19.36741,19.29341,19.49689,19.47839,19.84835,19.66337,19.47839,19.62638,19.44140,19.49689,19.45990,19.08994,18.84946,18.92345,19.25642,19.33041,19.12693,19.08994,19.33041,19.27492,19.01594,19.20092,19.20092,18.99745,19.27492,19.16393,19.51539,20.01483,20.27381,20.75475,21.47618,22.01262,22.27159,22.60455,22.75254,23.10400,23.28898,22.67855,22.58606,22.36408,22.10511,21.64266,21.30969,21.19871,21.12471,20.82875,20.49578,20.08883,19.27492,18.81247,18.36851,17.55460,16.72219,16.27824,15.51982,15.05737,14.57642
2015,Paddington 33_11kV,08MAY2014,MW,14.33595,13.74401,13.48504,13.15208,13.09658,12.85611,12.50465,12.43066,12.04220,11.94971,11.94971,11.94971,11.91271,11.72773,11.69074,11.67224,11.83872,11.87572,11.93121,11.76473,12.24568,12.46765,12.80062,13.42955,14.05848,14.98338,15.98227,17.09215,18.59049,19.75586,20.49578,20.66226,20.84724,20.81025,20.40329,20.03333,19.75586,19.71887,19.66337,19.64488,19.49689,19.47839,19.44140,19.75586,19.84835,19.77436,19.90385,20.27381,20.19981,20.08883,19.95934,19.77436,19.84835,19.86685,19.90385,19.77436,19.57088,19.40440,19.45990,19.51539,19.33041,19.38590,19.25642,19.51539,19.71887,20.14432,20.36630,20.40329,20.82875,21.47618,22.04961,22.29009,22.54906,22.77104,22.80803,22.30859,22.23459,21.97562,22.19760,21.95712,21.53167,21.47618,21.47618,20.93973,20.40329,20.32930,19.97784,19.66337,18.81247,18.07255,17.27713,16.51871,16.01927,15.50132,14.98338,14.52093
2015,Paddington 33_11kV,09MAY2014,MW,14.09548,13.76251,13.22607,13.13358,13.09658,12.56014,12.33817,12.19018,12.07919,11.94971,11.72773,11.63524,11.63524,11.61674,11.56125,11.43176,11.45026,11.54275,11.76473,11.98670,12.39366,12.52315,12.98560,13.61453,14.42844,15.31634,16.05626,17.18464,18.51650,19.66337,20.38479,20.77325,20.68076,20.71776,20.32930,20.05183,19.82986,19.82986,20.14432,20.36630,20.58827,20.71776,20.64377,20.60677,20.51428,20.58827,20.34780,20.19981,20.25531,20.40329,20.29230,19.75586,19.94084,20.08883,20.10732,20.18132,19.99634,20.03333,20.25531,20.07033,20.05183,19.70037,19.97784,20.31080,20.56977,20.51428,20.75475,21.66116,22.32708,22.95602,23.34447,23.60345,23.39997,23.43696,23.67744,23.49246,23.41847,22.82653,22.93752,22.43807,22.10511,22.17910,21.88313,21.43918,20.79175,20.47728,19.81136,19.34891,18.62749,18.25753,17.53610,17.12915,16.48172,16.05626,15.72330,15.27935
2015,Paddington 33_11kV,10MAY2014,MW,14.87239,14.48393,14.20646,13.92899,13.59603,13.46654,13.15208,12.85611,12.74512,12.33817,12.07919,11.91271,11.78323,11.74623,11.63524,11.63524,11.63524,11.37627,11.37627,11.46876,11.91271,11.98670,12.04220,12.37516,12.85611,13.35556,13.35556,13.85500,14.37295,15.09437,15.37184,15.77879,16.48172,16.77769,17.29563,17.66559,18.05405,18.16504,18.18353,18.53500,18.68298,18.86796,18.92345,18.99745,19.12693,19.12693,19.03444,19.01594,18.86796,18.66448,18.71998,18.44251,18.33152,18.31302,18.23903,18.18353,18.14654,18.16504,17.98006,17.99855,18.05405,18.36851,18.25753,18.47950,18.36851,18.62749,19.03444,19.44140,19.95934,20.77325,21.27270,21.25420,21.30969,21.29120,21.25420,20.93973,20.56977,20.19981,19.81136,19.58938,19.23792,18.77547,18.66448,18.35002,18.38701,18.03555,17.94306,17.70259,17.35112,16.94417,16.68520,16.35223,16.00077,15.63081,15.18686,15.03887
2015,Paddington 33_11kV,11MAY2014,MW,14.68741,14.35445,14.09548,13.83650,13.65152,13.33706,13.04109,12.85611,12.67113,12.31967,12.07919,12.04220,11.85722,11.70923,11.70923,11.54275,11.26528,11.19129,11.32078,11.32078,11.32078,11.41327,11.61674,11.61674,11.91271,12.26417,12.44915,12.56014,12.72662,13.28156,13.78101,14.02148,14.53943,15.05737,15.20536,15.68630,16.31524,16.72219,16.88867,17.25863,17.44361,17.55460,17.70259,17.68409,17.62859,17.92456,17.83207,17.79508,17.62859,17.70259,17.79508,17.83207,17.73958,17.40662,17.49911,17.18464,17.24014,17.20314,17.12915,17.09215,17.03666,17.09215,16.92567,17.01816,17.16614,17.09215,17.42512,17.88757,18.70148,19.66337,20.42179,20.90274,21.27270,21.01373,21.25420,21.01373,20.75475,20.60677,20.34780,20.14432,19.70037,19.36741,19.03444,18.88646,18.44251,18.14654,17.68409,17.20314,16.79618,16.18575,15.63081,14.96488,14.55793,14.03998,13.81801,13.44805
2015,Paddington 33_11kV,12MAY2014,MW,13.09658,12.78212,12.41216,12.30117,12.17168,11.93121,11.76473,11.50576,11.56125,11.32078,11.22829,11.09880,11.13580,10.93232,10.93232,10.85833,10.95082,10.87682,11.19129,11.43176,11.70923,12.09769,12.26417,12.78212,13.79951,14.52093,15.50132,16.68520,17.77658,18.92345,19.70037,20.10732,20.10732,19.90385,19.55239,19.49689,19.40440,18.79397,19.01594,19.21942,19.14543,19.44140,19.25642,19.70037,19.68187,19.49689,19.18243,19.23792,19.25642,19.10843,19.10843,19.16393,18.99745,19.10843,19.01594,19.14543,19.20092,19.18243,18.97895,18.97895,18.94195,18.88646,18.96045,18.84946,19.08994,19.05294,19.14543,19.38590,19.60788,20.42179,21.16171,21.42068,21.77214,21.77214,22.06811,21.88313,21.77214,21.93863,21.73515,21.32819,21.16171,20.71776,20.29230,20.27381,19.95934,19.53389,18.94195,18.18353,17.55460,16.81468,16.09326,15.35334,14.83540,14.35445,13.79951,13.50354
2015,Paddington 33_11kV,13MAY2014,MW,13.24457,12.89311,12.48615,12.15319,12.02370,11.83872,11.59825,11.54275,11.54275,11.30228,11.04331,10.85833,10.85833,10.85833,10.85833,10.85833,10.89532,11.11730,11.24678,11.43176,11.93121,12.13469,12.48615,12.94860,13.74401,14.48393,15.29785,16.55571,17.72108,18.94195,19.57088,20.08883,20.03333,19.62638,19.47839,19.29341,19.33041,19.10843,18.90496,18.99745,19.31191,19.38590,19.36741,19.40440,19.58938,19.66337,19.71887,19.64488,19.57088,19.31191,19.16393,18.99745,19.08994,19.34891,19.49689,19.38590,19.47839,19.36741,19.45990,19.23792,18.97895,18.88646,18.97895,19.08994,19.27492,18.99745,20.68076,21.32819,22.01262,22.78953,23.39997,23.69594,23.86242,23.91791,24.41736,24.58384,24.38036,24.13989,24.08439,23.45546,23.23349,22.99301,22.64155,22.17910,21.75365,21.36519,21.08772,20.49578,19.44140,18.51650,17.98006,17.46211,16.74069,16.09326,15.46433,15.09437
2015,Paddington 33_11kV,14MAY2014,MW,14.72441,14.07698,14.02148,13.74401,13.52204,13.22607,13.02259,12.63413,12.63413,12.59714,12.31967,12.31967,12.31967,12.31967,12.31967,12.31967,12.06070,12.26417,12.48615,12.44915,12.85611,13.20757,13.63303,14.24346,15.07587,15.77879,16.79618,18.27602,19.53389,20.77325,21.53167,21.80914,21.69815,21.71665,21.66116,21.01373,21.23570,20.95823,20.86574,21.10622,21.14321,21.38369,21.42068,21.49467,21.51317,21.62416,21.53167,21.79064,21.66116,21.47618,21.53167,21.53167,21.62416,21.58716,21.58716,21.56867,21.53167,21.45768,21.12471,20.90274,20.69926,20.56977,20.42179,20.69926,21.06922,21.49467,21.77214,21.95712,22.54906,23.58495,23.95491,23.75143,24.04740,24.28787,24.65783,24.56534,24.60234,24.50985,24.06590,23.78843,23.43696,23.28898,23.14100,22.67855,21.80914,21.38369,21.06922,20.81025,20.14432,19.33041,18.55349,17.51761,16.92567,16.29674,15.87128,15.14986
2015,Paddington 33_11kV,15MAY2014,MW,14.94638,14.46544,14.15097,13.89200,13.72552,13.37405,12.98560,12.76362,12.63413,12.63413,12.31967,12.48615,12.37516,12.37516,12.37516,12.44915,12.41216,12.35666,12.35666,12.61564,12.94860,13.18907,13.52204,14.20646,15.20536,16.09326,16.88867,18.27602,19.79286,21.06922,21.86463,22.12361,22.04961,22.04961,21.71665,21.25420,21.06922,21.03222,21.34669,21.12471,21.36519,21.34669,21.32819,21.16171,21.53167,21.29120,21.40218,21.58716,21.42068,21.27270,21.30969,21.32819,21.08772,20.90274,20.75475,21.05072,21.30969,21.38369,21.19871,21.01373,20.71776,21.01373,20.93973,21.32819,21.30969,21.38369,21.49467,21.86463,22.32708,23.03001,23.49246,24.36186,24.73182,24.75032,24.71333,24.78732,24.89831,24.12139,24.13989,23.80692,23.47396,23.08550,22.71554,22.36408,22.12361,21.47618,20.95823,20.51428,20.01483,19.21942,18.71998,18.03555,17.40662,16.85168,16.31524,15.63081
2015,Paddington 33_11kV,16MAY2014,MW,15.42733,14.89089,14.50243,14.31745,14.11397,13.92899,13.41105,13.35556,12.91160,12.83761,12.59714,12.59714,12.59714,12.59714,12.59714,12.59714,12.63413,12.72662,12.57864,12.57864,12.85611,13.09658,13.72552,14.09548,15.09437,16.03777,16.75919,18.16504,20.03333,21.23570,21.95712,22.03112,22.30859,21.99412,21.79064,21.32819,21.14321,20.93973,20.90274,20.92124,21.32819,21.32819,21.30969,21.27270,21.25420,21.60566,21.53167,21.45768,21.27270,21.38369,21.25420,21.06922,20.93973,20.84724,21.25420,21.49467,21.42068,21.58716,21.73515,21.38369,21.25420,21.23570,21.30969,21.06922,21.03222,21.47618,21.80914,22.47507,22.78953,23.04851,23.34447,23.56645,23.49246,23.73293,23.76993,23.62194,23.47396,23.17799,22.67855,22.32708,22.10511,21.86463,21.25420,20.86574,20.45879,20.16282,19.97784,19.79286,19.36741,18.92345,18.42401,17.99855,17.59160,17.29563,17.01816,16.33373
2015,Paddington 33_11kV,17MAY2014,MW,16.05626,15.68630,15.20536,14.76140,14.50243,14.22496,13.96599,13.68852,13.54054,13.35556,13.07809,12.89311,12.85611,12.85611,12.57864,12.50465,12.68963,12.68963,12.83761,12.61564,12.63413,12.74512,13.17058,13.41105,14.18797,14.39144,14.42844,15.00188,15.59381,16.09326,16.64820,17.24014,17.66559,18.60899,18.84946,19.27492,19.60788,20.01483,20.08883,20.25531,20.81025,20.81025,20.75475,20.62527,20.66226,20.81025,20.62527,20.73626,20.81025,20.95823,20.82875,20.75475,20.64377,20.36630,20.08883,20.23681,20.16282,20.19981,20.16282,20.21831,19.92234,19.99634,20.05183,20.10732,20.01483,20.23681,20.42179,20.79175,21.66116,22.86353,23.17799,23.38147,23.54795,23.64044,23.25198,22.91902,22.49357,22.25309,21.93863,21.51317,21.16171,20.58827,20.29230,19.97784,19.62638,19.51539,19.23792,19.01594,18.60899,18.40551,18.10954,17.72108,17.25863,17.09215,16.77769,16.27824
2015,Paddington 33_11kV,18MAY2014,MW,16.11176,15.64931,15.40883,15.02038,14.83540,14.52093,14.26196,13.96599,13.57753,13.48504,13.33706,13.24457,13.17058,12.89311,12.89311,12.85611,12.72662,12.78212,12.54164,12.44915,12.57864,12.50465,13.00409,13.24457,13.35556,13.55903,13.55903,13.74401,14.20646,14.68741,15.13136,15.48283,15.98227,16.51871,16.94417,17.25863,17.73958,18.07255,18.64598,19.12693,19.36741,19.49689,19.53389,19.86685,20.05183,20.21831,20.27381,20.03333,20.01483,19.95934,20.18132,20.21831,20.21831,20.31080,20.14432,19.92234,20.07033,20.08883,20.01483,20.05183,20.16282,20.60677,20.53278,20.55128,20.66226,20.92124,21.34669,21.62416,22.56756,23.52945,24.15839,24.32487,24.71333,24.89831,24.50985,24.17688,23.93641,23.47396,23.15949,22.77104,22.32708,22.03112,22.01262,21.53167,21.03222,20.49578,20.18132,19.53389,18.79397,18.29452,17.42512,16.98116,16.22275,15.79729,15.22385,14.79840
2015,Paddington 33_11kV,19MAY2014,MW,14.40994,13.98449,13.89200,13.65152,13.42955,13.20757,12.93010,12.81911,12.59714,12.26417,12.26417,12.26417,12.26417,12.26417,12.26417,12.02370,12.24568,12.26417,12.37516,12.39366,12.94860,13.20757,13.59603,14.07698,14.98338,15.74180,16.83318,18.09104,19.55239,20.75475,21.66116,21.97562,21.77214,21.34669,20.86574,20.64377,20.66226,20.71776,20.56977,20.81025,20.97673,20.81025,20.64377,20.69926,21.01373,21.06922,20.75475,20.88424,20.84724,21.08772,21.03222,20.81025,20.88424,20.86574,20.79175,20.93973,20.84724,20.97673,20.92124,20.71776,20.47728,20.49578,20.58827,20.42179,20.64377,20.77325,21.18021,21.43918,21.90163,22.66005,22.86353,23.23349,23.30748,23.62194,23.76993,23.91791,23.84392,23.73293,23.62194,23.36297,22.75254,22.75254,22.45657,21.75365,21.49467,21.38369,21.08772,20.51428,19.51539,18.66448,17.92456,17.27713,16.59271,15.94528,15.64931,15.09437
2015,Paddington 33_11kV,20MAY2014,MW,14.79840,14.59492,14.37295,13.91050,13.55903,13.39255,12.93010,12.89311,12.89311,12.78212,12.57864,12.46765,12.26417,12.37516,12.30117,12.39366,12.35666,12.07919,12.07919,12.22718,12.70813,13.15208,13.42955,13.98449,14.87239,15.74180,16.90717,17.96156,19.36741,20.56977,21.10622,21.51317,21.69815,21.29120,20.81025,20.53278,20.49578,20.18132,20.27381,19.08994,18.84946,18.99745,19.12693,19.07144,19.05294,19.18243,19.16393,19.08994,19.16393,19.12693,19.10843,19.08994,19.18243,19.08994,18.96045,19.12693,19.14543,19.25642,19.08994,18.99745,19.03444,19.07144,19.07144,18.83096,18.90496,19.03444,19.45990,19.77436,20.29230,20.75475,20.99523,21.19871,21.06922,21.01373,21.18021,21.29120,21.30969,21.21720,21.03222,20.69926,20.45879,19.97784,20.05183,19.66337,19.10843,18.90496,18.49800,17.73958,17.07365,16.51871,15.92678,15.42733,,14.20646,13.98449,13.30006
2015,Paddington 33_11kV,21MAY2014,MW,12.94860,12.78212,12.56014,12.19018,11.94971,,11.54275,11.32078,11.15429,10.98781,10.98781,11.20979,11.02481,10.91382,10.91382,10.91382,10.91382,10.91382,11.26528,11.26528,11.46876,11.87572,12.43066,12.63413,13.46654,14.35445,15.24235,16.09326,17.38812,18.47950,19.18243,19.42290,19.53389,19.23792,19.20092,18.99745,18.83096,18.79397,18.79397,18.96045,19.49689,19.53389,19.68187,19.71887,19.86685,19.81136,19.94084,19.90385,19.68187,19.86685,19.86685,19.60788,19.36741,19.34891,19.55239,19.71887,19.77436,19.64488,19.53389,19.51539,19.34891,19.10843,19.10843,19.36741,19.31191,19.68187,19.66337,19.92234,20.45879,21.23570,21.25420,21.29120,21.55017,21.64266,21.73515,21.62416,21.64266,21.29120,20.93973,20.84724,20.21831,19.95934,19.92234,19.62638,19.40440,19.23792,18.62749,18.38701,17.85057,17.16614,16.70369,16.05626,15.40883,14.79840,14.50243,13.96599
2015,Paddington 33_11kV,22MAY2014,MW,13.50354,13.26307,13.02259,12.65263,12.61564,12.44915,12.07919,11.96821,11.76473,11.70923,11.65374,11.45026,11.45026,11.45026,11.37627,11.09880,10.93232,10.93232,10.93232,11.04331,11.74623,12.13469,12.35666,12.78212,13.55903,14.29895,15.16836,16.37073,17.61010,18.73847,19.55239,19.71887,19.84835,19.55239,19.31191,19.16393,19.12693,19.10843,19.14543,18.99745,19.12693,19.31191,19.33041,19.16393,19.25642,19.45990,19.45990,19.60788,19.79286,19.73737,19.71887,19.38590,19.64488,19.57088,19.55239,19.47839,19.49689,19.38590,19.36741,19.21942,19.05294,19.08994,19.21942,19.29341,19.27492,19.44140,19.66337,19.77436,20.19981,20.68076,20.90274,21.08772,21.05072,21.21720,21.23570,21.21720,20.93973,20.77325,20.73626,20.47728,20.16282,19.88535,19.58938,19.27492,18.79397,18.51650,18.05405,17.88757,17.36962,16.70369,16.16725,15.57532,15.11287,14.59492,14.24346,13.67002
2015,Paddington 33_11kV,23MAY2014,MW,13.46654,13.05959,12.98560,12.57864,12.24568,11.98670,11.91271,11.48726,11.41327,11.37627,11.26528,11.20979,11.22829,10.89532,10.87682,11.08030,11.00631,11.11730,11.30228,11.32078,11.61674,12.07919,12.35666,12.76362,13.74401,14.26196,15.14986,16.13026,17.44361,18.55349,19.42290,19.42290,19.53389,19.34891,19.18243,19.05294,19.20092,19.29341,19.29341,19.51539,19.82986,19.71887,19.68187,19.81136,19.82986,19.86685,19.73737,19.95934,20.12582,19.81136,19.68187,19.60788,19.58938,19.55239,19.81136,19.71887,19.64488,19.57088,19.51539,19.40440,19.36741,19.34891,19.20092,19.33041,19.36741,19.68187,19.90385,19.86685,20.51428,21.05072,20.99523,21.36519,21.01373,21.01373,21.03222,20.47728,20.47728,20.27381,19.88535,19.38590,18.84946,18.60899,18.53500,18.23903,18.31302,18.03555,17.90606,17.85057,17.16614,16.83318,16.57421,16.25974,15.90828,15.42733,15.07587,14.68741
2015,Paddington 33_11kV,24MAY2014,MW,14.63192,14.37295,13.92899,13.50354,13.28156,12.98560,12.83761,12.61564,12.48615,12.24568,12.04220,11.87572,11.87572,11.87572,11.85722,11.78323,11.87572,11.87572,11.74623,11.74623,11.74623,11.74623,11.82022,12.06070,12.50465,12.96710,12.98560,13.44805,14.02148,14.53943,15.02038,15.39034,16.11176,16.42622,16.74069,17.42512,17.77658,17.86907,18.29452,18.49800,19.21942,19.21942,19.03444,19.14543,19.21942,19.20092,19.08994,19.12693,19.21942,19.29341,19.14543,18.97895,18.84946,18.64598,18.38701,18.40551,18.31302,18.42401,18.29452,18.25753,18.12804,18.07255,18.22053,18.49800,18.59049,18.68298,18.99745,19.20092,20.10732,20.62527,20.86574,21.08772,21.14321,21.05072,20.66226,20.16282,19.81136,19.33041,19.27492,19.23792,18.77547,18.23903,18.01705,17.85057,17.48061,17.31413,17.20314,16.99966,16.66670,16.37073,16.18575,15.83429,15.66781,15.31634,14.89089,14.53943
2015,Paddington 33_11kV,25MAY2014,MW,14.20646,14.13247,13.91050,13.52204,13.50354,13.07809,12.81911,12.65263,12.31967,11.94971,12.06070,11.96821,11.85722,11.63524,11.61674,11.59825,11.41327,11.43176,11.46876,11.22829,11.50576,11.76473,11.70923,11.83872,12.07919,12.39366,12.39366,12.50465,12.96710,13.33706,13.05959,13.28156,13.79951,14.18797,14.65042,15.11287,15.57532,15.77879,16.74069,17.33263,17.20314,17.40662,17.73958,17.64709,18.09104,18.38701,17.99855,18.29452,18.22053,18.18353,17.88757,17.70259,17.79508,17.73958,17.59160,17.66559,17.85057,17.83207,17.59160,17.72108,17.64709,17.66559,17.61010,17.73958,17.66559,17.94306,18.31302,18.64598,19.36741,20.03333,20.53278,20.53278,20.79175,20.93973,20.90274,20.53278,20.31080,20.01483,19.84835,19.73737,19.27492,18.92345,19.05294,18.55349,18.40551,18.05405,17.64709,17.33263,16.81468,16.18575,15.70480,15.11287,14.52093,14.16947,13.94749,13.54054
2015,Paddington 33_11kV,26MAY2014,MW,13.26307,13.24457,12.83761,12.56014,12.48615,12.13469,11.93121,11.78323,11.69074,11.46876,10.96931,11.06180,10.98781,10.98781,10.89532,10.82133,10.93232,10.93232,11.11730,11.20979,11.45026,11.69074,12.24568,12.80062,13.57753,14.44694,15.20536,16.11176,17.35112,18.59049,19.40440,19.47839,19.60788,19.66337,19.40440,18.97895,19.07144,18.86796,18.94195,19.12693,19.45990,19.51539,19.49689,19.31191,19.49689,19.49689,19.60788,19.58938,19.66337,19.40440,19.64488,19.64488,19.58938,19.62638,19.53389,19.34891,19.38590,19.45990,19.44140,19.47839,19.34891,19.25642,19.38590,19.31191,19.68187,19.84835,20.08883,20.03333,20.44029,20.82875,21.27270,21.19871,21.42068,21.67965,21.64266,21.45768,21.32819,21.19871,21.06922,20.69926,20.69926,20.23681,19.86685,19.40440,18.92345,18.49800,18.36851,17.83207,17.11065,16.33373,15.87128,15.14986,14.81690,14.22496,13.70702,13.39255
2015,Paddington 33_11kV,27MAY2014,MW,13.02259,12.78212,12.44915,12.20868,12.20868,11.93121,11.82022,11.57975,11.33927,11.17279,11.22829,11.11730,11.09880,11.09880,11.09880,11.09880,11.22829,11.19129,11.19129,11.35777,11.82022,12.19018,12.61564,12.83761,13.91050,14.55793,15.27935,16.25974,17.59160,18.71998,19.45990,19.71887,19.71887,19.38590,19.14543,18.90496,18.88646,18.73847,18.90496,19.23792,19.45990,19.64488,19.64488,19.51539,19.62638,19.58938,19.71887,19.57088,19.79286,19.84835,19.82986,19.70037,19.71887,19.73737,19.45990,19.38590,19.53389,19.49689,19.70037,19.33041,19.25642,19.34891,19.20092,19.18243,19.33041,19.44140,19.58938,19.77436,20.38479,21.21720,21.19871,21.58716,21.32819,21.25420,21.34669,21.12471,21.08772,20.90274,20.60677,20.45879,20.32930,19.99634,19.73737,19.40440,19.31191,18.81247,18.27602,17.98006,17.38812,16.87018,16.27824,15.64931,15.22385,14.66891,14.18797,13.76251
