year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Homebush Bay 132_11kV,01MAY2015,MW,19.77074,19.90330,19.60030,19.42986,19.18368,19.01324,18.78599,18.72918,18.63449,18.50193,18.46405,18.67236,18.55874,18.57768,18.50193,18.48299,18.72918,18.80493,19.71393,20.47143,21.11530,22.36518,23.33099,24.16424,24.31574,25.31942,26.02011,27.26998,29.42886,30.16742,31.37942,31.94754,34.03067,34.25792,32.17479,34.39048,34.04961,33.67086,33.70873,34.93967,34.01173,34.65561,34.97754,34.29579,34.35261,34.16323,33.15954,33.48148,35.05329,34.86392,33.46254,34.33367,33.44361,32.79973,32.09904,32.19373,31.49305,31.41730,31.32261,31.62561,31.15217,31.05748,30.62192,30.14848,29.86442,29.65611,29.16373,28.70923,28.80392,29.14480,28.89861,28.51986,28.19792,27.68661,27.47830,26.73974,26.07692,26.26630,26.49355,26.22842,25.41411,25.31942,24.95961,24.23999,23.70974,23.78549,23.50142,23.00905,22.66818,22.21368,21.94855,21.47511,21.03955,20.56611,20.20630,19.97905
2016,Homebush Bay 132_11kV,02MAY2015,MW,19.73286,19.50561,19.27836,19.05111,18.97536,18.48299,18.42618,18.38830,18.12318,18.00955,18.08530,18.10424,17.87699,17.89593,17.80124,17.72549,17.82018,17.83912,18.00955,18.08530,17.99062,18.12318,18.59661,18.99430,19.37305,19.71393,19.52455,19.69499,19.90330,19.97905,20.54718,21.05849,21.30468,22.15686,22.36518,22.40305,22.51668,22.87649,23.12267,23.50142,23.55824,23.55824,23.76655,23.82336,24.33467,24.06955,23.86124,23.50142,23.46355,23.38780,23.53930,23.25524,23.10374,23.19842,23.23630,23.10374,22.59243,22.89542,22.85755,23.14161,23.06586,22.78180,22.55455,22.70605,22.68711,22.99011,22.87649,22.64924,22.78180,23.12267,23.53930,23.80442,23.76655,23.33099,22.99011,23.06586,22.78180,22.97117,23.06586,22.66818,22.44093,22.10005,22.06218,22.10005,21.68343,21.55086,21.07743,21.20999,20.90699,20.49036,20.33886,20.03586,19.99799,19.97905,19.67605,19.20261
2016,Homebush Bay 132_11kV,03MAY2015,MW,18.86174,18.55874,18.29361,18.14211,18.00955,18.00955,17.76337,17.80124,17.59293,17.64974,17.57399,17.44143,17.32780,17.42249,17.55505,17.34674,17.34674,17.51718,17.32780,17.40355,17.74443,17.68762,17.93380,18.33149,18.63449,18.84280,18.72918,18.91855,18.93749,19.07005,19.35411,19.41093,19.82755,20.16843,20.83124,21.17211,21.85386,22.04324,22.36518,22.45986,22.64924,22.93330,22.78180,22.87649,23.00905,22.95224,22.85755,22.78180,22.49774,22.38411,22.30836,22.49774,22.78180,22.66818,22.42199,22.59243,22.27049,22.44093,22.11899,21.64555,21.81599,21.62661,21.68343,21.83493,21.62661,21.81599,21.81599,22.00536,22.40305,23.02799,23.42567,23.42567,23.53930,23.52036,23.04692,22.85755,22.80074,22.63030,22.47880,22.45986,22.30836,22.10005,21.81599,21.79705,21.36149,20.94486,20.73655,20.45249,20.22524,19.92224,19.71393,19.58136,19.18368,19.10793,18.89961,18.69130
2016,Homebush Bay 132_11kV,04MAY2015,MW,18.38830,18.12318,18.00955,18.00955,17.80124,17.61187,17.47930,17.49824,17.49824,17.44143,17.44143,17.34674,17.38462,17.30887,17.51718,17.68762,17.59293,17.76337,18.88068,19.24049,20.33886,21.28574,22.08111,23.93699,25.22474,26.19055,25.54667,26.68292,28.87967,30.37573,32.34523,31.66348,32.21267,33.27317,33.74661,34.54198,33.34892,33.42467,33.40573,34.48517,34.48517,34.25792,34.63667,34.69348,34.73136,34.95861,35.29948,35.07223,36.15167,35.11011,35.01542,34.80711,35.26161,34.03067,33.38679,33.32998,32.97017,32.83761,32.81867,32.68611,32.21267,32.04223,31.72030,31.39836,30.86811,30.65980,30.43255,30.01592,29.22055,29.75080,30.01592,29.56142,28.69030,28.50092,27.62980,27.80023,27.13742,26.89124,26.07692,25.88755,25.28155,25.30049,24.94067,24.42936,23.89911,23.48249,23.06586,22.76286,22.59243,22.11899,21.39936,21.13424,20.85018,20.13055,19.77074,19.61924
2016,Homebush Bay 132_11kV,05MAY2015,MW,19.42986,19.35411,18.86174,18.74811,18.44511,18.04743,17.97168,18.04743,17.89593,17.97168,18.04743,18.02849,17.91487,17.72549,17.82018,17.99062,17.91487,18.06637,19.33518,19.80861,20.90699,22.49774,22.91436,24.31574,25.67924,26.96699,26.22842,27.53511,29.37205,30.35680,31.47411,31.56880,32.76186,32.04223,33.25423,33.50042,33.14061,33.76554,34.73136,35.03436,35.18586,36.22742,35.11011,34.52304,35.52673,35.62142,35.43204,35.43204,36.05698,36.15167,36.47360,34.92073,34.61773,34.42836,34.12536,34.25792,34.10642,33.57617,33.72767,33.55723,33.27317,32.93229,32.28842,32.17479,31.39836,31.03855,30.86811,30.11061,29.71292,29.46673,29.65611,29.46673,28.61455,27.78130,27.59192,27.23211,26.81549,26.64505,26.13374,25.73605,25.28155,25.30049,24.88386,24.44830,24.27786,23.82336,23.29311,22.89542,22.23261,21.87280,21.22893,20.62293,20.37674,20.05480,19.84649,19.60030
2016,Homebush Bay 132_11kV,06MAY2015,MW,19.29730,18.80493,18.36936,18.29361,18.08530,17.83912,18.02849,18.17999,17.99062,17.85805,17.68762,17.55505,17.38462,17.47930,17.38462,17.57399,17.78230,17.91487,18.86174,19.50561,20.54718,21.38043,22.45986,23.78549,24.88386,25.47092,26.07692,26.28524,28.84180,29.48567,30.77342,31.11430,31.66348,31.66348,32.34523,31.49305,32.66717,33.40573,31.77711,33.19742,31.98542,33.87917,33.55723,32.97017,32.87548,33.50042,33.25423,32.78079,31.92861,33.17848,32.87548,33.40573,33.19742,32.00436,32.17479,31.66348,31.54986,31.51198,31.28473,31.22792,30.45148,30.26211,29.84548,29.67505,29.03117,29.03117,28.69030,28.23580,27.83811,28.17898,28.29261,27.89492,27.15636,26.85336,26.30417,25.94436,25.77392,26.03905,25.86861,25.75499,25.20580,24.77024,24.33467,24.22105,23.86124,23.27417,23.06586,22.63030,22.38411,21.68343,21.39936,21.11530,20.64186,20.01693,19.84649,19.41093
2016,Homebush Bay 132_11kV,07MAY2015,MW,18.95643,18.74811,18.57768,18.36936,18.14211,18.04743,17.91487,17.83912,17.83912,17.70655,17.66868,17.57399,17.68762,17.68762,17.76337,17.82018,18.04743,18.17999,19.18368,19.88436,21.05849,22.28943,23.14161,24.90280,26.32311,26.66399,27.51617,28.31155,29.56142,31.85286,32.45886,32.59142,32.43992,33.63298,32.66717,33.34892,32.47779,33.38679,32.81867,34.08748,33.04592,33.84129,32.62929,34.01173,34.31473,33.86023,33.78448,33.97386,33.72767,33.50042,32.97017,32.93229,31.98542,31.49305,31.98542,31.37942,31.19005,30.96280,30.14848,30.33786,29.44780,29.73186,29.80761,29.25842,28.46305,28.33048,28.31155,28.36836,28.31155,28.31155,28.86073,28.42517,27.78130,27.17530,27.06167,26.75867,26.30417,26.20949,26.24736,25.64136,25.24367,25.13005,24.84599,24.56192,24.22105,23.65292,23.33099,23.00905,22.76286,22.00536,21.49405,21.03955,20.73655,20.24418,19.92224,19.60030
2016,Homebush Bay 132_11kV,08MAY2015,MW,19.37305,19.03218,18.59661,18.55874,18.42618,18.17999,18.17999,18.35043,18.12318,18.00955,17.95274,17.99062,18.21786,18.17999,17.93380,18.06637,18.16105,18.31255,19.35411,19.86543,21.05849,22.28943,23.57717,24.88386,25.90649,27.09955,27.34573,27.49723,29.92123,31.15217,32.21267,31.85286,32.11798,31.81498,32.83761,32.68611,32.38311,32.78079,32.08011,32.62929,32.97017,33.29211,32.91336,32.79973,32.97017,33.95492,33.31104,32.89442,33.06486,32.81867,32.42098,31.75817,31.89073,30.43255,30.18636,30.35680,30.12955,29.88336,29.67505,29.42886,28.97436,29.16373,29.05011,28.67136,28.14111,28.19792,27.55405,27.13742,26.68292,27.49723,27.72448,27.51617,26.55036,26.45567,25.86861,25.83074,25.45199,25.50880,25.31942,24.88386,24.52405,24.61874,24.18317,23.72867,23.17949,22.83861,22.40305,22.04324,21.49405,20.79336,20.62293,20.41461,20.35780,19.96011,19.37305,19.31624
2016,Homebush Bay 132_11kV,09MAY2015,MW,18.89961,18.78599,18.38830,18.10424,17.87699,17.76337,17.66868,17.44143,17.38462,17.30887,17.34674,17.55505,17.32780,17.38462,17.46037,17.53612,17.46037,17.36568,17.64974,17.61187,17.82018,18.23680,18.52086,18.86174,19.61924,19.99799,19.86543,19.86543,20.11161,20.39568,20.49036,20.73655,20.96380,21.58874,21.72130,21.92961,22.06218,22.17580,21.89174,22.06218,22.17580,22.42199,22.17580,22.19474,22.28943,22.34624,22.23261,22.19474,22.00536,21.60768,21.43724,21.87280,21.70236,21.41830,21.41830,21.94855,22.19474,21.75918,21.98643,22.15686,22.02430,22.13793,22.02430,21.98643,22.89542,23.44461,23.34992,23.31205,23.72867,24.69449,24.95961,25.05430,25.26261,24.90280,24.63767,24.54299,24.75130,24.82705,24.39149,24.20211,23.33099,23.42567,23.06586,22.59243,22.08111,21.62661,21.43724,21.49405,20.79336,20.39568,20.16843,19.88436,19.67605,19.58136,19.08899,18.78599
2016,Homebush Bay 132_11kV,10MAY2015,MW,18.42618,18.06637,18.02849,17.89593,17.76337,17.66868,17.42249,17.34674,17.17630,17.15737,16.93012,16.81649,16.89224,16.87330,16.98693,16.87330,16.75968,17.00587,16.94905,16.91118,17.08162,17.02480,17.46037,17.55505,17.82018,17.80124,17.74443,17.51718,17.49824,17.38462,17.87699,18.14211,18.16105,18.52086,18.36936,18.42618,18.72918,18.89961,18.57768,18.59661,18.57768,18.88068,19.25943,19.42986,19.44880,19.75180,19.80861,19.71393,19.54349,19.24049,18.48299,18.89961,18.97536,19.24049,18.91855,18.80493,18.78599,19.33518,19.16474,19.12686,19.12686,19.05111,19.12686,20.03586,20.01693,19.86543,19.96011,20.22524,20.37674,20.96380,21.36149,21.60768,21.77811,21.58874,21.56980,21.39936,21.64555,21.58874,21.49405,21.41830,21.24786,21.24786,21.11530,21.09636,20.67974,20.58505,20.20630,20.09268,20.03586,19.58136,19.24049,19.20261,19.07005,18.80493,18.46405,18.27468
