year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Rathmines 132_11kV,01MAY2014,MW,7.15230,6.84738,6.71290,6.69960,6.20330,5.59852,5.11079,5.14350,4.71395,4.35455,3.69048,3.31740,3.09896,2.69730,2.69730,2.69730,2.69730,2.69730,2.69730,2.69730,2.69730,2.69008,2.83072,3.00865,3.60948,4.01080,4.74724,4.94820,4.54268,4.53780,4.75332,4.60170,4.60170,4.60170,4.10482,4.04640,3.53366,3.29760,3.29760,3.29760,3.29760,3.29760,3.29760,3.08214,2.84710,2.74112,2.72271,2.76480,2.65888,2.54610,2.74764,2.84580,2.84580,2.84580,2.84580,2.84580,2.84580,2.78555,2.77290,2.77290,2.77290,2.77290,2.87189,3.40200,3.40200,3.40200,3.40200,4.00761,4.24890,4.78351,5.58787,6.02010,6.25896,6.30630,6.30630,6.20079,5.93820,5.93820,5.93820,5.80092,5.35230,5.35230,5.35230,5.35230,4.97800,4.52610,4.56862,4.64095,5.92392,6.09689,6.01290,5.60718,6.18693,5.84640,5.95428,6.30450
2015,Rathmines 132_11kV,02MAY2014,MW,6.91800,6.74910,6.61790,6.70611,6.37438,5.48567,4.85007,5.03100,4.66600,4.10691,3.92760,3.33792,3.30480,2.99578,2.71433,2.68470,2.68470,2.68470,2.68470,2.68470,2.68470,2.77691,2.93310,3.03660,3.40835,3.58287,4.07970,4.07970,3.85810,4.09725,4.09770,4.09770,4.09770,4.09770,3.99244,3.05730,3.05730,3.05730,2.82501,2.67834,2.64576,2.59650,2.77809,2.81880,2.81880,2.76180,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.93088,2.94930,2.94930,3.17144,3.52170,3.52170,3.92640,4.08780,4.57582,4.84660,5.52060,5.71589,5.91660,5.91660,5.91660,5.68415,5.33915,5.49000,5.49000,5.49000,5.49000,4.84710,4.70880,4.70880,4.70880,4.70880,4.70880,4.70880,5.85191,5.99796,5.50338,5.30550,5.86093,5.99400,6.02139,6.49278
2015,Rathmines 132_11kV,03MAY2014,MW,6.82110,6.64597,6.45766,6.62580,6.16725,5.52361,5.08451,4.43825,4.22485,4.58122,4.16134,3.69688,3.23460,3.23460,2.66914,2.61270,2.61270,2.61270,2.61270,2.61270,2.61270,2.61270,2.61270,2.61270,2.77310,2.85750,2.85750,3.30876,3.53404,4.22730,4.50227,4.77270,4.93090,5.42250,5.42250,5.42250,5.42250,5.42250,4.82183,4.65210,4.65210,4.65210,4.65210,4.68276,4.40695,4.23280,4.18194,4.05664,4.07970,4.09242,4.14667,4.00632,3.96720,4.03362,4.16250,4.16250,4.00513,3.97385,3.96441,4.10911,4.01620,4.17690,4.17690,4.88279,5.12701,5.62770,5.62770,5.72378,6.09300,6.75014,7.19308,7.47720,7.47720,7.47720,7.47720,7.47720,7.47720,7.47720,7.47720,6.69809,6.69150,6.37360,6.04080,6.04080,6.04080,6.04080,6.75699,6.74563,6.58350,6.21496,5.97060,5.73810,6.57813,6.54465,5.95709,5.56766
2015,Rathmines 132_11kV,04MAY2014,MW,5.73390,5.31918,4.80789,5.53655,5.06645,4.33478,3.85053,3.26790,3.47977,3.31290,3.31290,3.13056,2.72230,2.69280,2.69280,2.72344,2.68637,2.72554,2.87730,2.87730,2.87730,2.69674,2.67210,2.67210,2.67210,2.67210,2.93693,3.40560,3.40560,3.90023,4.34666,4.81171,5.46300,5.51619,6.12720,6.12720,6.12720,6.12720,6.12720,6.12720,6.12720,5.69648,5.30825,5.25600,5.25600,4.70910,4.61340,4.61340,4.33060,4.05226,3.99060,3.99060,3.99060,3.99060,3.99060,3.99060,3.99060,3.99060,3.99060,3.99060,3.99060,3.99060,3.99060,3.99060,3.99060,4.73393,5.27991,5.30224,5.60068,6.17530,6.76800,6.87091,7.45740,7.45740,7.45740,7.45740,7.00125,6.95700,6.95700,6.59195,6.54300,6.11987,5.90220,5.90220,5.90220,5.71358,6.72630,6.48602,5.97240,5.39595,5.54361,5.39452,6.38382,6.20032,5.55458,5.36694
2015,Rathmines 132_11kV,05MAY2014,MW,5.46314,4.78474,4.75985,5.31550,4.85151,4.06107,3.43234,3.49173,3.35880,3.35880,3.35880,2.82578,2.52360,2.56449,2.54790,2.54790,2.54790,2.54790,2.54790,2.62823,2.79810,2.79810,3.14351,3.44430,3.81369,4.55833,5.05063,5.56386,5.57550,5.57550,5.57550,5.57550,5.57550,5.48204,5.19125,4.78948,4.51170,4.39057,3.89210,3.86370,3.86370,3.44956,3.33000,3.33000,3.33000,3.33000,3.33000,3.09026,2.68706,2.74668,2.83500,2.83500,2.64558,2.77237,2.80620,2.80620,2.80620,2.80620,2.80620,2.80620,2.80620,2.80620,2.80620,3.37501,3.58200,3.83321,4.34147,5.05073,5.70094,6.30106,7.46703,7.96246,8.17200,8.17200,8.17200,8.02419,7.98930,7.84608,7.43830,7.43053,7.34850,7.05016,6.60299,6.56730,6.17160,5.92650,5.92650,5.92650,7.08824,7.35212,6.80994,6.70860,6.70860,6.70860,6.70860,7.13587
2015,Rathmines 132_11kV,06MAY2014,MW,7.50420,7.35808,7.02729,6.97230,6.68667,5.97195,5.50222,5.31630,5.31630,4.83120,4.50958,3.92850,3.43792,3.30750,3.30750,3.30750,3.30750,3.30750,3.30750,3.30750,3.30750,3.30750,3.43704,3.53970,4.05112,4.55504,5.65302,5.98934,5.97867,6.05176,5.98140,5.98140,5.98140,5.98140,5.59589,5.31810,4.99127,4.57110,4.43954,4.03380,4.03380,3.58776,3.71970,3.42128,3.34080,3.34080,3.34080,3.34080,3.34080,3.34080,3.34080,3.34080,3.34080,3.34080,3.34080,2.87096,2.93627,3.05370,3.05370,3.05370,3.05370,3.05370,3.05370,3.09833,3.57120,3.57120,4.11269,4.67875,5.22159,5.97264,6.72741,6.94620,6.94620,7.35227,7.36195,7.30260,7.30260,7.30260,7.05751,6.67890,6.67890,6.67890,6.67890,5.99043,5.86800,5.86800,5.86800,5.54021,6.58594,6.68096,6.52590,6.41667,6.66395,6.60679,6.43547,6.98329
2015,Rathmines 132_11kV,07MAY2014,MW,7.43225,7.10547,6.77474,6.87284,6.70500,5.89251,5.33474,5.56048,5.33800,4.52430,4.13780,3.72916,3.28590,3.28590,3.28590,3.28590,3.28590,3.28590,2.87869,2.87799,2.92050,2.92050,2.92050,3.42202,3.54780,3.91765,4.78680,4.90410,4.90410,5.07141,5.47597,5.33430,5.33430,4.61387,4.17833,3.91140,3.91140,3.91140,3.91140,3.35406,3.27913,3.26610,3.26610,3.26610,3.26610,3.26610,3.74583,3.76920,3.55148,3.36420,2.83105,2.70248,2.80890,2.80890,2.80890,2.68075,2.61409,2.77290,2.77290,2.77290,2.77290,2.77290,3.18552,3.41461,3.38986,3.52440,4.12112,4.33288,5.14847,5.85038,6.45742,7.02180,7.02180,7.02180,7.02180,7.02180,6.87412,6.87960,6.87960,6.77188,6.06600,6.06600,6.06600,5.66281,5.53860,5.46075,5.57637,5.40628,6.58102,6.85440,6.85440,6.30269,6.66203,6.56359,6.41796,7.07177
2015,Rathmines 132_11kV,08MAY2014,MW,7.47881,7.33336,6.65610,6.99776,6.62220,6.09110,5.34993,5.51166,5.25018,4.54645,3.93030,3.93030,3.88209,3.30570,3.30570,3.30570,3.30570,3.30570,3.30570,3.30570,3.30570,3.30570,3.30570,3.47741,3.82837,4.27408,4.80420,4.80420,4.80420,5.25510,5.46300,5.46300,5.46300,5.46300,5.07180,4.82343,4.70664,4.54005,4.67820,4.67820,4.67820,4.24602,3.84840,3.98045,4.10866,4.03117,4.08097,4.11066,3.98520,3.63156,3.79492,3.91017,3.97054,3.92400,4.03805,4.23814,3.88890,3.88890,3.88890,3.88890,3.88890,3.88890,3.88890,4.02388,4.06464,4.19940,4.88753,4.93020,5.74184,6.67243,7.51362,7.90920,7.90920,7.90920,7.80933,7.36949,7.37214,7.44904,7.35030,7.08135,6.75008,6.70950,6.23171,6.07320,6.07320,6.07320,6.07320,6.07320,7.20320,7.17763,6.66170,6.66450,6.89809,6.74550,6.74550,7.20057
2015,Rathmines 132_11kV,09MAY2014,MW,7.52821,7.21389,6.88227,7.28280,6.73942,6.08701,5.63766,5.69380,5.11040,4.68900,4.24055,4.04910,3.53339,3.20580,3.20580,3.20580,3.20580,3.20580,3.20580,3.20580,3.20580,3.20580,3.29728,3.48560,3.48840,3.98155,4.42585,5.06070,4.72188,4.86270,4.86270,4.86270,4.86270,4.86270,4.64042,4.54590,4.26260,3.90600,3.90600,3.27289,3.24720,3.31119,3.36285,3.29040,3.29040,3.34110,3.36690,3.36690,3.36690,3.36690,3.36690,3.33165,3.17880,3.17880,3.17880,3.17880,2.70445,2.71580,2.69644,2.86830,2.86830,3.35680,3.41190,3.41190,3.64765,3.92676,4.09680,4.13891,4.86502,5.86299,6.21828,6.25500,6.21913,6.34500,6.34500,6.33093,5.99529,6.09279,6.09552,6.01920,6.01920,6.01920,5.91595,5.27040,5.20560,5.20560,5.20560,5.23379,6.53738,6.70643,6.60600,6.60600,6.60600,6.60600,6.65468,6.97300
2015,Rathmines 132_11kV,10MAY2014,MW,7.19100,7.00077,6.80101,7.17660,6.71802,5.89149,5.31360,4.69158,4.68348,4.64122,4.09343,3.93248,3.32280,3.32280,3.32280,3.32280,2.72432,2.61180,2.61180,2.77112,2.85660,2.85614,2.64870,2.82076,2.86110,2.86357,3.50460,3.50460,3.83047,4.36162,4.79160,4.93531,5.44999,5.47110,5.47110,5.47110,5.47110,5.47110,5.47110,5.24072,4.55220,4.55220,4.55220,4.46873,3.92670,3.92670,3.92670,3.92670,3.92670,3.92670,3.92670,3.92670,3.92670,3.94233,3.98337,3.91140,3.91140,3.91140,3.91140,3.91140,4.00245,4.22910,4.22910,4.22910,4.84578,4.86360,4.86360,5.07050,5.40450,6.16583,6.33893,6.38730,6.38730,6.38730,6.38630,6.05970,6.05970,6.05970,6.05970,6.05970,5.48099,5.21820,5.21820,5.21820,4.72986,4.60385,6.04707,6.14734,5.90760,5.49197,5.43573,5.28390,6.24888,6.06973,5.42409,5.42855
2015,Rathmines 132_11kV,11MAY2014,MW,5.45639,4.94571,4.90413,5.61209,4.69687,4.04370,3.39146,3.17880,3.20239,3.17520,3.17520,3.04564,2.53980,2.53980,2.53980,2.53980,2.53980,2.53980,2.53980,2.53980,2.53980,2.53980,2.66370,2.56680,2.56680,2.59344,2.69308,2.92381,3.45690,3.45690,3.81082,4.18898,4.80060,5.36067,5.45499,5.80459,5.88060,5.84482,5.25510,5.25510,5.25510,5.25510,5.01418,4.74434,4.70610,4.24557,4.01000,3.95889,3.96211,3.98429,3.90690,3.90690,3.90690,3.90690,3.95799,3.97050,3.52661,3.40660,3.51000,3.51000,3.51000,3.51000,3.51000,3.51000,3.51000,4.14627,4.16790,4.39807,4.75740,4.78296,5.60160,5.60160,5.60160,5.60160,5.60160,5.59442,5.39820,5.39820,5.39820,5.39820,5.39820,5.33933,4.67812,4.62780,4.62780,4.62780,5.78296,5.62809,5.26860,5.06791,4.82873,4.72090,5.35071,5.47740,5.14658,4.67553
2015,Rathmines 132_11kV,12MAY2014,MW,4.75719,4.59012,4.28846,4.96364,4.24907,3.65322,3.36960,3.36590,3.17970,3.11587,2.55690,2.55690,2.55690,2.55690,2.55690,2.55690,2.55690,2.55690,2.55690,2.55690,2.55690,2.55690,2.55690,2.81311,3.19476,3.54593,4.07070,4.67501,4.71240,4.71240,4.71240,4.71240,4.71240,4.71240,4.25427,4.02293,4.01580,3.80922,3.36150,3.36150,3.36150,3.36150,3.36150,3.36150,3.06436,2.66981,2.81520,3.08429,3.37557,3.19980,3.15720,3.15720,3.15720,3.15720,3.15720,3.15720,3.15720,3.15720,3.15720,3.15720,3.15720,3.15720,3.40312,3.54690,3.54690,3.72687,4.03823,4.12110,4.69142,5.45057,6.16950,6.16950,6.31800,6.72239,6.60960,6.60960,6.02818,6.06802,6.02280,6.02280,5.45409,5.24250,5.24250,5.18587,4.67948,4.76335,4.87040,4.83218,6.22681,6.38856,5.97690,5.97690,5.97690,5.97690,6.25696,6.76236
2015,Rathmines 132_11kV,13MAY2014,MW,7.08300,6.66490,6.68853,6.70705,6.52678,5.55417,4.78378,5.02920,4.70527,4.36910,3.99780,3.85015,3.33529,3.29324,2.63790,2.68443,2.62530,2.62530,2.62530,2.62530,2.62530,2.62530,2.62530,2.62530,3.35747,3.91477,4.38544,4.61114,4.65644,4.88430,4.88430,4.88430,4.69382,4.50450,4.50450,3.98424,3.88655,3.88440,3.88440,3.88440,3.72934,3.33060,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.26430,3.28330,3.61260,3.61260,3.84270,4.01573,4.20120,4.82785,5.70662,6.08310,6.08310,6.08310,6.08310,6.08310,5.97591,5.94261,6.07806,5.91930,5.33539,5.33878,5.34150,5.34150,5.34150,5.34150,5.34150,4.97213,4.54860,5.80238,6.04349,5.97560,5.92830,6.18910,6.19470,6.47867,6.53400
2015,Rathmines 132_11kV,14MAY2014,MW,6.76350,6.63272,6.64912,6.66810,6.43150,5.58016,5.39640,5.39640,4.72731,4.15145,3.95190,3.86065,3.31380,3.25284,2.83069,2.70009,2.69910,2.69910,2.69910,2.69910,2.69910,2.69910,2.69910,2.97318,3.45060,3.88462,4.51969,4.79520,4.79520,4.79520,4.76177,4.81061,4.81230,4.81230,4.47058,4.06119,3.84930,3.84930,3.63183,3.41431,3.23820,3.23820,3.23820,3.23820,3.23820,3.23820,3.23820,3.23820,3.23820,3.23820,3.23820,3.23820,3.14740,2.69810,2.72272,2.91690,2.91690,2.91690,2.91690,2.91690,3.24053,3.23370,3.23370,3.23370,3.44529,3.58020,3.86860,4.21650,4.58923,5.42357,5.62829,6.21000,6.22963,6.59352,6.57180,6.57180,6.07353,5.92830,5.92830,5.92830,5.92830,5.82875,5.43544,5.30100,5.30100,5.30100,5.30100,5.30100,6.47338,6.76710,6.66648,5.89680,6.20189,6.13447,6.39607,6.83144
2015,Rathmines 132_11kV,15MAY2014,MW,7.08390,6.71196,6.12274,6.43320,6.25406,5.66885,5.13944,5.17230,4.93603,4.71510,4.14182,3.57761,3.26700,3.02597,2.65189,2.84580,2.84580,2.84580,2.64568,2.61630,2.65050,2.86830,2.86830,3.39602,3.80174,4.50192,4.79880,5.19377,5.20110,5.34211,5.37210,5.37210,5.37210,5.37210,5.11031,4.36940,3.91230,3.91230,3.91230,3.46998,3.59622,3.17070,3.17070,3.17070,3.17070,3.17070,3.17070,3.17070,2.99561,2.68974,2.61966,2.62280,2.78117,2.78863,2.81160,2.81160,2.81160,2.81160,2.81160,2.81160,2.81160,2.81160,3.06178,3.32209,3.21994,3.38400,3.38400,3.98394,4.58507,5.31847,5.93148,6.15330,6.15330,6.15330,6.15330,6.15330,6.15330,6.15330,5.94974,5.87970,5.87970,5.87970,5.87970,5.38735,5.19030,5.19030,5.19030,5.19030,6.39713,6.60682,5.95541,5.93370,6.16028,6.16230,6.16230,6.67038
2015,Rathmines 132_11kV,16MAY2014,MW,7.40716,6.97365,6.56064,6.59250,6.45643,5.67508,5.29200,5.29200,4.73356,4.53150,3.90871,3.90870,3.33663,3.28410,3.28410,3.12094,2.72154,2.87730,2.87730,2.87730,2.87730,2.87730,2.87730,3.03614,3.86623,4.44810,4.92060,5.30166,5.26950,5.26950,5.26950,5.26950,5.26950,4.87117,4.70430,4.57361,4.00049,3.87900,3.74138,3.42766,3.32730,3.32730,3.32730,3.27781,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69435,2.69370,2.69370,2.69370,2.69370,2.69370,2.69370,2.69370,2.69370,3.24655,3.33442,3.51180,3.75778,4.15462,4.53046,5.25522,5.48229,5.49990,5.49990,5.49990,5.95877,5.98230,5.98230,5.98230,5.98230,5.38454,5.37480,5.37480,5.37480,5.37480,5.37480,5.37480,5.37480,5.19969,5.95288,6.24146,5.96659,5.92604,6.16228,6.16500,6.16500,6.58185
2015,Rathmines 132_11kV,17MAY2014,MW,6.87600,6.72152,6.68061,6.70522,6.55133,5.76466,4.92324,4.71780,4.71780,4.71780,4.08596,3.93480,3.60343,3.22228,2.68200,2.68200,2.68200,2.68200,2.68200,2.68200,2.68200,2.68200,2.68200,2.68200,2.68200,2.68200,2.99579,3.47490,3.66191,4.11300,4.11300,4.73326,4.75110,5.05476,5.27658,5.27031,5.25780,5.25780,4.96088,4.76651,4.53240,4.53240,4.53240,4.24070,3.94200,3.94200,3.94200,3.94200,3.94200,3.46568,3.27150,3.27150,3.27150,3.27150,3.26569,3.18889,3.18510,3.30380,3.24881,3.19860,3.19860,3.23309,3.60000,3.60000,3.99319,4.09500,4.09500,4.09500,4.73815,5.33799,5.57229,5.95710,5.95710,5.95710,5.51480,5.36040,5.46758,5.37210,5.37210,5.37210,4.91792,4.55665,4.66098,4.69950,4.58370,4.58370,5.35204,5.51880,5.51880,5.25228,4.73850,4.76910,5.39277,5.48010,5.24302,4.93592
2015,Rathmines 132_11kV,18MAY2014,MW,5.43083,4.98550,4.74566,5.37338,4.75677,3.84722,3.36977,3.34890,3.34890,3.34890,3.34890,3.09636,2.58224,2.57400,2.57400,2.57400,2.57400,2.57400,2.57400,2.57400,2.57400,2.57400,2.57400,2.57400,2.61112,2.83500,2.83500,2.83500,3.19661,3.53970,3.82067,4.16880,4.53459,4.80060,4.80060,4.80060,4.80060,4.80060,4.80060,4.80060,4.80060,4.80060,4.80060,4.80060,4.63348,4.56840,4.56840,4.56840,4.56840,4.56840,4.07742,3.81780,3.81780,3.81780,3.81780,3.81780,3.81780,3.81780,3.81780,3.81780,3.90281,4.09320,4.09320,4.09320,4.09320,4.25586,4.80780,4.81638,5.02508,5.68084,6.49356,6.55110,6.55110,6.55110,6.55110,6.15917,5.91660,5.91660,5.91660,5.41476,5.33160,5.33160,5.33160,5.33160,5.33160,4.89881,5.86993,5.73953,5.35790,5.38650,5.38650,4.91378,5.78411,5.85839,5.16660,5.02763
2015,Rathmines 132_11kV,19MAY2014,MW,5.27130,4.82057,4.79308,5.25890,4.54347,3.85560,3.35310,3.41391,3.22110,3.22110,2.88518,2.59560,2.59560,2.59560,2.59560,2.59560,2.59560,2.59560,2.59560,2.59560,2.59560,2.59560,2.71006,3.22862,3.57054,4.14270,4.75770,4.77000,4.56516,4.74269,4.76820,4.76820,4.76137,4.58192,4.57290,4.36020,4.03361,3.93750,3.92708,3.32640,3.32640,3.32640,3.32640,3.32640,3.32640,3.32640,3.32640,3.32640,3.32640,3.32640,2.96037,2.87550,2.87550,2.87550,3.24001,3.16440,3.16440,3.16440,3.20919,3.22200,3.24300,3.37698,3.53520,3.53520,3.53520,3.93459,3.98256,4.32810,4.81234,5.45490,6.03536,6.07728,6.24420,6.19364,6.03720,6.03720,6.03720,6.03720,6.03720,5.32830,5.21010,5.21010,5.21010,4.98266,4.62600,4.62600,4.67143,4.68720,5.97827,6.19826,6.05880,6.05880,6.05880,6.05880,6.05880,6.65874
2015,Rathmines 132_11kV,20MAY2014,MW,7.07850,6.73295,6.38755,6.44255,6.06060,5.41734,4.90200,5.02380,4.79104,4.29084,4.03560,3.52376,3.18420,3.18420,2.58885,2.54160,2.54160,2.68681,2.75580,2.75580,2.75580,2.75580,2.75580,3.12884,3.68550,4.07356,4.62362,4.60811,4.58370,4.71327,4.79070,4.79070,4.71373,4.60710,4.60710,4.60710,4.11233,3.98520,3.98520,3.98520,3.37706,3.36240,3.06237,2.90790,2.90790,2.90790,2.90790,2.90790,2.90790,2.90790,2.90790,2.90790,2.90790,2.96416,3.20244,3.19410,3.19410,3.19410,3.31989,3.34509,3.35943,3.56428,3.37913,3.40802,3.43260,3.67237,4.10220,4.43218,4.97902,5.47650,6.05589,6.05052,6.13148,6.18300,6.17655,6.32250,6.05215,6.02334,5.90310,5.86469,5.29110,5.29110,5.29110,5.03679,4.77838,4.69890,4.95268,4.74219,5.92074,6.13463,6.05430,6.05430,6.05430,6.05430,6.05430,6.43113
2015,Rathmines 132_11kV,21MAY2014,MW,6.89945,6.69796,6.50321,6.63268,6.32807,5.99760,5.99760,5.99760,4.89876,4.15714,3.97260,3.42018,3.22740,3.22740,3.12940,2.59380,2.60449,2.64780,2.64780,2.67406,2.89440,2.89440,2.89440,3.16267,3.74323,4.13820,4.52283,4.78890,4.72279,4.76100,4.76100,4.75767,4.59884,4.57020,4.43442,4.03020,4.03020,3.55658,3.37230,3.37230,3.37230,3.37230,3.37230,3.37230,3.37230,2.85796,2.76210,2.76210,2.76210,2.76210,2.76210,2.76210,2.76210,2.76210,2.76210,2.76210,2.76210,2.76210,2.76210,2.76210,2.76210,2.76210,2.76210,3.28144,3.61350,3.74840,4.05900,4.05900,4.71873,5.24802,5.55570,5.55582,6.21540,6.03461,5.99490,5.99490,5.99490,5.99490,5.80115,5.41247,5.39640,5.39640,5.24695,4.68194,4.63860,4.63860,4.70378,4.72140,5.83570,5.98917,5.87700,5.87700,6.13633,6.02592,6.05222,6.48255
2015,Rathmines 132_11kV,22MAY2014,MW,6.82830,6.65952,6.47308,6.53670,6.14984,5.54997,4.76189,5.01660,4.76354,4.40077,3.83357,3.33720,3.33720,3.33720,3.33720,3.25711,2.59856,2.55510,2.59313,2.56904,2.75490,2.75490,2.75490,2.95439,3.49741,4.15350,4.59322,4.80690,4.80690,4.80690,4.80690,4.55102,4.55146,4.55400,4.55400,4.12352,3.91563,3.45353,3.30840,3.30840,3.30840,3.30840,3.30840,3.30840,3.30840,2.97106,2.73733,2.80541,2.91327,2.92410,2.80001,2.83922,2.97900,2.97900,2.97900,2.97900,2.97900,2.97900,2.97900,2.97900,2.97900,2.97900,2.97900,3.34107,3.50640,3.50640,3.50640,4.05934,4.56424,5.08537,5.54400,5.54400,5.54400,5.54400,5.54400,5.54400,5.54400,5.54400,5.54400,5.54400,5.54400,5.54400,5.54400,5.54400,5.04446,4.51980,4.57142,4.54410,5.90665,6.07677,6.03720,6.03720,6.25366,6.07725,6.31807,6.65532
2015,Rathmines 132_11kV,23MAY2014,MW,6.97500,6.67393,6.37580,6.71220,6.38509,5.41574,5.24970,5.24970,4.62778,4.06121,3.95640,3.55484,3.33000,3.15115,2.47950,2.54718,2.48670,2.48670,2.67804,2.58572,2.78100,2.78100,2.78100,2.88091,3.47850,3.85492,4.53104,4.65060,4.62890,5.65542,5.67540,5.67540,5.67540,5.48389,4.94448,4.06350,3.97890,3.97890,3.97890,3.77429,3.23510,3.24180,3.24180,3.24180,3.24180,3.24180,3.24180,3.24180,3.24180,3.24180,2.61857,2.59347,2.84130,2.73657,2.78637,2.90430,2.90430,2.90430,2.90430,2.90430,3.00512,3.18600,3.18600,3.41052,3.45870,3.45870,3.95503,4.14540,4.49441,5.08174,5.54040,5.54040,5.54040,5.54040,5.54040,5.51401,5.33520,5.33520,5.33520,5.33520,5.03131,4.70790,4.70790,4.64527,4.47840,4.47840,4.51695,4.54098,5.90295,6.09936,6.04170,6.04170,6.27491,6.20044,6.29478,6.68542
2015,Rathmines 132_11kV,24MAY2014,MW,6.86067,6.72480,6.71546,6.71940,6.49369,5.62526,5.03286,4.30797,4.35797,4.23177,4.04280,4.04280,3.79740,3.21300,3.04282,2.55060,2.55060,2.55060,2.55060,2.55060,2.55060,2.55060,2.55060,2.55060,2.62627,2.79360,2.79360,2.98429,3.44790,4.11419,4.24980,4.78483,4.83110,4.87980,4.87980,4.87980,4.80416,4.80960,4.80380,4.69561,4.61430,4.49244,3.99960,3.99960,3.99960,3.99960,3.99960,3.99960,3.99960,3.48675,3.36690,3.36690,3.36690,3.36690,3.36690,3.36690,3.57553,3.94380,3.87312,3.34440,3.52517,3.55950,3.55950,3.55950,3.56611,4.05360,4.05360,4.11440,4.93290,5.41654,5.60790,5.42401,5.48370,5.48370,5.48370,5.28767,5.26140,5.26140,4.96902,4.66852,4.58190,4.58190,4.58190,4.58190,4.16570,4.02120,4.92696,5.16411,4.67267,4.84740,4.84740,4.84740,6.12115,6.04758,5.53889,5.32535
2015,Rathmines 132_11kV,25MAY2014,MW,5.52150,5.45094,5.15528,5.99986,5.08564,3.82043,3.30480,3.30480,2.89812,2.91330,2.69471,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,3.27588,3.57480,3.57480,4.12895,4.19940,4.71583,4.90770,5.36514,5.34150,5.34150,5.34150,5.34150,5.34150,5.34150,5.34150,4.91384,4.68540,4.32600,3.92925,3.84840,3.93691,4.10496,4.11120,4.11120,3.92736,4.08753,4.10850,4.10850,4.09905,4.12442,3.98307,4.02752,4.14270,4.14270,4.14270,4.14270,4.19180,4.81140,4.81140,5.27927,5.92360,6.16500,6.16500,6.16500,6.16500,6.16500,6.16500,6.16500,6.16500,5.32205,5.23710,4.76427,4.85190,4.71840,4.64670,4.64670,4.64670,5.93502,5.66759,5.38020,5.20349,4.71943,4.73293,5.91427,5.86675,5.23080,5.00456
2015,Rathmines 132_11kV,26MAY2014,MW,5.27670,4.95563,4.88346,5.42279,4.98290,4.07886,3.88530,3.88530,3.43072,3.21570,3.21570,2.82583,2.68018,2.64420,2.64420,2.64420,2.64420,2.64420,2.64420,2.64420,2.64420,2.64420,2.83771,2.91492,3.54690,3.67987,4.33415,4.65395,4.65120,4.71838,4.90629,4.90597,4.64081,4.52610,4.52610,3.95084,3.90690,3.90690,3.80409,3.32599,3.34166,3.34170,3.34170,3.34170,3.34170,3.34170,3.34170,3.34170,3.34170,3.34170,3.34170,2.90581,2.79806,2.72902,2.98800,2.98800,2.98800,2.98800,2.98800,2.98800,2.98800,2.98800,3.03625,3.46590,3.46590,3.46590,3.48237,4.36665,5.02890,5.60160,6.18922,6.25306,6.25770,6.02109,5.88510,6.03738,5.92183,5.91660,5.71308,5.29290,5.29290,4.74507,4.66200,4.66200,4.66200,4.66200,4.66200,4.66200,5.80630,5.91541,5.87340,5.87340,6.08021,6.01650,5.89546,6.37443
